text,ENTREGA,OUTROS,PRODUTO,CONDICOES DE RECEBIMENTO,ANUNCIO,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
"Bom aparelho, rápido, ótima câmera, bateria com boa duração.",0,0,1,0,0,"produto, outros",1.257420301437378,7.0,161.0,168.0,['OUTROS']
"Adorei o produto atendeu todas as minhas expectativas, e a americanas como sempre me surpreendendo, paguei o produto dia dia 02/01/18 dia me deram ate dia 12/01/18 Mais o produto chegou dia 04/01 super rápida a entrega!",1,0,1,0,0,"produto, entrega",0.6239993572235107,7.0,207.0,214.0,['ENTREGA']
Amei. Muito bom. Super indico.... tamanho maravilhoso.  Só força um pouco de for fazer massa pra bolo.,0,0,1,0,0,"produto, outros",0.5538153648376465,7.0,173.0,180.0,['OUTROS']
"Boa leitura, adoramos..............................",0,0,1,0,0,outros,0.6257095336914062,3.0,155.0,158.0,['OUTROS']
Fiz uma linda mesa de Natal que ficou maravilhosa.,0,0,1,0,0,"produto, outros",0.5819699764251709,7.0,158.0,165.0,['OUTROS']
O aparelho é Ótimo.Entrega rápida...recomendo ! A americanas de parabéns sempre!,1,1,1,0,0,"produto, entrega",0.5926432609558105,7.0,170.0,177.0,['ENTREGA']
"O aspirados é bom. Não é super potente, mas limpa que é uma beleza. Já usei várias vezes, pois ele é super prático. Não dá vontade de usar vassoura nunca mais ahahha Ele é fácil de transportar e de limpar, então é um ótimo negócio.",0,0,1,0,0,"produto, outros",0.5320718288421631,7.0,207.0,214.0,['OUTROS']
"Perfeita, grande variedade de app , muito fácil de instalar",0,0,1,0,0,"produto, outros",0.615767240524292,7.0,161.0,168.0,['OUTROS']
"Produto chegou antes do tempo ,Meu sobrinho adorou",1,0,1,0,0,"produto, entrega",0.5131852626800537,7.0,159.0,166.0,['ENTREGA']
"Gostei muito da panela, o que prometeu cumpriu! Super recomendo!!!",0,0,1,0,0,produto,0.7429001331329346,4.0,165.0,169.0,[]
E muito bom a sensação de usar o óculos de realidade virtual. So tem um probleminha acho que o dispositivo que acopla ao óculos no caso o celular esquenta muito rápido. Mas é bem interessante a experiencia,0,0,1,0,0,"produto, outros",0.8797605037689209,7.0,194.0,201.0,['OUTROS']
"Estou adorando o livro pois estou lendo ainda estou adorando,E um livro que queria muito ler e achei muito barato.nas Americanas,da entrega chegou antes do que tinham falado super recomendo adorei.",1,0,1,0,0,"produto, entrega",1.72682523727417,7.0,191.0,198.0,['ENTREGA']
Excelente....Tela grande....Caneta....Acesso rápido ao conteúdo....Bastante espaço de memória....levissimo....Surpreendente!,0,0,1,0,0,"produto, outros",0.7889273166656494,7.0,176.0,183.0,['OUTROS']
"O produto chegou antes do prazo, bem protegido, e é um ótimo produto.... Super recomendo...",1,0,1,1,0,"entrega, produto",0.7238876819610596,7.0,168.0,175.0,['ENTREGA']
"Adorei o produto!  recomendo a todos o produto, uma otima aquisição.",0,0,1,0,0,"produto, outros",0.7556548118591309,7.0,166.0,173.0,['OUTROS']
"Chegou antes do previsto, embalado direitinho. Adorei!!!",1,0,1,1,0,"entrega, condicoes de recebimento",1.06365966796875,13.0,164.0,177.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
"Eu já conhecia, ja tinha usado o BB cream Maybelline, ele é perfeito para o dia e até noite, cobertura perfeita, sem carregar.",0,0,1,0,0,"produto, outros",0.6663646697998047,7.0,179.0,186.0,['OUTROS']
"Adorei os meus potes da Euro e a rapidez na entrega das lojas Americanas, chegou bem antes do prazo estabelecido.",1,0,1,0,0,"entrega, produto",0.8137788772583008,7.0,174.0,181.0,['ENTREGA']
Maravilhoso...ótima qualidade e acabamento incrível.,0,0,1,0,0,"produto, outros",0.6037442684173584,7.0,159.0,166.0,['OUTROS']
"Ótimo livro , faz entender um pouco mais a vida excelente livro",0,0,1,0,0,"produto, outros",0.7669477462768555,7.0,162.0,169.0,['OUTROS']
Acho que falta na mochila uma espécie de cinto para poder prender em volta da cintura e distribuir ainda mais o peso.,0,0,1,0,0,"produto, outros",1.678602695465088,7.0,172.0,179.0,['OUTROS']
"Boa qualidade, prático, leve, o produto era exatamente o que procurava.",0,0,1,0,0,"produto, outros",1.298222541809082,7.0,165.0,172.0,['OUTROS']
Chegou rápido produto de qualidade. . Gostei muito.  Super prático e recomendo .,1,0,1,0,0,"entrega, produto",1.0191113948822021,7.0,169.0,176.0,['ENTREGA']
Produto de ótima qualidade e entrega super rápida! Estão de parabéns!!! Super recomendo!!!!!,1,1,1,0,0,"produto, entrega",0.7052261829376221,7.0,167.0,174.0,['ENTREGA']
"Achei bem bonito , tamanho razoável aparentemente produto qualidade boa .",0,0,1,0,0,"produto, outros",0.9005265235900879,7.0,161.0,168.0,['OUTROS']
"Chegou antes do prazo, o produto funciona muito bem com mechas finas, sempre é bom usar um protetor térmico antes de fazer os cachos. Recomendo este produto, o custo benefício é ótimo.",1,0,1,0,0,"entrega, produto, outros",0.6138589382171631,10.0,193.0,203.0,"['ENTREGA', 'OUTROS']"
"Muito bom excelente custo e benefício, além  de compras feitas na americanas.com são super seguras e entrega rápida",1,1,1,0,0,"produto, entrega, outros",0.6096024513244629,10.0,171.0,181.0,"['ENTREGA', 'OUTROS']"
"São perfeitas,soh gostaria de saber se pode ir ao forno,por causa do cabo",0,1,1,0,0,"produto, outros",0.7552957534790039,7.0,167.0,174.0,['OUTROS']
"Minha irmã amou o presente, disse que é muito bom Veio em perfeitas condições",0,0,1,1,0,"produto, condicoes de recebimento",0.5761270523071289,13.0,166.0,179.0,['CONDICOES DE RECEBIMENTO']
"Embora fiz uma compra de dois itens e a entrega veio parcelada, no momento 4/05/2018 a loja esta no credito por não ter vencido a data de entrega.",1,0,0,0,0,"entrega, condicoes de recebimento",0.9338653087615967,13.0,186.0,199.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
"A prancha alisadora eu super recomendo,porém o modelador de cachos achei horrível, mesmo seguindo as instruções de uso o cabelo da  minha cliente trancou, tive que abrir todo o aparelho para não prejudicar a mesma ... recepção",0,0,1,0,0,"produto, outros",0.6107676029205322,7.0,203.0,210.0,['OUTROS']
"Gosto muito desse purificador ,é o segundo aparelho que compro,o primeiro acabou de velho",0,0,1,0,0,"produto, outros",1.066859245300293,7.0,166.0,173.0,['OUTROS']
Comprei...chegou sem a bolca ...blutooth com defeito. Agora diz q vai chegar dia 10 5. Filha anciosa e eu tbem.,1,0,0,1,0,"produto, entrega, condicoes de recebimento",1.3271963596343994,16.0,188.0,204.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
"Não posso avaliar, ainda não recebi o produto, quando receber eu respondo!",1,0,0,0,0,"entrega, condicoes de recebimento",0.7071030139923096,13.0,165.0,178.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
"Já usei 4 vezes e pra mim Ainda está em fase de teste, mas limpa muito. Só achei q deixou meus fios ressecados. Mas cada cabelo reage d forma diferente inclusive o d uma amiga ficou perfeito parece q cauterizou porq isso q quis usar tbm. Penso q deveria ter um levim.",0,0,1,0,0,"produto, outros",0.6677606105804443,7.0,215.0,222.0,['OUTROS']
Eu nao recebi meu produto ate hj. E nao recebo nenhuma informaçao de seu parceiro Loja Dominio. Mais de um mes esperando. Vou pedir o estorno da compra.,1,1,0,0,0,"entrega, condicoes de recebimento",0.6177575588226318,13.0,185.0,198.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
Olha ja tem mais de um mês  q fiz  a compra e ainda nao  recebi o produto anunciado.  Ainda no aguardo,1,0,0,0,0,"entrega, condicoes de recebimento, anuncio",0.8637099266052246,17.0,177.0,194.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO', 'ANUNCIO']"
"Não chegou, estou esperando pra poder responder preciso que isso aconteça",1,0,0,0,0,"entrega, outros",0.6504898071289062,7.0,161.0,168.0,"['ENTREGA', 'OUTROS']"
"Eu recebi ,e me avisaram que viriam no dia seguinte para abrir e instalar e até hoje não vieram...",0,1,0,0,0,"entrega, condicoes de recebimento",0.6659269332885742,13.0,173.0,186.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
Ainda não recebi o produto .Pro.wteram para o dia dez e até hoje não recebi,1,0,0,0,0,"entrega, condicoes de recebimento",0.8482279777526855,13.0,169.0,182.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
Estou aguardando pacientemente pela entrega que já entendi que não é pela Americana que comprei. É a segunda decepção com a americana.com Pois a meses atrás comprei um conjunto de cadeiras que não recebi até hoje mais a esperança é a última que morre. Continuarei esperando,1,1,0,0,0,"entrega, outros",0.7767984867095947,7.0,208.0,215.0,"['ENTREGA', 'OUTROS']"
"O produto estava previsto pra chegar dia 27/12, agora está previsto para o dia 03/01 mas pelo que está mostrando no site da americanas ainda nem saiu da loja para transporte. Quando chegar espero que a avaliação seja boa.",1,0,0,0,0,"entrega, produto",0.652897834777832,7.0,197.0,204.0,['ENTREGA']
Até hoje não recebi o meu produto! Estou muito chateada pois já passou do prazo de entrega que era até o dia 07/05 .,1,0,0,0,0,"entrega, condicoes de recebimento",0.8282833099365234,13.0,179.0,192.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
Processo muito demorado de resolução de problemas o prazo venceu 16/02 e até agora não conseguiram identificar onde foi parar meu produto e nem se quer enviaram outro.,1,1,0,0,0,"produto, entrega, condicoes de recebimento",0.7823541164398193,16.0,183.0,199.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
Ainda não recebi o produto. Demora demais para entrega,1,0,0,0,0,"entrega, condicoes de recebimento",0.837454080581665,13.0,160.0,173.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
"Deixaram meu produto nos Correios é o que dizem me deram um código de rastreio que dá inexistente,aí eu não tenho como saber em qual agência devo retirar o produto o código está errado e eu só consigo retirar o produto com o código de rastreio mas tem que está correto então eu não posso avaliar algo que não recebi.por favor me enviem o código de rastreio certo e me informe em qual agência devo retirar o produto.",1,1,0,0,0,"entrega, condicoes de recebimento",0.7138116359710693,13.0,243.0,256.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
Não é possível avaliar o produto.  Até agora só recebi o e-mail para avaliação da mercadoria. O produto ta em transporte ainda. A compra foi efetuada a 30 dias atrás. Essa demora é normal?,1,0,0,0,0,"condicoes de recebimento, produto",0.6268744468688965,11.0,193.0,204.0,['CONDICOES DE RECEBIMENTO']
"Compra realizada desde o dia 22/12/17, e até agora não consegui comprovar a qualidade da TV, pois não foi entregue ainda! Mas pelas pesquisas é uma boa opção dos modelos de entrada da Samsung.",1,0,1,0,0,"entrega, produto",0.9005861282348633,7.0,192.0,199.0,['ENTREGA']
"Não posso dizer se é bom por enquanto. Minha entrega está atrasada. Tá parado na  transportadora desde o dia 10/05, sendo que o ultimo dia seria hoje. Nem a loja e nem a transportadora me respondem. Estou aguardando algum parecer sobre meu produto.",1,1,0,0,0,"entrega, produto, outros",0.8227150440216064,10.0,206.0,216.0,"['ENTREGA', 'OUTROS']"
