text,bug,docs,feature,question,won't fix,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
Restore training states without create new version in lightning_logs?,0,0,0,1,0,"feature, question",0.5692245960235596,4.0,105.0,109.0,"['feature', 'question']"
Errors in documentation generated from lightning.py,0,1,0,0,0,docs,0.3934504985809326,2.0,101.0,103.0,['docs']
OOM using EfficientNet B3,0,0,0,1,0,bug,0.46658897399902344,2.0,101.0,103.0,['bug']
How to we update the learning on every step?,0,0,0,1,0,question,3.328380823135376,2.0,104.0,106.0,['question']
How to improve the displayed precision for loss in the progress bar.,0,0,0,1,0,feature,0.5205395221710205,2.0,107.0,109.0,['feature']
"[docs] use `versionadded`, `versionchanged` and `deprecated` directive",0,1,0,0,1,docs,0.5069882869720459,2.0,111.0,113.0,['docs']
"Strange behavior of loss logger, different from actual loss, and with delay. Probably I am misreading something.",0,0,0,1,0,"bug, question",0.9118831157684326,4.0,116.0,120.0,"['bug', 'question']"
Question about save_hyperparameters(),0,0,0,1,0,question,0.9390480518341064,2.0,101.0,103.0,['question']
How to pass in step argument to `scheduler.step()`,0,0,0,1,0,question,0.8515517711639404,2.0,105.0,107.0,['question']
How to re-initlaize a custom accelerator inside the training loop ?,0,0,0,1,0,question,0.5741407871246338,2.0,108.0,110.0,['question']
Classification metrics docs incorrectly state they work with logits,0,1,0,0,0,"docs, bug",0.5539510250091553,4.0,103.0,107.0,"['bug', 'docs']"
Logging metrics (learning rate) to progress bar,0,0,0,1,0,feature,0.5365324020385742,2.0,103.0,105.0,['feature']
Error in example of learning rate finder docs ,0,1,0,0,0,"bug, docs",0.6386337280273438,4.0,103.0,107.0,"['bug', 'docs']"
How to do a full validation loop at iteration 0?,0,0,0,1,1,question,0.5666582584381104,2.0,106.0,108.0,['question']
How to use Lightning 1.0 without validation dataloader ?,0,0,0,1,0,question,0.4940354824066162,2.0,108.0,110.0,['question']
ModelCheckpoint.save_function documentation,0,0,0,1,0,docs,0.45848584175109863,2.0,99.0,101.0,['docs']
Add model sharding/gradient checkpointing from FairScale,0,0,1,0,0,feature,0.49187183380126953,2.0,105.0,107.0,['feature']
How to use multiple loaders?,0,0,0,1,0,question,0.5721435546875,2.0,100.0,102.0,['question']
[Docs] replace distributed_backend with accelerator in docs,0,1,0,0,0,docs,0.5467705726623535,2.0,104.0,106.0,['docs']
ReduceLROnPlateau Scheduler documentation problem,0,1,0,0,0,docs,0.5428833961486816,2.0,103.0,105.0,['docs']
How to save the latest and best checkpoint?,0,0,0,1,0,question,0.4403362274169922,2.0,103.0,105.0,['question']
Multiple GPU/TPU support?,0,0,0,1,0,"feature, question",0.5535948276519775,4.0,101.0,105.0,"['feature', 'question']"
ModuleNotFoundError: No module named 'pytorch_lightning.trainer.seed',0,0,0,1,0,bug,0.4064936637878418,2.0,111.0,113.0,['bug']
self.log with Metric in ddp,0,0,0,1,1,feature,0.5684599876403809,2.0,101.0,103.0,['feature']
TypeError: __init__() got an unexpected keyword argument 'default_save_path',0,0,0,1,0,bug,0.6185917854309082,2.0,111.0,113.0,['bug']
How to add dynamically defined module and its optimizer to the lightning module?,0,0,0,1,1,question,0.6387424468994141,2.0,108.0,110.0,['question']
How to save gradient every step?,0,0,0,1,0,question,0.5672292709350586,2.0,101.0,103.0,['question']
Typo in sample codes of training_step_end() documentation,0,1,0,0,0,"bug, docs",0.605940580368042,4.0,105.0,109.0,"['bug', 'docs']"
Trying to find the best way to implement a gradient penalty,0,0,0,1,0,feature,0.5415971279144287,2.0,105.0,107.0,['feature']
Model save,0,0,0,1,0,feature,0.6357111930847168,2.0,96.0,98.0,['feature']
"multiple dataset to train model. Sharing backbone, Separable classifier.",0,0,0,1,1,feature,0.6242043972015381,2.0,107.0,109.0,['feature']
How to compute a block of code using full precision when training with AMP?,0,0,0,1,0,question,0.8272087574005127,2.0,109.0,111.0,['question']
How to print acc while training?,0,0,0,1,0,question,0.5376179218292236,2.0,101.0,103.0,['question']
'AmpOptimizerState' object has no attribute 'all_fp16_params' when Trainer amp_level,0,0,0,1,1,bug,0.569814920425415,2.0,113.0,115.0,['bug']
Metric update method is called twice in a row,0,0,0,1,0,bug,0.5614261627197266,2.0,103.0,105.0,['bug']
Set different lr_schedulers for different parameter groups,0,0,0,1,0,feature,0.5324957370758057,2.0,103.0,105.0,['feature']
[question] How to override how `self.train_transform` is applied to batches in `LightningDataModule`.,0,0,0,1,1,question,0.5589396953582764,2.0,116.0,118.0,['question']
How to change optimizer and lr scheduler in the middle of training?,0,0,0,1,0,question,0.3790104389190674,2.0,107.0,109.0,['question']
How automaticly load best model checkpoint on Trainer instance with TestTubeLogger,0,0,0,1,0,question,0.43515777587890625,2.0,108.0,110.0,['question']
Child Modules Code Example,0,1,0,0,0,feature,0.5138375759124756,2.0,98.0,100.0,['feature']
How to wrap progress bar?,0,0,1,1,0,question,0.42624497413635254,2.0,100.0,102.0,['question']
Print out learning_rate in the progress bar,0,0,0,1,0,feature,0.4418051242828369,2.0,102.0,104.0,['feature']
How was the README animation created ?,0,0,0,1,1,question,0.6571416854858398,2.0,101.0,103.0,['question']
Skip the train_step based on batch statistics,0,0,0,1,0,feature,0.6315619945526123,2.0,102.0,104.0,['feature']
Use two separate dataloaders,0,0,0,1,0,feature,0.4797360897064209,2.0,100.0,102.0,['feature']
Document class inheriting from LightningModule,0,1,0,0,1,feature,0.5182843208312988,2.0,101.0,103.0,['feature']
some questions about loading checkpoints,0,0,0,1,1,question,0.542081356048584,2.0,99.0,101.0,['question']
How to specify 'mode' when using checkpoint_on in the new Result types.,0,0,0,1,1,question,0.5032153129577637,2.0,110.0,112.0,['question']
Validation step returns trainresult instead of evalresult,0,1,0,0,0,bug,0.5352251529693604,2.0,103.0,105.0,['bug']
ModelCheckpoint every validation cycle instead of epoch?,0,0,0,1,0,question,0.5666508674621582,2.0,103.0,105.0,['question']
Remove forward hook from lightning documentation,0,1,0,0,0,docs,0.5372989177703857,2.0,100.0,102.0,['docs']
More explanation needed in documentation on DP vs. DDP in multi-GPU training,0,0,0,1,0,docs,0.3857898712158203,2.0,110.0,112.0,['docs']
Weights precisions do not match up. AMP,0,0,0,1,1,bug,0.533656120300293,2.0,104.0,106.0,['bug']
How to access validation logs data inside the on_validation_batch_end callback,0,0,0,1,0,question,0.48340702056884766,2.0,107.0,109.0,['question']
training discriminator five time for WGAN and generator only one,0,0,0,1,0,feature,0.5510339736938477,2.0,105.0,107.0,['feature']
row_log_interval / checkpoint_callback and early_stop_callback,0,0,0,1,1,feature,0.47542762756347656,2.0,104.0,106.0,['feature']
EvalResult can't log 2D tensor,0,0,0,1,0,bug,0.43726539611816406,2.0,102.0,104.0,['bug']
Disabling printing of GPU debug information,0,0,0,1,0,feature,0.7584683895111084,2.0,101.0,103.0,['feature']
Add a note about row_log_interval=50 default to logging doc page or warning,0,1,0,0,0,docs,0.44959568977355957,2.0,110.0,112.0,['docs']
How to schedule learning rate in pytorch_lightning,0,0,0,1,0,question,0.5704741477966309,2.0,104.0,106.0,['question']
Test that the number of files in tensorboard was correct in distributed,0,0,1,0,0,bug,0.46508097648620605,2.0,107.0,109.0,['bug']
Support for production deployment,0,0,0,1,1,feature,0.5497653484344482,2.0,98.0,100.0,['feature']
Does self.log do ddp sync automatically?,0,0,0,1,0,question,0.5217912197113037,2.0,103.0,105.0,['question']
Error in  `load_from_checkpoint` when LightningModule init contains 'hparams',0,0,0,1,1,bug,0.6112117767333984,2.0,111.0,113.0,['bug']
2 optimizers : skip updates for the second optim,0,0,0,1,0,bug,0.5496485233306885,2.0,105.0,107.0,['bug']
Adding histogram through TensorBoardLogger object not working  ,1,0,0,0,0,bug,0.56369948387146,2.0,104.0,106.0,['bug']
Confusion over Early Stopping behavior and how it is intended to work in the future ,0,0,0,1,0,question,0.4100029468536377,2.0,112.0,114.0,['question']
Setting gpus with hydra,0,0,0,1,0,feature,0.5587430000305176,2.0,100.0,102.0,['feature']
train_percent_check as a method for reducing train data size.,0,0,0,1,0,feature,0.5246539115905762,2.0,106.0,108.0,['feature']
What is the model saved by the trainer by default?,0,0,0,1,0,question,0.5374836921691895,2.0,105.0,107.0,['question']
How to interpret the profiler statistics here,0,0,0,1,1,question,0.6422133445739746,2.0,101.0,103.0,['question']
Checkpointing with SLURM,0,0,0,1,0,feature,0.5875072479248047,2.0,101.0,103.0,['feature']
Question about `trainer.test()`,0,0,1,1,0,question,0.4829070568084717,2.0,100.0,102.0,['question']
Typo in child modules docs,0,1,0,0,0,docs,0.5215492248535156,2.0,100.0,102.0,['docs']
How to suppress messages from Trainer class?,0,0,0,1,0,question,0.5664970874786377,2.0,102.0,104.0,['question']
"GPU training, but datasets are on the CPU",0,0,0,1,1,bug,1.1824827194213867,2.0,103.0,105.0,['bug']
Learning Non-negative Parameters,0,0,0,1,0,question,0.5519959926605225,2.0,98.0,100.0,['question']
validation_epoch_end and ddp,0,0,0,1,0,feature,0.7164263725280762,2.0,100.0,102.0,['feature']
"how to use custom dataset in pytorch-lightning module as I am encountering an error ""AttributeError: 'str' object has no attribute 'size'""",0,0,0,1,0,"question, bug",0.5467631816864014,4.0,125.0,129.0,"['bug', 'question']"
How do I access the metrics from a logger/trainer?,0,0,0,1,1,question,0.40439629554748535,2.0,106.0,108.0,['question']
init_slurm_connection causing hostname errors,1,0,0,0,0,bug,0.45301008224487305,2.0,101.0,103.0,['bug']
"Does ""log_save_interval"" control training log?",0,0,0,1,1,question,0.5591335296630859,2.0,104.0,106.0,['question']
How to tokenize within getitem() of Dataset with HuggingFace tokenizers,0,0,0,1,0,question,0.41808629035949707,2.0,109.0,111.0,['question']
Is AUROC from lightning metrics package intentionally different from the sklearn's?,0,0,0,1,0,question,0.6344244480133057,2.0,108.0,110.0,['question']
multi-node multi-gpu with time constraint and model checkpointing,0,0,0,1,1,feature,0.6693620681762695,2.0,106.0,108.0,['feature']
[how-to] Handle multiple losses and/or weighted losses?,0,0,0,1,0,question,0.408719539642334,2.0,106.0,108.0,['question']
Epoch number has inconsistent display in ModelCheckpoint,0,1,0,0,0,bug,0.6657896041870117,2.0,102.0,104.0,['bug']
Does pytorch-lightning support mixed-precision training?,0,0,0,1,0,question,0.5908372402191162,2.0,105.0,107.0,['question']
datamodule how to load checkpoint,0,0,1,1,0,question,0.5688226222991943,2.0,101.0,103.0,['question']
Best Practices: logger.experiment.add_image() at end of epoch when using new simplified pl.Train/EvalResult objects,0,0,0,1,1,feature,0.43703579902648926,2.0,118.0,120.0,['feature']
How to configure steps of multiple optimizers for GANs,0,0,0,1,0,feature,0.6208930015563965,2.0,105.0,107.0,['feature']
How to suppress GPU/TPU device information warnings,0,0,0,1,1,question,0.6299295425415039,2.0,104.0,106.0,['question']
TPU Colab,0,1,0,1,1,feature,0.7943379878997803,2.0,97.0,99.0,['feature']
Do multiple optimizer steps in one training step,0,0,0,1,0,feature,0.5799770355224609,2.0,102.0,104.0,['feature']
Understanding the Progress Bar,0,0,0,1,0,question,0.39873552322387695,2.0,98.0,100.0,['question']
Best Practice to log images in vision tasks,0,0,0,1,0,feature,0.46027374267578125,2.0,102.0,104.0,['feature']
Checkpoint files location when WandbLogger ,0,0,0,1,0,question,0.596003532409668,2.0,103.0,105.0,['question']
How to write custom metric callbacks properly ?,0,0,0,1,0,question,0.5577824115753174,2.0,102.0,104.0,['question']
Lazy loading and multi-modal data,0,0,0,1,1,feature,0.5962343215942383,2.0,100.0,102.0,['feature']
How to log cur_val_loss to tensorboard in validation_step?,0,0,0,1,1,question,0.4181997776031494,2.0,107.0,109.0,['question']
How to get test predictions (and other non-scalar metrics)?,0,0,0,1,0,question,0.844463586807251,2.0,107.0,109.0,['question']
CI: Force docs compilation warnings to be raised as errors,0,1,0,0,0,"feature, docs",0.47392773628234863,4.0,105.0,109.0,"['feature', 'docs']"
How to save checkpoints within lightning_logs?,0,0,0,1,1,question,0.5416030883789062,2.0,102.0,104.0,['question']
Adapting SWA for pytorch lightning.,0,0,0,1,0,feature,0.5021984577178955,2.0,104.0,106.0,['feature']
Passing the early_stop_callback to the Trainer,0,0,0,1,0,feature,0.4900946617126465,2.0,102.0,104.0,['feature']
Outdated documentation for loggers,0,1,0,0,0,docs,0.6794588565826416,2.0,100.0,102.0,['docs']
CUDA - numpy related copy error?,0,0,0,1,0,"bug, question",0.7462701797485352,4.0,101.0,105.0,"['bug', 'question']"
Correctly document ReduceLROnPlateau,0,1,0,0,0,docs,0.6480114459991455,2.0,103.0,105.0,['docs']
How to save to extra info checkpoint?,0,0,0,1,0,question,0.4240734577178955,2.0,102.0,104.0,['question']
ImageNet example shows contradictions,0,1,0,0,1,"bug, question",0.46933865547180176,4.0,99.0,103.0,"['bug', 'question']"
Hide default pl flags with -h?,0,0,0,1,1,feature,0.6021208763122559,2.0,102.0,104.0,['feature']
How to skip one of multiple optimizers at training_step()?,0,0,0,1,0,question,0.666407585144043,2.0,106.0,108.0,['question']
Pruning gradients before Optimizer_step,0,0,0,1,1,feature,0.4162602424621582,2.0,101.0,103.0,['feature']
How to resolve DeprecationWarning ,0,0,0,1,0,question,0.8087911605834961,2.0,102.0,104.0,['question']
"Trouble logging validation and training metrics on the same row in ""metrics.csv""",0,0,0,1,1,bug,0.47827601432800293,2.0,109.0,111.0,['bug']
How to disable progress bar and printing model structure?,0,0,0,1,0,question,0.5371053218841553,2.0,104.0,106.0,['question']
Run full validation epoch before training,0,0,0,1,0,feature,0.4016871452331543,2.0,100.0,102.0,['feature']
Document auto_select_gpus,0,1,0,0,1,docs,0.8356468677520752,2.0,99.0,101.0,['docs']
OpenPAI and PyTorch Lightning for easy multi-machine distributed training?,0,0,0,1,1,"feature, question",0.6233575344085693,4.0,108.0,112.0,"['feature', 'question']"
Model checkpointing for sub-epoch frequency,0,0,0,1,1,feature,0.5531666278839111,2.0,102.0,104.0,['feature']
Backward on tensors inside training_step,0,0,0,1,0,bug,0.4481010437011719,2.0,101.0,103.0,['bug']
How can I integrate shuffling BN (in MoCo) with PTL?,0,0,0,1,1,question,0.5059108734130859,2.0,110.0,112.0,['question']
Use only one of the optimizers as warm-up ,0,0,0,1,1,feature,0.5757403373718262,2.0,105.0,107.0,['feature']
How to disable model summary?,0,0,0,1,0,question,0.46341395378112793,2.0,100.0,102.0,['question']
More Details about Distributed Data Parallel Random Seed,0,0,0,1,1,question,0.6086578369140625,2.0,102.0,104.0,['question']
"return ""val_loss"" in validation step and ""avg_val�_loss"" from validation_epoch_end in trainer ",0,0,0,1,1,feature,0.8502743244171143,2.0,117.0,119.0,['feature']
Trainer docs,0,1,0,0,0,docs,0.5463461875915527,2.0,96.0,98.0,['docs']
Collect all  losses into a list?,0,0,0,1,0,feature,0.48780131340026855,2.0,102.0,104.0,['feature']
codecov doesn't respect ignore,1,0,0,0,0,bug,0.5389406681060791,2.0,99.0,101.0,['bug']
Incorrect Implementation for Accumulating Batch Gradients in Trainer,1,0,0,0,0,bug,0.5960509777069092,2.0,105.0,107.0,['bug']
What should I do if I don't have validation data and test data?,1,0,0,0,0,question,0.504342794418335,2.0,108.0,110.0,['question']
Errata in the readme?,1,0,0,0,0,docs,0.6757984161376953,2.0,101.0,103.0,['docs']
AttributeError: 'xxx' object has no attribute 'tng_dataloader' continued...,1,0,0,0,0,bug,0.5618481636047363,2.0,112.0,114.0,['bug']
Recursive device conversion of tuple,1,0,0,0,0,feature,0.6954019069671631,2.0,99.0,101.0,['feature']
'tng_loss' vs 'loss' in in training_step,0,0,0,1,0,bug,0.5285546779632568,2.0,107.0,109.0,['bug']
Non plain-tensor batches,1,0,0,0,0,bug,0.6700828075408936,2.0,99.0,101.0,['bug']
Install within conda env breaks,1,0,0,0,0,bug,0.6906492710113525,2.0,100.0,102.0,['bug']
How to save model name with my own variable?,0,0,0,1,0,question,0.4743225574493408,2.0,104.0,106.0,['question']
"When running single_gpu_node_dp_template.pj, missing 'dp' or 'ddp' param",1,0,0,0,0,bug,0.5981361865997314,2.0,114.0,116.0,['bug']
Question about multiple optimizers and lr schedulers?,0,0,0,1,0,question,0.5439741611480713,2.0,104.0,106.0,['question']
Trainer track_grad_norm always results in 0,1,0,0,0,0,bug,0.7224266529083252,2.0,103.0,105.0,['bug']
Missing metrics on Tensorboard,1,0,0,0,0,bug,0.38825058937072754,2.0,99.0,101.0,['bug']
Broken link in Examples readme,1,0,0,0,0,bug,0.5971415042877197,2.0,100.0,102.0,['bug']
Logger fails at scale,1,0,0,0,0,bug,0.5332968235015869,2.0,98.0,100.0,['bug']
Disable automatic checkpoint loading,0,0,1,0,0,feature,0.5934896469116211,2.0,98.0,100.0,['feature']
Optimizer step hook missing param,1,0,0,0,0,bug,0.4770848751068115,2.0,100.0,102.0,['bug']
training_step is called once for each optimizer,1,0,0,0,0,question,0.5268814563751221,2.0,102.0,104.0,['question']
Multiple optimizers but only one loss,0,0,0,1,0,feature,0.5097544193267822,2.0,101.0,103.0,['feature']
dp training : bug  if the number of examples is not a multiple of the batchsize and not a multiple of gpu count,1,0,0,0,0,bug,0.4369802474975586,2.0,119.0,121.0,['bug']
Increment `global_step` at end of iter?,1,0,0,0,0,feature,0.49734997749328613,2.0,104.0,106.0,['feature']
"Having a low ""val_check_interval"" value with many workers in Dataloader leads to extrem overhead",1,0,0,0,1,bug,0.597663164138794,2.0,113.0,115.0,['bug']
Problems loading model from metrics,1,0,0,0,0,bug,0.43992161750793457,2.0,99.0,101.0,['bug']
Training/Validation split in minimal example,0,0,0,1,0,feature,0.5887691974639893,2.0,101.0,103.0,['feature']
Fix readme for Pypi,1,0,0,0,0,docs,0.4547557830810547,2.0,101.0,103.0,['docs']
CometLogger does not implement name() and version() class methods,1,0,0,0,0,bug,0.5887548923492432,2.0,107.0,109.0,['bug']
K-fold cross-validation,0,0,0,1,0,feature,0.4192674160003662,2.0,98.0,100.0,['feature']
RuntimeError: bool value of Tensor with more than one value is ambiguous,1,0,0,0,0,bug,0.5510456562042236,2.0,108.0,110.0,['bug']
Model checkpoint is not working,1,0,0,0,0,bug,0.5870156288146973,2.0,99.0,101.0,['bug']
versions after .5.2.1 do not print weights summary,1,0,0,0,0,bug,0.583554744720459,2.0,107.0,109.0,['bug']
Training with DDP could fail at startup due to FileExistsError,1,0,0,0,0,bug,0.45289158821105957,2.0,107.0,109.0,['bug']
training_forward assumes input has .copy() method for single GPU,1,0,0,0,0,bug,0.6033713817596436,2.0,106.0,108.0,['bug']
GPU usage decreasing with epochs,1,0,0,0,0,"bug, feature",0.9736795425415039,4.0,99.0,103.0,"['bug', 'feature']"
Inadequate total steps shown in progress bar during sanity validation check when number of validation dataloaders >= 2,1,0,0,0,0,bug,0.5207881927490234,2.0,117.0,119.0,['bug']
failing Docs build,1,0,0,0,0,"bug, docs",0.4777369499206543,4.0,97.0,101.0,"['bug', 'docs']"
GPU memory usage/leak varies between experiments/trials with Apex (use_amp=True) ,1,0,0,0,0,bug,0.37044453620910645,2.0,112.0,114.0,['bug']
enable Windows CI,0,0,1,0,0,feature,0.4960000514984131,2.0,97.0,99.0,['feature']
Pickle error from Trainer.fit when using MLFlowLogger and distributed data parallel without SLURM,1,0,0,0,0,bug,0.6252963542938232,2.0,113.0,115.0,['bug']
Call or Forward?,0,0,0,1,0,question,0.40961575508117676,2.0,98.0,100.0,['question']
simple text classification example with ptl,0,0,0,1,0,feature,0.42284083366394043,2.0,101.0,103.0,['feature']
"Pytorch lightning spawns processes after each epoch of training, causing training script to crash unexpectedly",1,0,0,0,0,bug,0.602959394454956,2.0,112.0,114.0,['bug']
`ModelCheckpoint` with `save_best_only=True` shouldn't delete previous directory,1,0,0,0,0,bug,0.5627493858337402,2.0,109.0,111.0,['bug']
on_train_end callback is not called if training is stopped early,1,0,0,0,0,bug,0.4321565628051758,2.0,106.0,108.0,['bug']
Difference between results during training and testing,1,0,0,0,0,bug,0.881666898727417,2.0,101.0,103.0,['bug']
Where is EarlyStopping searching for metrics?,0,0,0,1,0,question,0.6273641586303711,2.0,102.0,104.0,['question']
update paths/links according new org,1,0,0,0,0,feature,0.3871798515319824,2.0,101.0,103.0,['feature']
Extract wight and model for external use,0,0,0,1,0,feature,0.5886297225952148,2.0,102.0,104.0,['feature']
Installing pytorch-lightning on Jetson Nano(ARM),0,0,0,1,0,feature,0.519024133682251,2.0,106.0,108.0,['feature']
batch may not have the copy method,1,0,0,0,0,bug,0.45495080947875977,2.0,101.0,103.0,['bug']
TensorBoardLogger and ModelCheckpoint are not using the same folder by default,1,0,0,0,0,bug,0.5441052913665771,2.0,108.0,110.0,['bug']
imagenet_example cannot run,1,0,0,0,0,bug,0.39946794509887695,2.0,99.0,101.0,['bug']
log_gpu_memory='all'` options raise Error,1,0,0,0,0,bug,0.4763190746307373,2.0,104.0,106.0,['bug']
`overfit_pct` vs `train_percent_check` etc,0,1,1,0,0,question,0.4419136047363281,2.0,106.0,108.0,['question']
[Pyright] Cannot instantiate abstract class,1,0,0,0,1,bug,0.5890645980834961,2.0,102.0,104.0,['bug']
