text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
Span-based joint entity and relation extraction augmented with sequence tagging mechanism,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.5488147735595703,11.0,119.0,130.0,[]
AGNN: Alternating Graph-Regularized Neural Networks to Alleviate Over-Smoothing,1,0,1,0,0,"cs.ai, cs.lg",0.4669179916381836,8.0,124.0,132.0,[]
High-dimensional Bayesian Optimization of Personalized Cardiac Model Parameters via an Embedded Generative Model,0,0,1,1,1,"cs.ai, stat.ml, math.oc",0.7042622566223145,12.0,123.0,135.0,[]
Improper Learning for Non-Stochastic Control,0,0,1,1,1,cs.lg,0.4713571071624756,4.0,115.0,119.0,[]
A Coefficient Makes SVRG Effective,0,0,1,1,1,"cs.lg, stat.ml",0.47130346298217773,8.0,114.0,122.0,[]
Gradient Sampling Methods for Nonsmooth Optimization,0,0,0,1,0,math.oc,0.5151717662811279,4.0,115.0,119.0,[]
A Survey of Safety and Trustworthiness of Large Language Models through the Lens of Verification and Validation,1,0,1,0,0,"cs.ai, cs.cl, stat.ml",0.6061158180236816,11.0,125.0,136.0,[]
Constructing a Knowledge Graph for Vietnamese Legal Cases with Heterogeneous Graphs,0,1,0,0,0,cs.ai,0.5888240337371826,4.0,122.0,126.0,[]
Cross-Lingual Transfer Learning for Statistical Type Inference,1,0,1,0,0,"cs.cl, stat.ml",0.5484137535095215,7.0,118.0,125.0,[]
The GRT Planning System: Backward Heuristic Construction in Forward State-Space Planning,1,0,0,0,0,"cs.ai, cs.lg",0.6397759914398193,8.0,124.0,132.0,[]
Periodic switching strategies for an isoperimetric control problem with application to nonlinear chemical reactions,0,0,0,1,0,math.oc,0.5361785888671875,4.0,125.0,129.0,[]
A Machine-Learning Approach to Estimating the Referential Properties of Japanese Noun Phrases,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.5468370914459229,11.0,125.0,136.0,[]
Learning to Run challenge: Synthesizing physiologically accurate motion using deep reinforcement learning,1,0,0,0,0,"cs.ai, cs.lg",0.5617320537567139,8.0,123.0,131.0,[]
On the utility of feature selection in building two-tier decision trees,1,0,1,0,0,"cs.ai, cs.lg, stat.ml",0.7252681255340576,12.0,119.0,131.0,[]
GradSkip: Communication-Accelerated Local Gradient Methods with Better Computational Complexity,0,0,1,1,0,cs.lg,0.4264495372772217,4.0,121.0,125.0,[]
Consumption and portfolio optimization solvable problems with recursive preferences,0,0,0,1,0,math.oc,0.6176443099975586,4.0,117.0,121.0,[]
HJ inequalities involving Lie brackets and feedback stabilizability with cost regulation,0,0,0,1,0,math.oc,0.5468380451202393,4.0,121.0,125.0,[]
A Geometric Traversal Algorithm for Reward-Uncertain MDPs,1,0,0,0,0,math.oc,0.4894223213195801,4.0,120.0,124.0,[]
SCAT: Robust Self-supervised Contrastive Learning via Adversarial Training for Text Classification,0,1,0,0,0,"cs.cl, stat.ml",0.6038157939910889,7.0,125.0,132.0,[]
Comparing Writing Styles using Word Embedding and Dynamic Time Warping,0,1,0,0,0,"cs.cl, stat.ml",0.6757135391235352,7.0,119.0,126.0,[]
Distilled Pruning: Using Synthetic Data to Win the Lottery,0,0,1,0,0,"cs.ai, cs.lg, stat.ml",0.8653743267059326,12.0,119.0,131.0,[]
Constrained Gaussian Process Learning for Model Predictive Control,0,0,0,1,0,"cs.ai, cs.lg, stat.ml",0.534041166305542,12.0,117.0,129.0,[]
Predicting Outcomes in Long COVID Patients with Spatiotemporal Attention,0,0,1,0,0,"cs.ai, stat.ml",0.5171732902526855,8.0,120.0,128.0,[]
Predicting the Outcome of Judicial Decisions made by the European Court of Human Rights,0,1,1,0,1,"cs.ai, stat.ml",0.5901496410369873,8.0,122.0,130.0,[]
Inpatient2Vec: Medical Representation Learning for Inpatients,0,0,1,0,1,"cs.ai, stat.ml",0.7106382846832275,8.0,118.0,126.0,[]
Local and Distributed Rendezvous of Underactuated Rigid Bodies,0,0,0,1,0,math.oc,0.5995573997497559,4.0,119.0,123.0,[]
LLQL: Logistic Likelihood Q-Learning for Reinforcement Learning,1,0,1,0,0,"cs.ai, cs.lg, stat.ml",0.8363032341003418,12.0,120.0,132.0,[]
Bootstrapping Conversational Agents With Weak Supervision,1,1,0,0,0,"cs.ai, cs.lg",0.5190572738647461,8.0,117.0,125.0,[]
"One model, two languages: training bilingual parsers with harmonized treebanks",0,1,0,0,0,cs.cl,0.6680750846862793,3.0,122.0,125.0,[]
Quantum Statistics-Inspired Neural Attention,1,0,0,0,0,"cs.ai, stat.ml",1.0746748447418213,8.0,113.0,121.0,[]
PIPPA: A Partially Synthetic Conversational Dataset,0,1,0,0,0,"cs.ai, cs.cl",0.5572719573974609,7.0,118.0,125.0,[]
MID Property for Delay Systems: Insights on Spectral Values with Intermediate Multiplicity,0,0,0,1,0,math.oc,0.45865488052368164,4.0,122.0,126.0,[]
Advancing Italian Biomedical Information Extraction with Large Language Models: Methodological Insights and Multicenter Practical Application,1,1,1,0,0,"cs.ai, cs.cl, stat.ml",0.9553272724151611,11.0,127.0,138.0,[]
Using novel data and ensemble models to improve automated labeling of Sustainable Development Goals,0,1,0,0,0,"cs.ai, stat.ml, cs.lg",0.6480519771575928,12.0,121.0,133.0,[]
Efficient search of active inference policy spaces using k-means,1,0,1,0,0,"cs.ai, cs.lg",0.5111682415008545,8.0,118.0,126.0,[]
On the Consistency of Ordinal Regression Methods,0,0,1,0,0,"math.oc, stat.ml",0.4622535705566406,8.0,116.0,124.0,[]
Neural Mean Discrepancy for Efficient Out-of-Distribution Detection,0,0,1,0,0,"cs.ai, stat.ml",0.5524997711181641,8.0,120.0,128.0,[]
Online Learning with Primary and Secondary Losses,0,0,1,0,1,"cs.lg, stat.ml",0.44069337844848633,8.0,115.0,123.0,[]
Neuronal Spectral Analysis of EEG and Expert Knowledge Integration for Automatic Classification of Sleep Stages,1,0,0,0,0,"cs.ai, cs.lg, stat.ml",0.5474910736083984,12.0,126.0,138.0,[]
Unbalanced Optimal Transport through Non-negative Penalized Linear Regression,0,0,1,1,1,"math.oc, stat.ml",0.4980616569519043,8.0,118.0,126.0,[]
QuantEase: Optimization-based Quantization for Language Models,0,1,1,0,1,"cs.lg, cs.ai",0.4538850784301758,8.0,117.0,125.0,[]
A Comparative Study on Regularization Strategies for Embedding-based Neural Networks,0,1,1,0,0,cs.lg,0.422069787979126,4.0,120.0,124.0,[]
CogAlign: Learning to Align Textual Neural Representations to Cognitive Language Processing Signals,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.6513502597808838,11.0,123.0,134.0,[]
Periodic optimal control for biomass productivity maximization in a photobioreactor using natural light,0,0,0,1,0,math.oc,0.5433642864227295,4.0,125.0,129.0,[]
Deep Neural Decision Trees,0,0,1,0,1,"cs.ai, cs.lg",0.6172695159912109,8.0,111.0,119.0,[]
TexRel: a Green Family of Datasets for Emergent Communications on Relations,0,1,0,0,0,"cs.ai, cs.lg",0.578575611114502,8.0,122.0,130.0,[]
Guillotine Regularization: Why removing layers is needed to improve generalization in Self-Supervised Learning,0,0,1,0,0,"cs.ai, stat.ml",0.5532815456390381,8.0,127.0,135.0,[]
Unsupervised Boosting-based Autoencoder Ensembles for Outlier Detection,0,0,1,0,1,"cs.lg, stat.ml",0.6124601364135742,8.0,121.0,129.0,[]
Reinforcement Learning with Large Action Spaces for Neural Machine Translation,1,1,1,0,0,"cs.ai, cs.cl, cs.lg",0.56007981300354,11.0,118.0,129.0,[]
Self-supervised Auxiliary Learning with Meta-paths for Heterogeneous Graphs,0,0,1,0,1,"cs.ai, cs.lg",0.684516429901123,8.0,122.0,130.0,[]
Fusing First-order Knowledge Compilation and the Lifted Junction Tree Algorithm,1,0,0,0,0,"cs.ai, cs.lg",0.7964458465576172,8.0,120.0,128.0,[]
The Learning of Fuzzy Cognitive Maps With Noisy Data: A Rapid and Robust Learning Method With Maximum Entropy,0,0,1,0,1,"cs.ai, stat.ml",0.5851035118103027,8.0,129.0,137.0,[]
"Automatic Extraction of Ranked SNP-Phenotype Associations from Literature through Detecting Neural Candidates, Negation and Modality Markers",0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.5487213134765625,11.0,131.0,142.0,[]
HBert + BiasCorp -- Fighting Racism on the Web,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.5072047710418701,11.0,119.0,130.0,[]
Multi-Relation Aware Temporal Interaction Network Embedding,0,0,1,0,0,"cs.ai, cs.lg",0.767244815826416,8.0,117.0,125.0,[]
The Deep Weight Prior,0,0,1,0,1,"cs.ai, stat.ml",0.4847910404205322,8.0,111.0,119.0,[]
On Enhancing Speech Emotion Recognition using Generative Adversarial Networks,0,1,0,0,0,"cs.ai, cs.lg",0.6925678253173828,8.0,120.0,128.0,[]
Exact and approximate inference in graphical models: variable elimination and beyond,1,0,1,0,1,"cs.ai, cs.lg",0.4993014335632324,8.0,119.0,127.0,[]
AGGGEN: Ordering and Aggregating while Generating,0,1,0,0,0,"cs.ai, cs.lg",0.46324896812438965,8.0,118.0,126.0,[]
Identifying Mentions of Pain in Mental Health Records Text: A Natural Language Processing Approach,0,1,1,0,0,"cs.ai, cs.cl, stat.ml",0.6232337951660156,11.0,124.0,135.0,[]
Quality Control at Your Fingertips: Quality-Aware Translation Models,1,1,0,0,0,"cs.cl, cs.ai",0.522169828414917,7.0,120.0,127.0,[]
Sparse Sequence-to-Sequence Models,0,1,1,0,0,"cs.ai, cs.cl, stat.ml",0.5905253887176514,11.0,113.0,124.0,[]
SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver,1,0,1,0,1,"cs.ai, cs.lg",0.6258997917175293,8.0,125.0,133.0,[]
NL-Augmenter: A Framework for Task-Sensitive Natural Language Augmentation,1,1,1,0,0,"cs.ai, cs.cl",0.4454684257507324,7.0,122.0,129.0,[]
Natural Language Processing for Information Extraction,1,1,0,0,0,cs.cl,0.5250940322875977,3.0,113.0,116.0,[]
Wasserstein GAN: Deep Generation applied on Bitcoins financial time series,0,0,1,0,1,"cs.ai, stat.ml, cs.lg",0.6292097568511963,12.0,119.0,131.0,[]
Rank optimality for the Burer-Monteiro factorization,0,0,0,1,0,math.oc,1.1481492519378662,4.0,119.0,123.0,[]
On the Reduction of Total-Cost and Average-Cost MDPs to Discounted MDPs,0,0,0,1,0,math.oc,0.6234703063964844,4.0,127.0,131.0,[]
Modular-Relatedness for Continual Learning,0,0,1,0,1,"cs.ai, cs.lg",0.5154240131378174,8.0,115.0,123.0,[]
Features and Agreement,0,1,0,0,0,"cs.ai, cs.cl",0.5848872661590576,7.0,110.0,117.0,[]
Composite Gaussian Processes: Scalable Computation and Performance Analysis,0,0,0,0,1,"cs.ai, stat.ml",0.49643754959106445,8.0,118.0,126.0,[]
NOTE: Robust Continual Test-time Adaptation Against Temporal Correlation,0,0,1,0,0,"cs.ai, cs.lg",0.5943901538848877,8.0,120.0,128.0,[]
Cumulative Sum Ranking,0,0,1,0,1,stat.ml,0.4755980968475342,4.0,111.0,115.0,[]
ConTextual Masked Auto-Encoder for Dense Passage Retrieval,1,1,0,0,0,"cs.ai, cs.lg",0.48047852516174316,8.0,119.0,127.0,[]
"Combining Strong Convergence, Values Fast Convergence and Vanishing of Gradients for a Proximal Point Algorithm Using Tikhonov Regularization in a Hilbert Space",0,0,0,1,0,"math.oc, stat.ml",0.655677080154419,8.0,141.0,149.0,[]
Communication-Constrained Expansion Planning for Resilient Distribution Systems,0,0,0,1,0,math.oc,1.528857707977295,4.0,118.0,122.0,[]
The Optimal Approximation Factors in Misspecified Off-Policy Value Function Estimation,1,0,1,0,1,"stat.ml, cs.lg",0.5900003910064697,8.0,122.0,130.0,[]
Challenging the Semi-Supervised VAE Framework for Text Classification,0,1,1,0,0,"cs.lg, cs.cl, stat.ml",0.619473934173584,11.0,120.0,131.0,[]
Emergent Translation in Multi-Agent Communication,1,1,0,0,0,"cs.ai, cs.cl",0.5790231227874756,7.0,114.0,121.0,[]
One Reflection Suffice,0,0,1,0,1,cs.ai,0.5540719032287598,4.0,111.0,115.0,[]
EBM-Fold: Fully-Differentiable Protein Folding Powered by Energy-based Models,0,0,1,0,0,"cs.ai, cs.lg, stat.ml",0.5409431457519531,12.0,124.0,136.0,[]
When to Ask for Help: Proactive Interventions in Autonomous Reinforcement Learning,0,0,1,0,0,"cs.ai, cs.lg",0.6399972438812256,8.0,122.0,130.0,[]
A Comparative Study on TF-IDF feature Weighting Method and its Analysis using Unstructured Dataset,0,1,1,0,0,"stat.ml, cs.lg",0.6256663799285889,8.0,125.0,133.0,[]
LongForm: Optimizing Instruction Tuning for Long Text Generation with Corpus Extraction,1,1,1,0,0,"cs.ai, cs.lg",0.855074405670166,8.0,122.0,130.0,[]
AutoKnow: Self-Driving Knowledge Collection for Products of Thousands of Types,1,0,0,0,0,"cs.ai, cs.lg",0.6123683452606201,8.0,121.0,129.0,[]
Random Feature-based Online Multi-kernel Learning in Environments with Unknown Dynamics,0,0,1,0,1,"cs.lg, stat.ml",0.5587821006774902,8.0,121.0,129.0,[]
Design from Policies: Conservative Test-Time Adaptation for Offline Policy Optimization,0,0,1,0,0,"cs.lg, cs.ai",0.5584201812744141,8.0,120.0,128.0,[]
Successive Convex Approximation Based Off-Policy Optimization for Constrained Reinforcement Learning,0,0,1,0,0,"cs.ai, cs.lg",0.46127867698669434,8.0,124.0,132.0,[]
Topology-Aware Correlations Between Relations for Inductive Link Prediction in Knowledge Graphs,0,1,1,0,0,"cs.ai, cs.cl, stat.ml",0.5244250297546387,11.0,124.0,135.0,[]
Comparing Rewinding and Fine-tuning in Neural Network Pruning,0,0,1,0,1,"cs.ai, cs.lg",0.5731167793273926,8.0,120.0,128.0,[]
Sparse recovery of an electrical network based on algebraic variety fitting and graph sparsification,0,0,0,1,0,math.oc,0.5116569995880127,4.0,123.0,127.0,[]
A Unified Positive-Unlabeled Learning Framework for Document-Level Relation Extraction with Different Levels of Labeling,1,1,0,0,0,"cs.ai, cs.lg, stat.ml",0.781548261642456,12.0,126.0,138.0,[]
A Comparison of Optimization Algorithms for Deep Learning,0,0,1,0,1,"math.oc, cs.lg",0.6692337989807129,8.0,115.0,123.0,[]
Hyperbox based machine learning algorithms: A comprehensive survey,0,0,1,0,1,"cs.ai, cs.lg, stat.ml",0.553504467010498,12.0,117.0,129.0,[]
"Prediction of single well production rate in water-flooding oil fields driven by the fusion of static, temporal and spatial information",0,0,1,0,0,"stat.ml, cs.lg",0.622567892074585,8.0,131.0,139.0,[]
An Infinite Restricted Boltzmann Machine,0,0,1,0,0,"cs.ai, stat.ml",0.5314211845397949,8.0,114.0,122.0,[]
Link Prediction using Embedded Knowledge Graphs,1,1,1,0,0,"cs.ai, cs.lg",0.7345349788665771,8.0,114.0,122.0,[]
Risk-Aware Active Inverse Reinforcement Learning,0,0,1,0,1,"cs.ai, cs.lg",0.5534751415252686,8.0,116.0,124.0,[]
Constrained Convolutional-Recurrent Networks to Improve Speech Quality with Low Impact on Recognition Accuracy,0,0,1,0,0,"cs.ai, cs.cl, stat.ml",0.5629904270172119,11.0,125.0,136.0,[]
On the nonlocal stabilization by starting control of the normal equation generated from Helmholtz system,0,0,0,1,0,math.oc,0.4135305881500244,4.0,125.0,129.0,[]
Stochastic Subspace Cubic Newton Method,0,0,1,1,0,math.oc,1.0304920673370361,4.0,115.0,119.0,[]
Convergence Analysis of Generalized ADMM with Majorization for Linearly Constrained Composite Convex Optimization,0,0,0,1,0,math.oc,1.028681993484497,4.0,127.0,131.0,[]
Safety Guarantees for Planning Based on Iterative Gaussian Processes,0,0,1,0,1,"cs.ai, stat.ml, cs.lg",0.5608627796173096,12.0,118.0,130.0,[]
SesameBERT: Attention for Anywhere,0,1,1,0,0,"cs.ai, cs.lg",0.7138822078704834,8.0,114.0,122.0,[]
Machine Learning Performance Analysis to Predict Stroke Based on Imbalanced Medical Dataset,1,0,1,0,0,"stat.ml, cs.lg",4.515335559844971,8.0,120.0,128.0,[]
Probabilistic Decoupling of Labels in Classification,0,0,1,0,1,"cs.lg, stat.ml",0.5817663669586182,8.0,117.0,125.0,[]
LatEval: An Interactive LLMs Evaluation Benchmark with Incomplete Information from Lateral Thinking Puzzles,0,1,0,0,0,"cs.ai, cs.lg",0.6006653308868408,8.0,127.0,135.0,[]
Missing Not at Random in Matrix Completion: The Effectiveness of Estimating Missingness Probabilities Under a Low Nuclear Norm Assumption,0,0,1,0,1,"stat.ml, math.oc",0.574472188949585,8.0,133.0,141.0,[]
Generative Modelling for Unsupervised Score Calibration,0,0,1,0,1,"cs.ai, stat.ml",0.6893966197967529,8.0,117.0,125.0,[]
Characterization of the dissipative mappings and their application to perturbations of dissipative-Hamiltonian systems,0,0,0,1,0,"none of the labels provided are a good fit for the text, as it does not specifically relate to artificial intelligence, computational linguistics, machine learning, operations research, or learning in computer science.",0.7825818061828613,40.0,127.0,167.0,['cs.AI']
Probability Aggregates in Probability Answer Set Programming,1,0,0,0,0,"cs.ai, stat.ml",0.6824274063110352,8.0,115.0,123.0,[]
Clever Search: A WordNet Based Wrapper for Internet Search Engines,1,0,0,0,0,cs.cl,0.7059729099273682,3.0,119.0,122.0,[]
Day-Ahead Hourly Forecasting of Power Generation from Photovoltaic Plants,0,0,1,0,1,cs.ai,0.56205153465271,4.0,122.0,126.0,[]
Cross-lingual Pre-training Based Transfer for Zero-shot Neural Machine Translation,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.5780327320098877,11.0,121.0,132.0,[]
"Global Navigation Using Predictable and Slow Feature Analysis in Multiroom Environments, Path Planning and Other Control Tasks",0,0,1,0,1,"cs.ai, cs.lg",0.621056318283081,8.0,128.0,136.0,[]
A Map of Bandits for E-commerce,0,0,1,0,0,"cs.ai, cs.lg",0.6235232353210449,8.0,115.0,123.0,[]
Enhancing Contrastive Learning with Noise-Guided Attack: Towards Continual Relation Extraction in the Wild,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.6841096878051758,11.0,127.0,138.0,[]
An extragradient algorithm for quasiconvex equilibrium problems without monotonicity,0,0,0,1,0,math.oc,0.6011941432952881,4.0,123.0,127.0,[]
Switching Scheme: A Novel Approach for Handling Incremental Concept Drift in Real-World Data Sets,0,0,1,0,0,"cs.ai, stat.ml, cs.lg",0.5255920886993408,12.0,125.0,137.0,[]
PALI-NLP at SemEval-2022 Task 4: Discriminative Fine-tuning of Transformers for Patronizing and Condescending Language Detection,1,1,0,0,0,"cs.cl, cs.lg",0.5935196876525879,7.0,138.0,145.0,[]
Convexification with bounded gap for randomly projected quadratic optimization,0,0,0,1,0,math.oc,0.5935454368591309,4.0,118.0,122.0,[]
Belief change with noisy sensing in the situation calculus,1,0,0,0,0,cs.ai,0.4970896244049072,4.0,117.0,121.0,[]
