text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness,sadness,0.4451324939727783,3.0,129.0,132.0,sadness
i don t feel guilty like i m not going to be able to cook for him,sadness,sadness,0.5784063339233398,3.0,113.0,116.0,sadness
i hate it when i feel fearful for absolutely no reason,fear,fear,0.49581360816955566,2.0,107.0,109.0,fear
i am feeling outraged it shows everywhere,anger,anger,1.1219775676727295,2.0,104.0,106.0,anger
i stole a book from one of my all time favorite authors and now i feel like a rotten person,sadness,sadness,0.5289638042449951,3.0,116.0,119.0,sadness
i do feel insecure sometimes but who doesnt,fear,sadness,0.5740249156951904,3.0,104.0,107.0,sadness
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger,joy,0.6011745929718018,2.0,128.0,130.0,joy
ive been missing him and feeling so restless at home thinking of him,fear,sadness,0.5171129703521729,3.0,109.0,112.0,sadness
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger,sadness,0.5707352161407471,3.0,120.0,123.0,sadness
i start to feel emotional,sadness,sadness,0.5901143550872803,3.0,101.0,104.0,sadness
i feel so cold a href http irish,anger,sadness,0.5286378860473633,3.0,105.0,108.0,sadness
i feel like i m defective or something for not having baby fever,sadness,sadness,0.4054679870605469,3.0,109.0,112.0,sadness
i feel more virtuous than when i eat veggies dipped in hummus,joy,joy,0.5166022777557373,2.0,110.0,112.0,joy
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,joy,0.5628607273101807,2.0,136.0,138.0,joy
i spent the last two weeks of school feeling miserable,sadness,sadness,0.7003486156463623,3.0,106.0,109.0,sadness
im feeling very peaceful about our wedding again now after having,joy,joy,0.38608574867248535,2.0,107.0,109.0,joy
i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy,joy,0.5150480270385742,2.0,126.0,128.0,joy
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,anger,0.5301263332366943,2.0,123.0,125.0,anger
i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,sadness,sadness,0.5230278968811035,3.0,129.0,132.0,sadness
i feel reassured that i am dealing with my diet in the right way and that all is good,joy,joy,0.445756196975708,2.0,116.0,118.0,joy
i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness,fear,0.5971925258636475,2.0,114.0,116.0,fear
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy,joy,0.5194692611694336,2.0,121.0,123.0,joy
im feeling really out of place and irritated,anger,sadness,0.6245923042297363,3.0,104.0,107.0,sadness
i also know that i feel nothing than a friendly affection to them too,joy,love,0.49416399002075195,2.0,110.0,112.0,love
i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy,joy,0.5340263843536377,2.0,118.0,120.0,joy
im feeling insecure at the moment,fear,sadness,0.5916013717651367,3.0,102.0,105.0,sadness
i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,fear,joy,0.4452197551727295,2.0,119.0,121.0,joy
i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness,sadness,0.4435305595397949,3.0,124.0,127.0,sadness
i feel a little nervous i go to the gym,fear,fear,0.5480384826660156,2.0,106.0,108.0,fear
i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy,joy,0.6285097599029541,2.0,130.0,132.0,joy
i can t stop the anxiety i feel when i m alone when i ve got no distractions,sadness,fear,0.6635746955871582,2.0,114.0,116.0,fear
im trying to feel out my house style now that im living on my own and have creative carte blanche,joy,joy,0.46887683868408203,2.0,116.0,118.0,joy
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,sadness,sadness,0.4629507064819336,3.0,136.0,139.0,sadness
i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,sadness,sadness,0.9824881553649902,3.0,118.0,121.0,sadness
i have a good feeling about this so i am excited,joy,joy,0.500856876373291,2.0,107.0,109.0,joy
i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,sadness,joy,0.6476044654846191,2.0,119.0,121.0,joy
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,anger,sadness,0.4941835403442383,3.0,132.0,135.0,sadness
i woke up yesterday monday morning feeling a little depressed,sadness,sadness,0.41997551918029785,3.0,106.0,109.0,sadness
i feel so embarrassed,sadness,sadness,0.6441316604614258,3.0,100.0,103.0,sadness
i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,joy,sadness,0.6492283344268799,3.0,143.0,146.0,sadness
i can honestly say that after each sistahs chat i feel invigorated and blessed,joy,joy,0.5567028522491455,2.0,112.0,114.0,joy
i still feel stupid to be in that class this is all cause off pbss fault,sadness,sadness,0.5459227561950684,3.0,113.0,116.0,sadness
i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,surprise,surprise,0.8511013984680176,3.0,120.0,123.0,surprise
i admit im feeling a little bit unloved at this point,sadness,sadness,0.46981215476989746,3.0,108.0,111.0,sadness
i feel a bit stressed even though all the things i have going on are fun,anger,sadness,0.5394697189331055,3.0,112.0,115.0,sadness
im feeling pretty anxious,fear,fear,0.5071191787719727,2.0,100.0,102.0,fear
i feel shocked and sad at the fact that there are so many sick people,surprise,sadness,1.1064531803131104,3.0,111.0,114.0,sadness
i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,joy,love,0.6939945220947266,2.0,131.0,133.0,love
i feel like a naughty school girl because i am falling behind,love,sadness,1.0381641387939453,3.0,108.0,111.0,sadness
i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,surprise,surprise,0.47426462173461914,3.0,117.0,120.0,surprise
i can feel that they are kind friendly and can understand my feelings,joy,joy,0.49543118476867676,2.0,109.0,111.0,joy
i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,love,sadness,0.6234376430511475,3.0,122.0,125.0,sadness
i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,anger,anger,0.5439853668212891,2.0,124.0,126.0,anger
i feel transcendant and splendid,joy,joy,0.6132960319519043,2.0,102.0,104.0,joy
i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,sadness,sadness,4.013402462005615,3.0,114.0,117.0,sadness
i am feeling totally relaxed and comfy,joy,joy,0.48609137535095215,2.0,103.0,105.0,joy
i want each of you to feel my gentle embrace,love,love,0.4826502799987793,2.0,106.0,108.0,love
i feel privileged in my world,joy,joy,0.8718945980072021,2.0,102.0,104.0,joy
i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,anger,anger,0.5704095363616943,2.0,122.0,124.0,anger
i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,sadness,sadness,0.590512752532959,3.0,114.0,117.0,sadness
i suppose i feel too trusting sometimes,joy,sadness,0.47171783447265625,3.0,103.0,106.0,sadness
i came home waiting for the shower read something which made me upset thats why i feel discontent haha,sadness,sadness,0.4858715534210205,3.0,116.0,119.0,sadness
i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,sadness,sadness,0.4698326587677002,3.0,128.0,131.0,sadness
i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,joy,love,0.6222097873687744,2.0,119.0,121.0,love
i am feeling so happy,joy,joy,1.0069024562835693,2.0,101.0,103.0,joy
i am running at an approximate minute pace which i feel is quite acceptable,joy,joy,0.5843052864074707,2.0,110.0,112.0,joy
i feel so disappointed when my ex girlfriend doesn t call me back,sadness,sadness,0.5668210983276367,3.0,109.0,112.0,sadness
i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,joy,joy,0.5790202617645264,2.0,127.0,129.0,joy
i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,fear,sadness,0.41478466987609863,3.0,121.0,124.0,sadness
i just plain feel envious of the self confidence they had,anger,sadness,0.5705199241638184,3.0,108.0,111.0,sadness
i was feeling weird the other day and it went away about minutes after i took my metformin,fear,sadness,0.6408672332763672,3.0,115.0,118.0,sadness
when a friend dropped a frog down my neck,anger,fear,0.6368348598480225,2.0,105.0,107.0,fear
im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,anger,anger,0.6063058376312256,2.0,113.0,115.0,anger
i love neglecting this blog but sometimes i feel for my faithful readers,love,love,0.4718654155731201,2.0,110.0,112.0,love
i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,sadness,sadness,0.4623253345489502,3.0,126.0,129.0,sadness
i feel my heart is tortured by what i have done,anger,sadness,0.5521056652069092,3.0,107.0,110.0,sadness
i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,sadness,sadness,0.5659050941467285,3.0,121.0,124.0,sadness
i feel needy but comfortable with it i feel vulnerable but secure i feel the urge to cum hard but i get no relief,sadness,sadness,0.6156115531921387,3.0,120.0,123.0,sadness
i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,sadness,sadness,0.6034770011901855,3.0,115.0,118.0,sadness
i started out feeling discouraged this morning,sadness,sadness,0.6729228496551514,3.0,103.0,106.0,sadness
i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,fear,sadness,0.4347648620605469,3.0,117.0,120.0,sadness
i grab it from the air its smooth frame feels cold to the touch,anger,sadness,0.5486328601837158,3.0,110.0,113.0,sadness
i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,anger,anger,0.45703864097595215,2.0,121.0,123.0,anger
i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,joy,sadness,0.5926024913787842,3.0,128.0,131.0,sadness
i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,joy,joy,0.5965394973754883,2.0,116.0,118.0,joy
i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear,anger,0.6620032787322998,2.0,136.0,138.0,anger
im feeling pretty disheartened by the whole thing,sadness,sadness,0.6339387893676758,3.0,107.0,110.0,sadness
i feel that an input from me will be valued as being less potent than say that of irfan pathan,joy,sadness,0.5281021595001221,3.0,118.0,121.0,sadness
i feel is he generous,love,sadness,0.5521988868713379,3.0,101.0,104.0,sadness
i even feel a little shaky,fear,fear,0.4211454391479492,2.0,102.0,104.0,fear
i am feeling better though i dont sound it,joy,joy,0.6075942516326904,2.0,105.0,107.0,joy
i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,sadness,sadness,0.6042366027832031,3.0,130.0,133.0,sadness
i feel our world then was a much more innocent place,joy,sadness,0.49230051040649414,3.0,107.0,110.0,sadness
i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,joy,sadness,0.5239412784576416,3.0,116.0,119.0,sadness
im not feeling anything suspicious really,fear,neutral,0.5986719131469727,2.0,102.0,104.0,error
i was feeling a little sentimental today,sadness,sadness,0.927804708480835,3.0,103.0,106.0,sadness
i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,joy,anger,0.6805434226989746,2.0,156.0,158.0,anger
i feel less whiney since the sun came out here in the sf area,sadness,joy,0.7103452682495117,2.0,112.0,114.0,joy
made a wonderfull new friend,joy,joy,0.5500693321228027,2.0,102.0,104.0,joy
i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,sadness,sadness,0.4600064754486084,3.0,132.0,135.0,sadness
i know its easy to feel a little envious of me and i cant tell you that you shouldnt,anger,sadness,0.5607759952545166,3.0,117.0,120.0,sadness
i would feel awful if she was here this whole time,sadness,sadness,0.6145334243774414,3.0,107.0,110.0,sadness
i feel very mislead by someone that i really really thought i knew and liked very much so,love,sadness,0.5433151721954346,3.0,115.0,118.0,sadness
i feel like we are doomed us humans,sadness,sadness,0.45171546936035156,3.0,104.0,107.0,sadness
i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,fear,fear,0.5524647235870361,2.0,133.0,135.0,fear
i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,sadness,sadness,0.4676330089569092,3.0,128.0,131.0,sadness
ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,sadness,sadness,0.5487780570983887,3.0,112.0,115.0,sadness
i feel that this information is vital to moving on with your day and you re not complete until you read it,joy,joy,0.667414665222168,2.0,118.0,120.0,joy
im feeling generous today heres one more you may have already seen but is good for a chuckle,love,joy,0.6043400764465332,2.0,116.0,118.0,joy
i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,sadness,sadness,0.4192850589752197,3.0,134.0,137.0,sadness
i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,anger,sadness,0.4053966999053955,3.0,120.0,123.0,sadness
i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,anger,anger,0.384019136428833,2.0,117.0,119.0,anger
i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,joy,joy,0.5849590301513672,2.0,127.0,129.0,joy
i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,fear,fear,0.4062042236328125,2.0,114.0,116.0,fear
i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger,sadness,0.5771365165710449,3.0,125.0,128.0,sadness
i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,sadness,sadness,0.4927034378051758,3.0,153.0,156.0,sadness
i feel radiant bright accomplished and happy,joy,joy,0.48314404487609863,2.0,103.0,105.0,joy
i feel refrigerator magnets that were so popular a few years ago,joy,sadness,0.5642547607421875,3.0,108.0,111.0,sadness
i am feeling very touch deprived with all that has been happening,sadness,sadness,0.6185908317565918,3.0,108.0,111.0,sadness
i am feeling apprehensive about it but also wildly excited,fear,joy,0.5096642971038818,2.0,107.0,109.0,joy
i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,joy,joy,0.6342542171478271,2.0,124.0,126.0,joy
i am a quiet person but what i have to say i feel is important,joy,sadness,0.5372564792633057,3.0,111.0,114.0,sadness
i think i started to feel a little homesick,sadness,sadness,0.5063130855560303,3.0,106.0,109.0,sadness
i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,joy,joy,0.42806148529052734,2.0,131.0,133.0,joy
i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,fear,sadness,0.4488229751586914,3.0,131.0,134.0,sadness
im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,fear,sadness,0.7865965366363525,3.0,113.0,116.0,sadness
i feel that i need to know that i can depend on myself before i put myself in the position of supporting someone else and being supported by someone else,love,sadness,0.4817314147949219,3.0,126.0,129.0,sadness
im feeling rather angsty and listless,sadness,sadness,0.6425895690917969,3.0,104.0,107.0,sadness
i try my best to love on them shed some light but i feel deeply compassionate with their problems and hurt even if its someone in the media,love,love,0.5346701145172119,2.0,124.0,126.0,love
i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,surprise,fear,0.44847726821899414,2.0,130.0,132.0,fear
i feel gloomy and tired,sadness,sadness,0.5679624080657959,3.0,101.0,104.0,sadness
i really like this person feel that the question was really asked out of a sincere place of love and concern about how to move forward in light of what the sexuality study recently a href http www,joy,love,0.7614555358886719,2.0,134.0,136.0,love
i would force myself to eat my normal routine clean meals a day but then i just started feeling so awful,sadness,sadness,4.464226722717285,3.0,117.0,120.0,sadness
i feel rather privileged to have witnessed the great man in action it really was impossible for a novice like me to work out just which one of the four identical looking riders was he,joy,joy,0.6799337863922119,2.0,131.0,133.0,joy
i feel like im at the spa getting a wonderful facial when i use them,joy,joy,0.5920560359954834,2.0,111.0,113.0,joy
i feel petty all of a sudden,anger,sadness,0.4592142105102539,3.0,103.0,106.0,sadness
i hope you like this more honest amp raw blog post amp if you are feeling unhappy i hope this makes you feel less alone,sadness,sadness,0.6047427654266357,3.0,121.0,124.0,sadness
i feel slightly disgusted as well,anger,sadness,0.5271568298339844,3.0,103.0,106.0,sadness
i was quite surprised with the weather these past few days but im so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,anger,surprise,0.63641357421875,3.0,128.0,131.0,surprise
i feel slightly relaxed being a,joy,joy,0.7524204254150391,2.0,102.0,104.0,joy
i feel shy to admit that i was struggling to haul a single computer up,fear,sadness,0.5456573963165283,3.0,111.0,114.0,sadness
i just went about my script of would you like mustard or sauce with that and started to feel really startled,fear,surprise,0.5458252429962158,3.0,117.0,120.0,surprise
i enjoy my colleagues i m not feeling very sociable today,joy,joy,0.9166450500488281,2.0,108.0,110.0,joy
im feeling and if ive liked being pregnant,love,joy,0.9021172523498535,2.0,104.0,106.0,joy
i then feel your tender touch as you enfold me with his love,love,love,0.5152506828308105,2.0,110.0,112.0,love
i lost a few people which i hate because i have a really hard time letting go of people to whom i feel loyal,love,sadness,0.620551347732544,3.0,120.0,123.0,sadness
i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,sadness,sadness,0.6123056411743164,3.0,135.0,138.0,sadness
i feel i m being nutritionally supportive of it as well,love,joy,0.5238544940948486,2.0,108.0,110.0,joy
i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,anger,joy,0.40619993209838867,2.0,118.0,120.0,joy
i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,joy,sadness,0.5857100486755371,3.0,123.0,126.0,sadness
i have to admit i feel amused when i see the pti jamiat and a whole lot of others in the media try to avoid the suggestion that they are actually protesting the use of sharia in the case of raymond davis s release,joy,amusement,0.7834382057189941,3.0,143.0,146.0,error
i feel embarrassed that it got so bad,sadness,sadness,0.5289294719696045,3.0,104.0,107.0,sadness
im feeling really bitter about this one,anger,sadness,0.9386005401611328,3.0,103.0,106.0,sadness
i feel brave today heading to amman and beirut by way of istanbul or i feel brave today a href http jessicadickinsongoodman,joy,joy,0.8254978656768799,2.0,130.0,132.0,joy
i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,joy,joy,0.5063169002532959,2.0,120.0,122.0,joy
i feel like a loser everyone says they lost but i dont i know exactly where i am i just hate being here oh,sadness,sadness,0.6220176219940186,3.0,120.0,123.0,sadness
i feel defeated but others i feel refreshed,sadness,sadness,0.49161291122436523,3.0,104.0,107.0,sadness
i was feeling particularly vulnerable in a specific area so i began to talking to my friends and interestingly enough there was an incredible understanding of my struggle,fear,joy,0.47593045234680176,2.0,125.0,127.0,joy
i go onto the officer down memorial page and reflect on my feelings about that wonderful officer which seems to make me feel a little better,joy,joy,0.553086519241333,2.0,122.0,124.0,joy
im with a group of people i still feel isolated and on the outside looking in,sadness,sadness,0.39997172355651855,3.0,112.0,115.0,sadness
i feel blessed to know this family,love,joy,0.601599931716919,2.0,103.0,105.0,joy
i feel terrified because my landlord has not changed our locks yet,fear,fear,0.6265418529510498,2.0,108.0,110.0,fear
i am loosing out but i feel like i have have so much to share with many and if anything that is not unfortunate if anything it makes me grateful,sadness,joy,0.391218900680542,2.0,127.0,129.0,joy
i don t like eating meals that feel too virtuous,joy,sadness,0.45261454582214355,3.0,107.0,110.0,sadness
i left feeling pretty thrilled for the opportunity to at least throw my name in the hat,joy,joy,0.5436220169067383,2.0,113.0,115.0,joy
i feel kinda weird when andrea tries to talk to me about chris,fear,sadness,0.6892096996307373,3.0,111.0,114.0,sadness
i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,anger,love,0.4471118450164795,2.0,139.0,141.0,love
i feel was pretty triumphant,joy,joy,0.6705982685089111,2.0,102.0,104.0,joy
im enjoying my solitary confinement at home i rarely feel lonely,sadness,joy,0.4295940399169922,2.0,107.0,109.0,joy
i am being over dramatic but i do feel very strongly for her and i am resolved to speak with her next chance i get,joy,love,0.5879206657409668,2.0,121.0,123.0,love
i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger,anger,0.5597288608551025,2.0,122.0,124.0,anger
i feel so lousy but i shouldnt be focusing on me now,sadness,sadness,0.5375533103942871,3.0,109.0,112.0,sadness
i cant remember ever feeling so exhausted it took trips with the car on the last day to get everything brought to the trailer,sadness,sadness,0.5398318767547607,3.0,120.0,123.0,sadness
i wrote two years ago so many things i feel unsure of maybe,fear,sadness,0.524714469909668,3.0,109.0,112.0,sadness
i feel suspicious of informality and a lack of credentials,fear,fear,0.5491459369659424,2.0,107.0,109.0,fear
i receive every month make me proud and feel appreciative,joy,joy,0.5742361545562744,2.0,106.0,108.0,joy
i feel that third situation pretty much sums up my feelings toward this title,joy,sadness,0.4585866928100586,3.0,110.0,113.0,sadness
i wanted to feel him in my hands and reached out to take him into my waiting eager mouth,joy,love,0.5093295574188232,2.0,115.0,117.0,love
i feel more gentle that way wth,love,joy,0.45691466331481934,2.0,104.0,106.0,joy
i got home feeling hot tired and great,love,joy,0.45732831954956055,2.0,104.0,106.0,joy
i feel more creative,joy,joy,0.5624973773956299,2.0,100.0,102.0,joy
i feel so talented i can use a computer,joy,joy,0.5438838005065918,2.0,105.0,107.0,joy
i feel unfathomably rich in having had a healthy pregnancy so far,joy,joy,0.44034743309020996,2.0,111.0,113.0,joy
i wish to know whether i should feel sympathetic towards the airline american if say their plane is on fire or their pilot has exploded or whether i should want to set them on fire if say they just decided to walk on their obligations to save money,love,anger,0.7911820411682129,2.0,144.0,146.0,anger
i don t want them to feel so pressured,fear,sadness,0.44312047958374023,3.0,105.0,108.0,sadness
i still feel frightened of the world yet no where near as much as i used to,fear,fear,0.5854189395904541,2.0,113.0,115.0,fear
im not feeling mellow,joy,sadness,0.6545121669769287,3.0,100.0,103.0,sadness
i wake too early so i feel grumpy,anger,sadness,0.49539971351623535,3.0,105.0,108.0,sadness
i believe you all will come to my work place and just try to make me feel humiliated but you know what deep down in my heart i know who is the one who should be ashamed of themselves,sadness,anger,0.4307370185852051,2.0,136.0,138.0,anger
i did finally get it if you didn t laugh left me feeling delighted exhausted and just so privileged,joy,joy,0.4620397090911865,2.0,115.0,117.0,joy
i was remembering this i was feeling skeptical,fear,fear,0.49787116050720215,2.0,104.0,106.0,fear
i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,joy,joy,0.5801601409912109,2.0,122.0,124.0,joy
i feel dirty talking to people for my personal gain,sadness,sadness,0.6244692802429199,3.0,106.0,109.0,sadness
i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,anger,sadness,0.551257848739624,3.0,130.0,133.0,sadness
i feel numb as i carry on and i wonder if i will get over it,sadness,sadness,0.6078400611877441,3.0,112.0,115.0,sadness
i was somewhat coerced into this blog review so i feel a bit rushed and flustered,anger,sadness,0.5147011280059814,3.0,115.0,118.0,sadness
i guess i wont feel too jealous since i often do my mothering at the pool but its nice to have a husband again,anger,joy,0.5427141189575195,2.0,121.0,123.0,joy
im not sure how i feel about needing to exercise so as to maintain a pleasant demeanor,joy,confusion,0.6403498649597168,3.0,113.0,116.0,error
i feel alarmed,fear,fear,0.4414336681365967,2.0,100.0,102.0,fear
i think i wanted audiences to feel impressed inspired or entertained when i was on stage,surprise,joy,0.9344186782836914,2.0,112.0,114.0,joy
i wasnt feeling well yesterday morning afternoon so i just laid in bed and ended up in the all too familiar youtube black hole,joy,sadness,0.5990307331085205,3.0,120.0,123.0,sadness
i have these terrible feelings that i hyped myself up to be more talented than i am,joy,sadness,0.4451138973236084,3.0,114.0,117.0,sadness
i do take on a half marathon challenge then i will wait and see how the body feels as to whether there will be a pb attempt or a casual kilometre shuffle,joy,joy,0.9209654331207275,2.0,129.0,131.0,joy
i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself,anger,anger,0.6209292411804199,2.0,116.0,118.0,anger
i feel like i cant be respected if i have self respect because it is so regular to now hate your self,joy,sadness,0.4669806957244873,3.0,118.0,121.0,sadness
i smiled at him feeling his longing and said maybe later buddy but i have to make lunch now,love,joy,0.6167788505554199,2.0,115.0,117.0,joy
