text,bug,docs,feature,question,won't fix,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
"Strange behavior of loss logger, different from actual loss, and with delay. Probably I am misreading something.",0,0,0,1,0,"bug, question
",1.1360242366790771,4.0,106.0,110.0,"['bug', 'question']"
Question about save_hyperparameters(),0,0,0,1,0,"question
",1.7980108261108398,2.0,91.0,93.0,['question']
How to pass in step argument to `scheduler.step()`,0,0,0,1,0,"question
",1.282057523727417,2.0,96.0,98.0,['question']
How to re-initlaize a custom accelerator inside the training loop ?,0,0,0,1,0,"question
",1.0422568321228027,2.0,99.0,101.0,['question']
Classification metrics docs incorrectly state they work with logits,0,1,0,0,0,"bug, docs
",1.2138829231262207,4.0,93.0,97.0,"['bug', 'docs']"
Logging metrics (learning rate) to progress bar,0,0,0,1,0,"feature
",1.215106725692749,2.0,93.0,95.0,['feature']
Error in example of learning rate finder docs ,0,1,0,0,0,"bug, docs
",1.1400606632232666,4.0,93.0,97.0,"['bug', 'docs']"
How to do a full validation loop at iteration 0?,0,0,0,1,1,"question
",1.1657099723815918,2.0,96.0,98.0,['question']
How to use Lightning 1.0 without validation dataloader ?,0,0,0,1,0,"question
",1.1531999111175537,2.0,98.0,100.0,['question']
ModelCheckpoint.save_function documentation,0,0,0,1,0,"docs
",1.1321463584899902,2.0,91.0,93.0,['docs']
Add model sharding/gradient checkpointing from FairScale,0,0,1,0,0,"feature
",1.1167337894439697,2.0,95.0,97.0,['feature']
How to use multiple loaders?,0,0,0,1,0,"question, docs
",1.1019787788391113,4.0,90.0,94.0,"['question', 'docs']"
[Docs] replace distributed_backend with accelerator in docs,0,1,0,0,0,"docs
",1.1743199825286865,2.0,95.0,97.0,['docs']
ReduceLROnPlateau Scheduler documentation problem,0,1,0,0,0,"docs
",1.2682883739471436,2.0,92.0,94.0,['docs']
How to save the latest and best checkpoint?,0,0,0,1,0,"question
",1.1885509490966797,2.0,93.0,95.0,['question']
Multiple GPU/TPU support?,0,0,0,1,0,"feature, question
",2.8252742290496826,4.0,91.0,95.0,"['feature', 'question']"
ModuleNotFoundError: No module named 'pytorch_lightning.trainer.seed',0,0,0,1,0,"bug
",3.504998207092285,2.0,99.0,101.0,['bug']
self.log with Metric in ddp,0,0,0,1,1,"bug, question
",1.2291297912597656,4.0,92.0,96.0,"['bug', 'question']"
TypeError: __init__() got an unexpected keyword argument 'default_save_path',0,0,0,1,0,"bug
",1.1107721328735352,2.0,101.0,103.0,['bug']
How to add dynamically defined module and its optimizer to the lightning module?,0,0,0,1,1,"question
",1.0460898876190186,2.0,98.0,100.0,['question']
How to save gradient every step?,0,0,0,1,0,"question
",1.2450103759765625,2.0,91.0,93.0,['question']
Typo in sample codes of training_step_end() documentation,0,1,0,0,0,"docs, bug
",1.2460644245147705,4.0,96.0,100.0,"['bug', 'docs']"
Trying to find the best way to implement a gradient penalty,0,0,0,1,0,"question
",1.1076147556304932,2.0,95.0,97.0,['question']
Model save,0,0,0,1,0,"feature, question
",1.1435766220092773,4.0,86.0,90.0,"['feature', 'question']"
"multiple dataset to train model. Sharing backbone, Separable classifier.",0,0,0,1,1,"feature
",1.172440767288208,2.0,97.0,99.0,['feature']
How to compute a block of code using full precision when training with AMP?,0,0,0,1,0,"question
",1.394841194152832,2.0,99.0,101.0,['question']
How to print acc while training?,0,0,0,1,0,"question
",1.213771104812622,2.0,91.0,93.0,['question']
'AmpOptimizerState' object has no attribute 'all_fp16_params' when Trainer amp_level,0,0,0,1,1,"bug
",1.2065978050231934,2.0,107.0,109.0,['bug']
Metric update method is called twice in a row,0,0,0,1,0,"bug
",1.0459063053131104,2.0,93.0,95.0,['bug']
Set different lr_schedulers for different parameter groups,0,0,0,1,0,"feature
",1.0743625164031982,2.0,93.0,95.0,['feature']
[question] How to override how `self.train_transform` is applied to batches in `LightningDataModule`.,0,0,0,1,1,"question
",1.083430290222168,2.0,108.0,110.0,['question']
How to change optimizer and lr scheduler in the middle of training?,0,0,0,1,0,"question
",0.5823686122894287,2.0,97.0,99.0,['question']
How automaticly load best model checkpoint on Trainer instance with TestTubeLogger,0,0,0,1,0,"question
",1.2343003749847412,2.0,98.0,100.0,['question']
Child Modules Code Example,0,1,0,0,0,"docs
",1.146306037902832,2.0,88.0,90.0,['docs']
How to wrap progress bar?,0,0,1,1,0,"question
",1.3054771423339844,2.0,90.0,92.0,['question']
Print out learning_rate in the progress bar,0,0,0,1,0,"feature
",1.0908491611480713,2.0,93.0,95.0,['feature']
How was the README animation created ?,0,0,0,1,1,"question
",1.2007153034210205,2.0,91.0,93.0,['question']
Skip the train_step based on batch statistics,0,0,0,1,0,"feature
",1.2510685920715332,2.0,93.0,95.0,['feature']
Use two separate dataloaders,0,0,0,1,0,"feature
",1.4933521747589111,2.0,90.0,92.0,['feature']
Document class inheriting from LightningModule,0,1,0,0,1,"docs
",1.070056438446045,2.0,91.0,93.0,['docs']
some questions about loading checkpoints,0,0,0,1,1,"question
",0.530463457107544,2.0,89.0,91.0,['question']
How to specify 'mode' when using checkpoint_on in the new Result types.,0,0,0,1,1,"question
",1.132347822189331,2.0,101.0,103.0,['question']
Validation step returns trainresult instead of evalresult,0,1,0,0,0,"bug
",1.0958738327026367,2.0,93.0,95.0,['bug']
ModelCheckpoint every validation cycle instead of epoch?,0,0,0,1,0,"feature
",1.1196997165679932,2.0,93.0,95.0,['feature']
Remove forward hook from lightning documentation,0,1,0,0,0,"docs
",1.4131968021392822,2.0,90.0,92.0,['docs']
More explanation needed in documentation on DP vs. DDP in multi-GPU training,0,0,0,1,0,"docs, question
",1.127631664276123,4.0,100.0,104.0,"['question', 'docs']"
Weights precisions do not match up. AMP,0,0,0,1,1,"bug
",1.0923807621002197,2.0,93.0,95.0,['bug']
How to access validation logs data inside the on_validation_batch_end callback,0,0,0,1,0,"question
",1.542052984237671,2.0,100.0,102.0,['question']
training discriminator five time for WGAN and generator only one,0,0,0,1,0,"bug, question
",0.7316267490386963,4.0,95.0,99.0,"['bug', 'question']"
row_log_interval / checkpoint_callback and early_stop_callback,0,0,0,1,1,"bug, feature
",1.1059045791625977,4.0,99.0,103.0,"['bug', 'feature']"
EvalResult can't log 2D tensor,0,0,0,1,0,"bug
",1.1400361061096191,2.0,94.0,96.0,['bug']
Disabling printing of GPU debug information,0,0,0,1,0,"bug
",0.6147091388702393,2.0,91.0,93.0,['bug']
Add a note about row_log_interval=50 default to logging doc page or warning,0,1,0,0,0,"docs
",1.1219251155853271,2.0,103.0,105.0,['docs']
How to schedule learning rate in pytorch_lightning,0,0,0,1,0,"question
",0.5071613788604736,2.0,94.0,96.0,['question']
Test that the number of files in tensorboard was correct in distributed,0,0,1,0,0,"bug, feature, docs
",1.222311019897461,6.0,97.0,103.0,"['bug', 'feature', 'docs']"
Support for production deployment,0,0,0,1,1,"feature
",0.7774128913879395,2.0,88.0,90.0,['feature']
Does self.log do ddp sync automatically?,0,0,0,1,0,"question
",1.0591304302215576,2.0,94.0,96.0,['question']
Error in  `load_from_checkpoint` when LightningModule init contains 'hparams',0,0,0,1,1,"bug
",1.069763422012329,2.0,103.0,105.0,['bug']
2 optimizers : skip updates for the second optim,0,0,0,1,0,"bug, feature
",1.0244414806365967,4.0,95.0,99.0,"['bug', 'feature']"
Adding histogram through TensorBoardLogger object not working  ,1,0,0,0,0,"bug
",1.1807010173797607,2.0,94.0,96.0,['bug']
Confusion over Early Stopping behavior and how it is intended to work in the future ,0,0,0,1,0,"question, docs
",1.0610620975494385,4.0,100.0,104.0,"['question', 'docs']"
Setting gpus with hydra,0,0,0,1,0,"question
",1.117419958114624,2.0,89.0,91.0,['question']
train_percent_check as a method for reducing train data size.,0,0,0,1,0,"feature
",1.196749210357666,2.0,98.0,100.0,['feature']
What is the model saved by the trainer by default?,0,0,0,1,0,"question
",1.1985247135162354,2.0,95.0,97.0,['question']
How to interpret the profiler statistics here,0,0,0,1,1,"question
",1.361027479171753,2.0,91.0,93.0,['question']
Checkpointing with SLURM,0,0,0,1,0,"feature
",1.0238561630249023,2.0,90.0,92.0,['feature']
Question about `trainer.test()`,0,0,1,1,0,"question
",1.3327157497406006,2.0,91.0,93.0,['question']
Typo in child modules docs,0,1,0,0,0,"docs
",5.806957721710205,2.0,89.0,91.0,['docs']
How to suppress messages from Trainer class?,0,0,0,1,0,"question
",1.1112618446350098,2.0,92.0,94.0,['question']
"GPU training, but datasets are on the CPU",0,0,0,1,1,"bug, question
",1.1056923866271973,4.0,93.0,97.0,"['bug', 'question']"
Learning Non-negative Parameters,0,0,0,1,0,"question
",1.0901849269866943,2.0,89.0,91.0,['question']
validation_epoch_end and ddp,0,0,0,1,0,"bug, question
",1.117417335510254,4.0,92.0,96.0,"['bug', 'question']"
"how to use custom dataset in pytorch-lightning module as I am encountering an error ""AttributeError: 'str' object has no attribute 'size'""",0,0,0,1,0,"question, bug
",1.0879466533660889,4.0,115.0,119.0,"['bug', 'question']"
How do I access the metrics from a logger/trainer?,0,0,0,1,1,"question
",0.6275632381439209,2.0,96.0,98.0,['question']
init_slurm_connection causing hostname errors,1,0,0,0,0,"bug
",1.0694262981414795,2.0,93.0,95.0,['bug']
"Does ""log_save_interval"" control training log?",0,0,0,1,1,"question
",1.0820329189300537,2.0,96.0,98.0,['question']
How to tokenize within getitem() of Dataset with HuggingFace tokenizers,0,0,0,1,0,"question
",1.0186858177185059,2.0,99.0,101.0,['question']
Is AUROC from lightning metrics package intentionally different from the sklearn's?,0,0,0,1,0,"question, bug
",1.0924129486083984,4.0,99.0,103.0,"['bug', 'question']"
multi-node multi-gpu with time constraint and model checkpointing,0,0,0,1,1,"feature
",1.1116838455200195,2.0,97.0,99.0,['feature']
[how-to] Handle multiple losses and/or weighted losses?,0,0,0,1,0,"question
",1.1398303508758545,2.0,98.0,100.0,['question']
Epoch number has inconsistent display in ModelCheckpoint,0,1,0,0,0,"bug
",1.0625135898590088,2.0,92.0,94.0,['bug']
Does pytorch-lightning support mixed-precision training?,0,0,0,1,0,"question
",1.2339658737182617,2.0,95.0,97.0,['question']
datamodule how to load checkpoint,0,0,1,1,0,"question
",1.0956652164459229,2.0,91.0,93.0,['question']
Best Practices: logger.experiment.add_image() at end of epoch when using new simplified pl.Train/EvalResult objects,0,0,0,1,1,"bug, question
",0.5234026908874512,4.0,110.0,114.0,"['bug', 'question']"
How to configure steps of multiple optimizers for GANs,0,0,0,1,0,"question
",1.127021074295044,2.0,95.0,97.0,['question']
How to suppress GPU/TPU device information warnings,0,0,0,1,1,"question
",1.0853748321533203,2.0,94.0,96.0,['question']
TPU Colab,0,1,0,1,1,"question
",1.1517393589019775,2.0,87.0,89.0,['question']
Do multiple optimizer steps in one training step,0,0,0,1,0,"feature
",1.1285722255706787,2.0,92.0,94.0,['feature']
Understanding the Progress Bar,0,0,0,1,0,"question, docs
",1.1468510627746582,4.0,88.0,92.0,"['question', 'docs']"
Best Practice to log images in vision tasks,0,0,0,1,0,"question, docs
",1.185570240020752,4.0,92.0,96.0,"['question', 'docs']"
Checkpoint files location when WandbLogger ,0,0,0,1,0,"feature, question
",1.253321886062622,4.0,92.0,96.0,"['feature', 'question']"
How to write custom metric callbacks properly ?,0,0,0,1,0,"question, docs
",1.0996708869934082,4.0,92.0,96.0,"['question', 'docs']"
Lazy loading and multi-modal data,0,0,0,1,1,"feature
",1.4249024391174316,2.0,91.0,93.0,['feature']
How to log cur_val_loss to tensorboard in validation_step?,0,0,0,1,1,"question
",1.1856567859649658,2.0,100.0,102.0,['question']
How to get test predictions (and other non-scalar metrics)?,0,0,0,1,0,"question
",1.3242087364196777,2.0,97.0,99.0,['question']
CI: Force docs compilation warnings to be raised as errors,0,1,0,0,0,"docs
",1.0634727478027344,2.0,95.0,97.0,['docs']
How to save checkpoints within lightning_logs?,0,0,0,1,1,"question
",0.5800220966339111,2.0,93.0,95.0,['question']
Adapting SWA for pytorch lightning.,0,0,0,1,0,"feature
",1.102611780166626,2.0,93.0,95.0,['feature']
Passing the early_stop_callback to the Trainer,0,0,0,1,0,"question
",1.5069639682769775,2.0,94.0,96.0,['question']
Outdated documentation for loggers,0,1,0,0,0,"docs
",1.0643868446350098,2.0,90.0,92.0,['docs']
CUDA - numpy related copy error?,0,0,0,1,0,"bug, question
",1.0561413764953613,4.0,91.0,95.0,"['bug', 'question']"
Correctly document ReduceLROnPlateau,0,1,0,0,0,"docs
",1.095090627670288,2.0,92.0,94.0,['docs']
How to save to extra info checkpoint?,0,0,0,1,0,"question
",1.1109092235565186,2.0,92.0,94.0,['question']
ImageNet example shows contradictions,0,1,0,0,1,"bug, docs
",1.0560548305511475,4.0,89.0,93.0,"['bug', 'docs']"
Hide default pl flags with -h?,0,0,0,1,1,"feature
",1.1689019203186035,2.0,92.0,94.0,['feature']
How to skip one of multiple optimizers at training_step()?,0,0,0,1,0,"question
",1.0442612171173096,2.0,97.0,99.0,['question']
Pruning gradients before Optimizer_step,0,0,0,1,1,"feature
",1.2378818988800049,2.0,90.0,92.0,['feature']
How to resolve DeprecationWarning ,0,0,0,1,0,"question
",1.112027645111084,2.0,92.0,94.0,['question']
"Trouble logging validation and training metrics on the same row in ""metrics.csv""",0,0,0,1,1,"bug
",1.3747265338897705,2.0,100.0,102.0,['bug']
How to disable progress bar and printing model structure?,0,0,0,1,0,"question
",1.0686140060424805,2.0,94.0,96.0,['question']
Run full validation epoch before training,0,0,0,1,0,"feature
",1.3219587802886963,2.0,90.0,92.0,['feature']
Document auto_select_gpus,0,1,0,0,1,"docs
",1.1480159759521484,2.0,91.0,93.0,['docs']
OpenPAI and PyTorch Lightning for easy multi-machine distributed training?,0,0,0,1,1,"feature, question
",1.2700228691101074,4.0,98.0,102.0,"['feature', 'question']"
Model checkpointing for sub-epoch frequency,0,0,0,1,1,"feature
",1.074962854385376,2.0,92.0,94.0,['feature']
Backward on tensors inside training_step,0,0,0,1,0,"bug
",1.1592020988464355,2.0,91.0,93.0,['bug']
How can I integrate shuffling BN (in MoCo) with PTL?,0,0,0,1,1,"question
",1.038722038269043,2.0,99.0,101.0,['question']
Use only one of the optimizers as warm-up ,0,0,0,1,1,"question
",1.0315256118774414,2.0,96.0,98.0,['question']
How to disable model summary?,0,0,0,1,0,"question
",1.1826107501983643,2.0,90.0,92.0,['question']
More Details about Distributed Data Parallel Random Seed,0,0,0,1,1,"feature, docs
",0.5829980373382568,4.0,92.0,96.0,"['feature', 'docs']"
"return ""val_loss"" in validation step and ""avg_val�_loss"" from validation_epoch_end in trainer ",0,0,0,1,1,"bug
",0.6056759357452393,2.0,111.0,113.0,['bug']
Trainer docs,0,1,0,0,0,"docs
",1.1536095142364502,2.0,86.0,88.0,['docs']
Collect all  losses into a list?,0,0,0,1,0,"question
",0.5298199653625488,2.0,92.0,94.0,['question']
codecov doesn't respect ignore,1,0,0,0,0,"bug
",1.0589854717254639,2.0,91.0,93.0,['bug']
Incorrect Implementation for Accumulating Batch Gradients in Trainer,1,0,0,0,0,"bug
",1.1201248168945312,2.0,94.0,96.0,['bug']
What should I do if I don't have validation data and test data?,1,0,0,0,0,"question
",1.0569002628326416,2.0,100.0,102.0,['question']
Errata in the readme?,1,0,0,0,0,"docs
",0.6254370212554932,2.0,90.0,92.0,['docs']
AttributeError: 'xxx' object has no attribute 'tng_dataloader' continued...,1,0,0,0,0,"bug
",1.1035919189453125,2.0,101.0,103.0,['bug']
Recursive device conversion of tuple,1,0,0,0,0,"bug, feature
",1.0840790271759033,4.0,89.0,93.0,"['bug', 'feature']"
'tng_loss' vs 'loss' in in training_step,0,0,0,1,0,"question
",1.0495147705078125,2.0,99.0,101.0,['question']
Non plain-tensor batches,1,0,0,0,0,"bug
",1.4517207145690918,2.0,89.0,91.0,['bug']
Install within conda env breaks,1,0,0,0,0,"bug, question
",2.7776119709014893,4.0,89.0,93.0,"['bug', 'question']"
How to save model name with my own variable?,0,0,0,1,0,"question
",1.2102210521697998,2.0,94.0,96.0,['question']
"When running single_gpu_node_dp_template.pj, missing 'dp' or 'ddp' param",1,0,0,0,0,"bug
",1.1797080039978027,2.0,108.0,110.0,['bug']
Question about multiple optimizers and lr schedulers?,0,0,0,1,0,"question
",1.0706868171691895,2.0,94.0,96.0,['question']
Trainer track_grad_norm always results in 0,1,0,0,0,0,"bug
",1.044506549835205,2.0,95.0,97.0,['bug']
Missing metrics on Tensorboard,1,0,0,0,0,"bug, question
",1.1380455493927002,4.0,89.0,93.0,"['bug', 'question']"
Broken link in Examples readme,1,0,0,0,0,"bug, docs
",1.1486411094665527,4.0,89.0,93.0,"['bug', 'docs']"
Logger fails at scale,1,0,0,0,0,"bug
",1.1501200199127197,2.0,88.0,90.0,['bug']
Disable automatic checkpoint loading,0,0,1,0,0,"feature
",1.077958345413208,2.0,88.0,90.0,['feature']
Optimizer step hook missing param,1,0,0,0,0,"bug
",1.0921101570129395,2.0,89.0,91.0,['bug']
training_step is called once for each optimizer,1,0,0,0,0,"question
",1.0778980255126953,2.0,93.0,95.0,['question']
Multiple optimizers but only one loss,0,0,0,1,0,"question
",0.7399394512176514,2.0,91.0,93.0,['question']
dp training : bug  if the number of examples is not a multiple of the batchsize and not a multiple of gpu count,1,0,0,0,0,"bug
",1.1005988121032715,2.0,109.0,111.0,['bug']
Increment `global_step` at end of iter?,1,0,0,0,0,"question
",1.0739657878875732,2.0,95.0,97.0,['question']
"Having a low ""val_check_interval"" value with many workers in Dataloader leads to extrem overhead",1,0,0,0,1,"bug
",1.0841591358184814,2.0,106.0,108.0,['bug']
Problems loading model from metrics,1,0,0,0,0,"bug
",1.179069995880127,2.0,89.0,91.0,['bug']
Training/Validation split in minimal example,0,0,0,1,0,"question
",1.0646171569824219,2.0,91.0,93.0,['question']
Fix readme for Pypi,1,0,0,0,0,"docs, bug
",0.5347175598144531,4.0,90.0,94.0,"['bug', 'docs']"
CometLogger does not implement name() and version() class methods,1,0,0,0,0,"bug
",1.0224082469940186,2.0,96.0,98.0,['bug']
K-fold cross-validation,0,0,0,1,0,"docs, question
",1.1448917388916016,4.0,90.0,94.0,"['question', 'docs']"
RuntimeError: bool value of Tensor with more than one value is ambiguous,1,0,0,0,0,"bug
",1.099961519241333,2.0,97.0,99.0,['bug']
Model checkpoint is not working,1,0,0,0,0,"bug
",0.5560128688812256,2.0,89.0,91.0,['bug']
versions after .5.2.1 do not print weights summary,1,0,0,0,0,"bug
",1.0779190063476562,2.0,97.0,99.0,['bug']
Training with DDP could fail at startup due to FileExistsError,1,0,0,0,0,"bug
",1.114884853363037,2.0,97.0,99.0,['bug']
training_forward assumes input has .copy() method for single GPU,1,0,0,0,0,"bug
",1.1938724517822266,2.0,97.0,99.0,['bug']
GPU usage decreasing with epochs,1,0,0,0,0,"bug, question
",0.606604814529419,4.0,89.0,93.0,"['bug', 'question']"
Inadequate total steps shown in progress bar during sanity validation check when number of validation dataloaders >= 2,1,0,0,0,0,"bug
",1.0939598083496094,2.0,105.0,107.0,['bug']
failing Docs build,1,0,0,0,0,"bug, docs
",1.035416841506958,4.0,87.0,91.0,"['bug', 'docs']"
GPU memory usage/leak varies between experiments/trials with Apex (use_amp=True) ,1,0,0,0,0,"bug
",1.030364990234375,2.0,104.0,106.0,['bug']
enable Windows CI,0,0,1,0,0,"feature
",0.515557050704956,2.0,87.0,89.0,['feature']
Pickle error from Trainer.fit when using MLFlowLogger and distributed data parallel without SLURM,1,0,0,0,0,"bug
",1.0387849807739258,2.0,103.0,105.0,['bug']
Call or Forward?,0,0,0,1,0,"question
",0.4777183532714844,2.0,88.0,90.0,['question']
simple text classification example with ptl,0,0,0,1,0,"feature, question
",1.117612600326538,4.0,91.0,95.0,"['feature', 'question']"
"Pytorch lightning spawns processes after each epoch of training, causing training script to crash unexpectedly",1,0,0,0,0,"bug
",1.138166904449463,2.0,101.0,103.0,['bug']
`ModelCheckpoint` with `save_best_only=True` shouldn't delete previous directory,1,0,0,0,0,"bug, feature
",1.0682625770568848,4.0,104.0,108.0,"['bug', 'feature']"
on_train_end callback is not called if training is stopped early,1,0,0,0,0,"bug
",0.592993974685669,2.0,98.0,100.0,['bug']
Difference between results during training and testing,1,0,0,0,0,"question
",1.1099696159362793,2.0,91.0,93.0,['question']
Where is EarlyStopping searching for metrics?,0,0,0,1,0,"question
",1.0496437549591064,2.0,92.0,94.0,['question']
update paths/links according new org,1,0,0,0,0,"docs
",1.1448554992675781,2.0,91.0,93.0,['docs']
Extract wight and model for external use,0,0,0,1,0,"feature
",15.839223623275757,2.0,92.0,94.0,['feature']
Installing pytorch-lightning on Jetson Nano(ARM),0,0,0,1,0,"question
",1.4718925952911377,2.0,96.0,98.0,['question']
batch may not have the copy method,1,0,0,0,0,"bug
",1.118725061416626,2.0,91.0,93.0,['bug']
TensorBoardLogger and ModelCheckpoint are not using the same folder by default,1,0,0,0,0,"bug, feature
",1.136300802230835,4.0,98.0,102.0,"['bug', 'feature']"
imagenet_example cannot run,1,0,0,0,0,"bug
",1.0890958309173584,2.0,90.0,92.0,['bug']
log_gpu_memory='all'` options raise Error,1,0,0,0,0,"bug
",1.0586953163146973,2.0,95.0,97.0,['bug']
`overfit_pct` vs `train_percent_check` etc,0,1,1,0,0,"bug, question
",0.5784525871276855,4.0,99.0,103.0,"['bug', 'question']"
[Pyright] Cannot instantiate abstract class,1,0,0,0,1,"bug
",1.1998348236083984,2.0,92.0,94.0,['bug']
