text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,response_time,vram_usage,ram_usage,total_time,cs.AI pred,cs.CL pred,stat.ML pred,math.OC pred,cs.LG pred
Graph Regularized Low Rank Representation for Aerosol Optical Depth Retrieval,0,0,1,0,0,2.4042744636535645,4523,102.23046875,0.3725769,1,1,1,0,0
Operational planning and bidding for district heating systems with uncertain renewable energy production,0,0,0,1,0,2.2580654621124268,4523,102.23046875,0.2258214,0,1,0,1,0
Optimal Bounds for Integrals with Respect to Copulas and Applications,0,0,0,1,0,2.2922778129577637,4523,102.26171875,0.2646419,0,1,0,1,0
EAdam Optimizer: How $\epsilon$ Impact Adam,0,0,1,0,1,2.3522298336029053,4523,102.26171875,0.3048821,1,1,0,1,0
An Analysis of Dual-Issue Final-Offer Arbitration,0,0,0,1,0,2.8443386554718018,4523,102.140625,0.7948832,0,0,0,0,0
Neural Oblivious Decision Ensembles for Deep Learning on Tabular Data,0,0,1,0,1,2.3516454696655273,4523,102.1484375,0.3223181,1,1,0,1,0
Learning Goal Embeddings via Self-Play for Hierarchical Reinforcement Learning,0,0,1,0,1,2.353865623474121,4523,102.15234375,0.3178695,1,1,0,0,1
Resonance in Weight Space: Covariate Shift Can Drive Divergence of SGD with Momentum,0,0,1,0,1,2.3561952114105225,4523,102.2421875,0.3317485,1,1,0,1,0
Deep Minimax Probability Machine,0,0,1,0,1,2.2817299365997314,4523,102.125,0.2375792,1,1,0,0,0
Is Sluice Resolution really just Question Answering?,1,1,0,0,0,2.2950897216796875,4523,102.13671875,0.2574746,0,1,0,0,0
Relation Extraction from Biomedical and Clinical Text: Unified Multitask Learning Framework,0,1,0,0,0,2.377976655960083,4523,102.28515625,0.3271653,1,1,1,0,0
Robust PCA in High-dimension: A Deterministic Approach,0,0,1,0,1,2.299267530441284,4523,102.2890625,0.2616875,1,1,0,1,0
In-context Learning as Maintaining Coherency: A Study of On-the-fly Machine Translation Using Large Language Models,1,1,0,0,0,2.2778685092926025,4523,101.98828125,0.242283,1,1,0,0,0
Reasoning over Multi-view Knowledge Graphs,1,0,1,0,0,2.3591952323913574,4523,101.98828125,0.3096047,1,1,0,0,0
Doing Good or Doing Right? Exploring the Weakness of Commonsense Causal Reasoning Models,0,1,0,0,0,2.2807021141052246,4523,102.04296875,0.2459082,1,1,0,0,0
"Weak, Strong and Linear Convergence of a Double-Layer Fixed Point Algorithm",0,0,0,1,0,2.299882411956787,4523,102.03515625,0.2730678,1,0,0,1,0
Dynamic Fusion: Attentional Language Model for Neural Machine Translation,0,1,0,0,0,2.406372547149658,4523,102.11328125,0.3581814,1,1,0,0,1
UMIX: Improving Importance Weighting for Subpopulation Shift via Uncertainty-Aware Mixup,0,0,1,0,0,2.3005926609039307,4523,102.11328125,0.2670969,1,1,0,1,0
Comparing PCG metrics with Human Evaluation in Minecraft Settlement Generation,1,0,0,0,0,2.2825517654418945,4523,102.14453125,0.245434,0,1,0,1,0
Subdifferentials of Nonconvex Integral Functionals in Banach Spaces with Applications to Stochastic Dynamic Programming,0,0,0,1,0,2.365478992462158,4523,102.19921875,0.3301064,1,0,0,1,0
Joint Causal Inference from Multiple Contexts,1,0,1,0,1,2.279918909072876,4523,102.19921875,0.2626687,1,1,0,0,0
Erratum: Link prediction in drug-target interactions network using similarity indices,1,0,0,0,0,2.2141833305358887,4523,100.9765625,0.1941874,0,0,0,1,0
Computationally Efficient Estimators for Dimension Reductions Using Stable Random Projections,0,0,1,0,0,2.3129148483276367,4523,101.578125,0.2749421,1,1,1,0,0
Learning to solve arithmetic problems with a virtual abacus,1,0,1,0,0,2.1650679111480713,4523,101.5859375,0.1147361,0,0,0,0,0
Optimizing the Performative Risk under Weak Convexity Assumptions,0,0,1,0,1,2.39923357963562,4523,102.13671875,0.3553862,0,0,0,1,0
Local Optima Networks of the Quadratic Assignment Problem,1,0,0,0,0,2.2251169681549072,4523,102.1484375,0.1768014,0,0,0,1,0
What Makes for Robust Multi-Modal Models in the Face of Missing Modalities?,1,0,0,0,0,2.486257553100586,4523,102.1484375,0.4460156,1,1,0,0,1
ChatGPT Beyond English: Towards a Comprehensive Evaluation of Large Language Models in Multilingual Learning,1,1,0,0,0,2.30584716796875,4523,102.1484375,0.2525926,1,1,1,0,0
Introducing Expertise Logic into Graph Representation Learning from A Causal Perspective,0,0,1,0,0,2.306295871734619,4523,102.40625,0.2752565,1,1,0,1,0
Escaping strict saddle points of the Moreau envelope in nonsmooth optimization,0,0,1,1,1,2.296861171722412,4523,100.97265625,0.2535401,0,0,0,1,0
You are AllSet: A Multiset Function Framework for Hypergraph Neural Networks,1,0,1,0,0,2.3491132259368896,4523,101.08984375,0.2970117,1,1,0,0,1
Span-based joint entity and relation extraction augmented with sequence tagging mechanism,0,1,0,0,0,2.3088502883911133,4523,101.58203125,0.2891759,1,1,1,0,0
AGNN: Alternating Graph-Regularized Neural Networks to Alleviate Over-Smoothing,1,0,1,0,0,2.3740713596343994,4523,101.33984375,0.3289948,1,1,0,1,0
High-dimensional Bayesian Optimization of Personalized Cardiac Model Parameters via an Embedded Generative Model,0,0,1,1,1,2.2827517986297607,4523,101.57421875,0.2561236,1,0,0,1,1
Improper Learning for Non-Stochastic Control,0,0,1,1,1,2.2226531505584717,4523,101.578125,0.1723106,0,0,0,1,0
A Coefficient Makes SVRG Effective,0,0,1,1,1,2.4156668186187744,4523,102.0703125,0.3844773,1,1,0,0,0
Gradient Sampling Methods for Nonsmooth Optimization,0,0,0,1,0,2.2740654945373535,4523,100.9609375,0.2434351,1,0,0,1,0
A Survey of Safety and Trustworthiness of Large Language Models through the Lens of Verification and Validation,1,0,1,0,0,2.3287887573242188,4523,101.53515625,0.290266,1,1,0,0,0
Constructing a Knowledge Graph for Vietnamese Legal Cases with Heterogeneous Graphs,0,1,0,0,0,2.408266544342041,4523,101.546875,0.3733277,1,1,0,1,0
Cross-Lingual Transfer Learning for Statistical Type Inference,1,0,1,0,0,2.2941932678222656,4523,102.078125,0.271967,1,1,1,0,0
The GRT Planning System: Backward Heuristic Construction in Forward State-Space Planning,1,0,0,0,0,2.320432186126709,4523,102.08203125,0.2609689,1,1,0,1,0
Periodic switching strategies for an isoperimetric control problem with application to nonlinear chemical reactions,0,0,0,1,0,2.3258652687072754,4523,102.6796875,0.2850532,0,1,0,1,0
A Machine-Learning Approach to Estimating the Referential Properties of Japanese Noun Phrases,0,1,0,0,0,2.273097276687622,4523,102.6875,0.2522743,1,1,0,0,0
Learning to Run challenge: Synthesizing physiologically accurate motion using deep reinforcement learning,1,0,0,0,0,2.3914999961853027,4523,102.26953125,0.3503205,1,1,0,1,1
On the utility of feature selection in building two-tier decision trees,1,0,1,0,0,2.2672252655029297,4523,102.26953125,0.2225146,1,1,0,0,0
GradSkip: Communication-Accelerated Local Gradient Methods with Better Computational Complexity,0,0,1,1,0,2.3557984828948975,4523,102.58984375,0.3132154,1,1,0,1,0
Consumption and portfolio optimization solvable problems with recursive preferences,0,0,0,1,0,2.21413254737854,4523,100.93359375,0.1802813,0,0,0,1,0
HJ inequalities involving Lie brackets and feedback stabilizability with cost regulation,0,0,0,1,0,2.3565104007720947,4523,101.07421875,0.3229214,0,0,0,1,0
A Geometric Traversal Algorithm for Reward-Uncertain MDPs,1,0,0,0,0,2.3308863639831543,4523,101.546875,0.3109611,1,1,0,1,0
SCAT: Robust Self-supervised Contrastive Learning via Adversarial Training for Text Classification,0,1,0,0,0,2.337644577026367,4523,101.30078125,0.2846766,1,1,0,0,0
Comparing Writing Styles using Word Embedding and Dynamic Time Warping,0,1,0,0,0,2.329542875289917,4523,101.51953125,0.2946958,1,1,0,0,0
Distilled Pruning: Using Synthetic Data to Win the Lottery,0,0,1,0,0,2.287201404571533,4502,101.5234375,0.2299064,1,1,0,0,0
Constrained Gaussian Process Learning for Model Predictive Control,0,0,0,1,0,2.301750421524048,4502,102.18359375,0.2547687,1,0,0,1,0
Predicting Outcomes in Long COVID Patients with Spatiotemporal Attention,0,0,1,0,0,2.403726100921631,4502,102.1875,0.3677023,1,1,1,0,0
Predicting the Outcome of Judicial Decisions made by the European Court of Human Rights,0,1,1,0,1,2.259697914123535,4502,102.21484375,0.2304514,0,1,0,1,0
Inpatient2Vec: Medical Representation Learning for Inpatients,0,0,1,0,1,2.3372747898101807,4502,102.21484375,0.2983618,1,1,0,0,1
Local and Distributed Rendezvous of Underactuated Rigid Bodies,0,0,0,1,0,2.3297271728515625,4502,102.2265625,0.2877895,0,1,0,1,0
LLQL: Logistic Likelihood Q-Learning for Reinforcement Learning,1,0,1,0,0,2.314293622970581,4502,102.2265625,0.2735181,1,1,0,1,0
Bootstrapping Conversational Agents With Weak Supervision,1,1,0,0,0,2.314852714538574,4502,102.2265625,0.2766323,1,1,0,0,1
"One model, two languages: training bilingual parsers with harmonized treebanks",0,1,0,0,0,2.291537284851074,4502,101.08984375,0.2538526,0,1,0,0,0
Quantum Statistics-Inspired Neural Attention,1,0,0,0,0,2.305575370788574,4502,101.28125,0.2569965,1,1,0,0,0
PIPPA: A Partially Synthetic Conversational Dataset,0,1,0,0,0,2.3122048377990723,4500,101.7890625,0.2674823,1,1,0,0,0
MID Property for Delay Systems: Insights on Spectral Values with Intermediate Multiplicity,0,0,0,1,0,2.3381760120391846,4500,101.7890625,0.2925256,0,1,0,0,0
Advancing Italian Biomedical Information Extraction with Large Language Models: Methodological Insights and Multicenter Practical Application,1,1,1,0,0,2.3113853931427,4500,101.0625,0.2766312,1,1,0,0,0
Using novel data and ensemble models to improve automated labeling of Sustainable Development Goals,0,1,0,0,0,2.3216824531555176,4500,101.65234375,0.287184,0,1,0,1,0
Efficient search of active inference policy spaces using k-means,1,0,1,0,0,2.4017977714538574,4500,101.66015625,0.3700873,1,1,0,1,0
On the Consistency of Ordinal Regression Methods,0,0,1,0,0,2.3722896575927734,4500,101.01953125,0.3335077,1,1,0,1,0
Neural Mean Discrepancy for Efficient Out-of-Distribution Detection,0,0,1,0,0,2.3604893684387207,4500,84.92578125,0.3404885,1,1,0,1,0
Online Learning with Primary and Secondary Losses,0,0,1,0,1,2.2870211601257324,4500,85.55859375,0.2453499,1,1,0,0,0
Neuronal Spectral Analysis of EEG and Expert Knowledge Integration for Automatic Classification of Sleep Stages,1,0,0,0,0,2.3206229209899902,4500,86.7421875,0.2867437,1,1,1,0,0
Unbalanced Optimal Transport through Non-negative Penalized Linear Regression,0,0,1,1,1,2.238804578781128,4500,86.80078125,0.2028423,1,0,0,1,0
QuantEase: Optimization-based Quantization for Language Models,0,1,1,0,1,2.377110242843628,4500,87.0390625,0.337017,1,1,0,1,1
A Comparative Study on Regularization Strategies for Embedding-based Neural Networks,0,1,1,0,0,2.335374593734741,4500,87.05078125,0.2792256,1,1,0,1,0
CogAlign: Learning to Align Textual Neural Representations to Cognitive Language Processing Signals,0,1,0,0,0,2.3164732456207275,4500,87.1328125,0.2758231,1,1,0,0,1
Periodic optimal control for biomass productivity maximization in a photobioreactor using natural light,0,0,0,1,0,2.2012219429016113,4500,87.1328125,0.1667536,0,0,0,1,0
Deep Neural Decision Trees,0,0,1,0,1,2.4011154174804688,4500,86.984375,0.3496971,1,1,0,0,1
TexRel: a Green Family of Datasets for Emergent Communications on Relations,0,1,0,0,0,2.198491334915161,4500,87.03515625,0.1729917,0,1,0,0,0
Guillotine Regularization: Why removing layers is needed to improve generalization in Self-Supervised Learning,0,0,1,0,0,2.41100811958313,4500,87.19921875,0.3666759,1,1,0,1,0
Unsupervised Boosting-based Autoencoder Ensembles for Outlier Detection,0,0,1,0,1,2.3057780265808105,4500,87.22265625,0.2568952,1,1,1,0,0
Reinforcement Learning with Large Action Spaces for Neural Machine Translation,1,1,1,0,0,2.343365430831909,4500,87.08984375,0.2894204,1,1,0,0,1
Self-supervised Auxiliary Learning with Meta-paths for Heterogeneous Graphs,0,0,1,0,1,2.289463996887207,4500,87.1015625,0.2602525,1,1,1,0,0
Fusing First-order Knowledge Compilation and the Lifted Junction Tree Algorithm,1,0,0,0,0,2.3101351261138916,4500,87.2109375,0.26217,1,1,0,1,0
The Learning of Fuzzy Cognitive Maps With Noisy Data: A Rapid and Robust Learning Method With Maximum Entropy,0,0,1,0,1,2.3569204807281494,4500,87.2109375,0.3006444,1,1,0,1,0
"Automatic Extraction of Ranked SNP-Phenotype Associations from Literature through Detecting Neural Candidates, Negation and Modality Markers",0,1,0,0,0,2.2602076530456543,4500,87.21484375,0.2255041,0,1,0,1,0
HBert + BiasCorp -- Fighting Racism on the Web,0,1,0,0,0,2.3006677627563477,4500,87.21875,0.2550455,1,1,0,0,0
Multi-Relation Aware Temporal Interaction Network Embedding,0,0,1,0,0,2.402573347091675,4500,87.3046875,0.3466622,1,1,0,0,1
The Deep Weight Prior,0,0,1,0,1,2.2654500007629395,4500,87.3515625,0.2221369,1,1,0,0,0
On Enhancing Speech Emotion Recognition using Generative Adversarial Networks,0,1,0,0,0,2.3438076972961426,4500,87.20703125,0.2960778,1,1,0,0,1
Exact and approximate inference in graphical models: variable elimination and beyond,1,0,1,0,1,2.3541393280029297,4500,87.2109375,0.3125584,1,1,0,1,0
AGGGEN: Ordering and Aggregating while Generating,0,1,0,0,0,2.334717273712158,4500,87.21484375,0.2944337,1,1,0,1,0
Identifying Mentions of Pain in Mental Health Records Text: A Natural Language Processing Approach,0,1,1,0,0,2.51771879196167,4500,85.90234375,0.47426,1,1,0,0,1
Quality Control at Your Fingertips: Quality-Aware Translation Models,1,1,0,0,0,2.250438928604126,4500,85.99609375,0.2268476,1,1,0,0,0
Sparse Sequence-to-Sequence Models,0,1,1,0,0,2.3229329586029053,4500,86.5078125,0.2924194,1,1,0,0,0
SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver,1,0,1,0,1,2.347365140914917,4500,85.98828125,0.3135373,1,1,0,1,0
NL-Augmenter: A Framework for Task-Sensitive Natural Language Augmentation,1,1,1,0,0,2.3331944942474365,4500,86.44921875,0.2989205,1,1,0,0,1
Natural Language Processing for Information Extraction,1,1,0,0,0,2.331087350845337,4500,86.4609375,0.297495,1,1,0,0,0
Wasserstein GAN: Deep Generation applied on Bitcoins financial time series,0,0,1,0,1,2.473897695541382,4500,87.07421875,0.4286038,1,1,1,0,0
Rank optimality for the Burer-Monteiro factorization,0,0,0,1,0,2.2068653106689453,4500,87.0859375,0.1800153,0,0,0,1,0
On the Reduction of Total-Cost and Average-Cost MDPs to Discounted MDPs,0,0,0,1,0,2.3972690105438232,4500,87.140625,0.3711291,1,1,0,1,0
Modular-Relatedness for Continual Learning,0,0,1,0,1,2.247472047805786,4500,87.14453125,0.2138289,1,1,0,0,0
Features and Agreement,0,1,0,0,0,2.4577183723449707,4500,87.1796875,0.4269716,0,1,0,1,0
Composite Gaussian Processes: Scalable Computation and Performance Analysis,0,0,0,0,1,2.369891881942749,4500,87.18359375,0.3256128,1,1,0,1,0
NOTE: Robust Continual Test-time Adaptation Against Temporal Correlation,0,0,1,0,0,2.3433902263641357,4500,87.19921875,0.3109028,1,1,0,1,0
Cumulative Sum Ranking,0,0,1,0,1,2.440612554550171,4500,87.19921875,0.4055456,0,1,0,1,0
ConTextual Masked Auto-Encoder for Dense Passage Retrieval,1,1,0,0,0,2.342010498046875,4500,87.2109375,0.3099651,1,1,0,0,1
"Combining Strong Convergence, Values Fast Convergence and Vanishing of Gradients for a Proximal Point Algorithm Using Tikhonov Regularization in a Hilbert Space",0,0,0,1,0,2.2925944328308105,4500,87.2109375,0.2738204,1,0,0,1,0
Communication-Constrained Expansion Planning for Resilient Distribution Systems,0,0,0,1,0,2.369018077850342,4500,87.22265625,0.338289,0,0,0,1,0
The Optimal Approximation Factors in Misspecified Off-Policy Value Function Estimation,1,0,1,0,1,2.3121321201324463,4500,86.1328125,0.250491,1,0,0,1,0
Challenging the Semi-Supervised VAE Framework for Text Classification,0,1,1,0,0,2.361528158187866,4500,86.17578125,0.3343041,1,1,0,0,0
Emergent Translation in Multi-Agent Communication,1,1,0,0,0,2.2907228469848633,4500,86.66796875,0.2354774,1,1,0,0,0
One Reflection Suffice,0,0,1,0,1,2.4809470176696777,4500,86.7109375,0.4338104,0,1,0,1,0
EBM-Fold: Fully-Differentiable Protein Folding Powered by Energy-based Models,0,0,1,0,0,2.3613243103027344,4500,85.96484375,0.3164985,1,1,0,1,0
When to Ask for Help: Proactive Interventions in Autonomous Reinforcement Learning,0,0,1,0,0,2.3519198894500732,4500,86.0,0.2932743,1,1,0,1,0
A Comparative Study on TF-IDF feature Weighting Method and its Analysis using Unstructured Dataset,0,1,1,0,0,2.3636064529418945,4500,86.671875,0.3303182,1,1,1,0,0
LongForm: Optimizing Instruction Tuning for Long Text Generation with Corpus Extraction,1,1,1,0,0,2.206479072570801,4500,86.67578125,0.1801139,0,0,0,1,0
AutoKnow: Self-Driving Knowledge Collection for Products of Thousands of Types,1,0,0,0,0,2.3656561374664307,4500,86.03515625,0.3332548,1,1,0,1,0
Random Feature-based Online Multi-kernel Learning in Environments with Unknown Dynamics,0,0,1,0,1,2.35611629486084,4500,86.55078125,0.3112648,1,1,0,1,0
Design from Policies: Conservative Test-Time Adaptation for Offline Policy Optimization,0,0,1,0,0,2.3326759338378906,4500,86.55078125,0.2885064,1,1,0,1,0
Successive Convex Approximation Based Off-Policy Optimization for Constrained Reinforcement Learning,0,0,1,0,0,2.3382937908172607,4500,87.109375,0.3136051,1,1,0,1,1
Topology-Aware Correlations Between Relations for Inductive Link Prediction in Knowledge Graphs,0,1,1,0,0,2.308612585067749,4500,87.1171875,0.2743262,1,1,0,1,0
Comparing Rewinding and Fine-tuning in Neural Network Pruning,0,0,1,0,1,2.3142588138580322,4500,87.1171875,0.2700613,1,1,0,1,0
Sparse recovery of an electrical network based on algebraic variety fitting and graph sparsification,0,0,0,1,0,2.3343987464904785,4500,86.0390625,0.2742932,1,1,0,1,0
A Unified Positive-Unlabeled Learning Framework for Document-Level Relation Extraction with Different Levels of Labeling,1,1,0,0,0,2.3538622856140137,4500,86.078125,0.313827,1,1,1,0,0
A Comparison of Optimization Algorithms for Deep Learning,0,0,1,0,1,2.2537550926208496,4500,86.5703125,0.2153294,1,0,0,1,0
Hyperbox based machine learning algorithms: A comprehensive survey,0,0,1,0,1,2.3099453449249268,4500,86.2265625,0.2710995,1,1,0,0,0
"Prediction of single well production rate in water-flooding oil fields driven by the fusion of static, temporal and spatial information",0,0,1,0,0,2.373382806777954,4500,86.62890625,0.3430398,0,1,0,1,0
An Infinite Restricted Boltzmann Machine,0,0,1,0,0,2.289900779724121,4500,86.63671875,0.2409168,1,1,0,0,0
Link Prediction using Embedded Knowledge Graphs,1,1,1,0,0,2.3600082397460938,4500,87.2265625,0.3238108,1,1,0,1,0
Risk-Aware Active Inverse Reinforcement Learning,0,0,1,0,1,2.3703536987304688,4500,87.55078125,0.3608621,1,1,0,1,0
Constrained Convolutional-Recurrent Networks to Improve Speech Quality with Low Impact on Recognition Accuracy,0,0,1,0,0,2.302595853805542,4500,87.3671875,0.2695647,1,1,0,1,0
On the nonlocal stabilization by starting control of the normal equation generated from Helmholtz system,0,0,0,1,0,2.223327398300171,4500,87.3671875,0.1741801,0,0,0,1,0
Stochastic Subspace Cubic Newton Method,0,0,1,1,0,2.458811044692993,4500,87.26953125,0.4376024,1,1,0,1,0
Convergence Analysis of Generalized ADMM with Majorization for Linearly Constrained Composite Convex Optimization,0,0,0,1,0,2.267146110534668,4500,87.26953125,0.2117504,1,0,0,1,0
Safety Guarantees for Planning Based on Iterative Gaussian Processes,0,0,1,0,1,2.3113303184509277,4500,87.51171875,0.2637633,1,0,0,1,0
SesameBERT: Attention for Anywhere,0,1,1,0,0,2.3772544860839844,4500,87.51171875,0.3398626,1,1,0,0,0
Machine Learning Performance Analysis to Predict Stroke Based on Imbalanced Medical Dataset,1,0,1,0,0,2.3153727054595947,4500,87.2109375,0.2915459,1,1,1,0,0
Probabilistic Decoupling of Labels in Classification,0,0,1,0,1,2.3296256065368652,4500,87.2109375,0.2836478,1,1,1,0,0
LatEval: An Interactive LLMs Evaluation Benchmark with Incomplete Information from Lateral Thinking Puzzles,0,1,0,0,0,2.337111473083496,4500,87.37890625,0.3069764,1,1,0,0,0
Missing Not at Random in Matrix Completion: The Effectiveness of Estimating Missingness Probabilities Under a Low Nuclear Norm Assumption,0,0,1,0,1,2.317277669906616,4500,87.3828125,0.2834273,1,1,0,1,0
Generative Modelling for Unsupervised Score Calibration,0,0,1,0,1,2.3141672611236572,4500,87.39453125,0.2791522,1,1,0,1,0
Characterization of the dissipative mappings and their application to perturbations of dissipative-Hamiltonian systems,0,0,0,1,0,2.304070234298706,4500,86.01953125,0.2534188,0,0,0,1,0
Probability Aggregates in Probability Answer Set Programming,1,0,0,0,0,2.340911865234375,4500,86.171875,0.3135039,1,1,1,0,0
Clever Search: A WordNet Based Wrapper for Internet Search Engines,1,0,0,0,0,2.2247250080108643,4500,86.5859375,0.1727043,0,1,0,0,0
Day-Ahead Hourly Forecasting of Power Generation from Photovoltaic Plants,0,0,1,0,1,2.303708553314209,4500,86.609375,0.2792279,1,1,0,1,0
Cross-lingual Pre-training Based Transfer for Zero-shot Neural Machine Translation,0,1,0,0,0,2.3262417316436768,4500,86.72265625,0.2863513,1,1,0,0,1
"Global Navigation Using Predictable and Slow Feature Analysis in Multiroom Environments, Path Planning and Other Control Tasks",0,0,1,0,1,2.29516339302063,4500,86.72265625,0.2900971,1,1,0,1,0
A Map of Bandits for E-commerce,0,0,1,0,0,2.263063907623291,4500,87.28515625,0.2358488,1,1,0,0,0
Enhancing Contrastive Learning with Noise-Guided Attack: Towards Continual Relation Extraction in the Wild,0,1,0,0,0,2.3861634731292725,4500,87.38671875,0.3660958,1,1,1,0,0
An extragradient algorithm for quasiconvex equilibrium problems without monotonicity,0,0,0,1,0,2.260943651199341,4500,87.4296875,0.2156576,1,0,0,1,0
Switching Scheme: A Novel Approach for Handling Incremental Concept Drift in Real-World Data Sets,0,0,1,0,0,2.352022171020508,4500,86.15234375,0.3119863,1,1,1,0,0
PALI-NLP at SemEval-2022 Task 4: Discriminative Fine-tuning of Transformers for Patronizing and Condescending Language Detection,1,1,0,0,0,2.3667750358581543,4500,86.3046875,0.3435262,1,1,0,1,0
Convexification with bounded gap for randomly projected quadratic optimization,0,0,0,1,0,2.295896291732788,4500,86.796875,0.2569649,1,1,0,1,0
Belief change with noisy sensing in the situation calculus,1,0,0,0,0,2.2648489475250244,4500,86.25390625,0.2465305,1,1,0,0,0
EdinSaar@WMT21: North-Germanic Low-Resource Multilingual NMT,0,1,0,0,0,2.3428728580474854,4500,86.33203125,0.3163881,0,1,0,0,0
SEDRo: A Simulated Environment for Developmental Robotics,1,0,0,0,0,2.30832839012146,4500,86.859375,0.287189,1,1,0,0,0
Incorporating Word Embeddings into Open Directory Project based Large-scale Classification,0,1,0,0,0,2.3688080310821533,4500,86.86328125,0.3277123,1,1,1,0,0
Adversarial Learning of Poisson Factorisation Model for Gauging Brand Sentiment in User Reviews,0,0,1,0,0,2.3591034412384033,4500,86.0625,0.3244381,1,1,1,0,0
Reducing Adversarially Robust Learning to Non-Robust PAC Learning,0,0,1,0,0,2.3007466793060303,4500,86.046875,0.2529559,1,1,0,1,0
Classification with Nearest Disjoint Centroids,0,0,1,0,1,2.2791271209716797,4500,86.55078125,0.2182297,1,1,0,0,0
Detecting Languages Unintelligible to Multilingual Models through Local Structure Probes,0,1,0,0,0,2.3686153888702393,4500,86.5546875,0.325941,1,1,1,0,0
A Bayesian approach to quantifying uncertainties and improving generalizability in traffic prediction models,0,0,1,0,1,2.300039529800415,4500,86.03515625,0.2630223,1,1,0,1,0
