text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
Efficient Localized Inference for Large Graphical Models,0,0,1,0,1,"statistics machine learning, optimization and control",0.6155369281768799,8.0,118.0,126.0,"['stat.ML', 'math.OC']"
How to model marine reserves ?,0,0,0,1,0,optimization and control,0.5984230041503906,4.0,114.0,118.0,['math.OC']
Graph Regularized Low Rank Representation for Aerosol Optical Depth Retrieval,0,0,1,0,0,"optimization and control, computational machine learning",0.7545225620269775,8.0,120.0,128.0,"['math.OC', 'cs.LG']"
Operational planning and bidding for district heating systems with uncertain renewable energy production,0,0,0,1,0,optimization and control,0.6279735565185547,4.0,121.0,125.0,['math.OC']
Optimal Bounds for Integrals with Respect to Copulas and Applications,0,0,0,1,0,"statistics machine learning, optimization and control",0.7139017581939697,8.0,120.0,128.0,"['stat.ML', 'math.OC']"
EAdam Optimizer: How $\epsilon$ Impact Adam,0,0,1,0,1,"optimization and control, computational machine learning",0.8892514705657959,8.0,119.0,127.0,"['math.OC', 'cs.LG']"
An Analysis of Dual-Issue Final-Offer Arbitration,0,0,0,1,0,optimization and control,0.8734540939331055,4.0,118.0,122.0,['math.OC']
Neural Oblivious Decision Ensembles for Deep Learning on Tabular Data,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.8356757164001465,11.0,122.0,133.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Learning Goal Embeddings via Self-Play for Hierarchical Reinforcement Learning,0,0,1,0,1,"artificial intelligence, computational machine learning",0.6610636711120605,7.0,122.0,129.0,"['cs.AI', 'cs.LG']"
Resonance in Weight Space: Covariate Shift Can Drive Divergence of SGD with Momentum,0,0,1,0,1,"statistics machine learning, optimization and control, computational machine learning",0.9642260074615479,12.0,126.0,138.0,"['stat.ML', 'math.OC', 'cs.LG']"
Deep Minimax Probability Machine,0,0,1,0,1,"artificial intelligence, computational machine learning",0.802191972732544,7.0,113.0,120.0,"['cs.AI', 'cs.LG']"
Is Sluice Resolution really just Question Answering?,1,1,0,0,0,"computation and language, artificial intelligence",0.654691219329834,8.0,119.0,127.0,"['cs.AI', 'cs.CL']"
Relation Extraction from Biomedical and Clinical Text: Unified Multitask Learning Framework,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7138497829437256,16.0,122.0,138.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Robust PCA in High-dimension: A Deterministic Approach,0,0,1,0,1,"optimization and control, statistics machine learning",0.915902853012085,8.0,120.0,128.0,"['stat.ML', 'math.OC']"
In-context Learning as Maintaining Coherency: A Study of On-the-fly Machine Translation Using Large Language Models,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.9263436794281006,16.0,130.0,146.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Reasoning over Multi-view Knowledge Graphs,1,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning",0.706089973449707,12.0,116.0,128.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Doing Good or Doing Right? Exploring the Weakness of Commonsense Causal Reasoning Models,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.9276607036590576,12.0,126.0,138.0,"['cs.AI', 'cs.CL', 'stat.ML']"
"Weak, Strong and Linear Convergence of a Double-Layer Fixed Point Algorithm",0,0,0,1,0,optimization and control,0.8230156898498535,4.0,123.0,127.0,['math.OC']
Dynamic Fusion: Attentional Language Model for Neural Machine Translation,0,1,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.7254369258880615,12.0,120.0,132.0,"['cs.AI', 'cs.CL', 'cs.LG']"
UMIX: Improving Importance Weighting for Subpopulation Shift via Uncertainty-Aware Mixup,0,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.745518684387207,11.0,126.0,137.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Comparing PCG metrics with Human Evaluation in Minecraft Settlement Generation,1,0,0,0,0,"artificial intelligence, computational machine learning",0.6177141666412354,7.0,119.0,126.0,"['cs.AI', 'cs.LG']"
Subdifferentials of Nonconvex Integral Functionals in Banach Spaces with Applications to Stochastic Dynamic Programming,0,0,0,1,0,optimization and control,0.640352725982666,4.0,130.0,134.0,['math.OC']
Joint Causal Inference from Multiple Contexts,1,0,1,0,1,"artificial intelligence, statistics machine learning",0.6397128105163574,7.0,117.0,124.0,"['cs.AI', 'stat.ML']"
Erratum: Link prediction in drug-target interactions network using similarity indices,1,0,0,0,0,"computational machine learning, statistics machine learning",0.7263858318328857,9.0,121.0,130.0,"['stat.ML', 'cs.LG']"
Computationally Efficient Estimators for Dimension Reductions Using Stable Random Projections,0,0,1,0,0,"optimization and control, computational machine learning",0.7447481155395508,8.0,123.0,131.0,"['math.OC', 'cs.LG']"
Learning to solve arithmetic problems with a virtual abacus,1,0,1,0,0,"artificial intelligence, computation and language, computational machine learning",0.7035934925079346,12.0,118.0,130.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Optimizing the Performative Risk under Weak Convexity Assumptions,0,0,1,0,1,"optimization and control, computational machine learning",0.735565185546875,8.0,122.0,130.0,"['math.OC', 'cs.LG']"
Local Optima Networks of the Quadratic Assignment Problem,1,0,0,0,0,optimization and control,4.443432092666626,4.0,118.0,122.0,['math.OC']
What Makes for Robust Multi-Modal Models in the Face of Missing Modalities?,1,0,0,0,0,"artificial intelligence, computational machine learning",0.6829822063446045,7.0,124.0,131.0,"['cs.AI', 'cs.LG']"
ChatGPT Beyond English: Towards a Comprehensive Evaluation of Large Language Models in Multilingual Learning,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.6735448837280273,12.0,125.0,137.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Introducing Expertise Logic into Graph Representation Learning from A Causal Perspective,0,0,1,0,0,"artificial intelligence, computational machine learning",0.6663880348205566,7.0,120.0,127.0,"['cs.AI', 'cs.LG']"
Escaping strict saddle points of the Moreau envelope in nonsmooth optimization,0,0,1,1,1,optimization and control,0.8316378593444824,4.0,122.0,126.0,['math.OC']
You are AllSet: A Multiset Function Framework for Hypergraph Neural Networks,1,0,1,0,0,"artificial intelligence, computational machine learning",0.7444539070129395,7.0,123.0,130.0,"['cs.AI', 'cs.LG']"
Span-based joint entity and relation extraction augmented with sequence tagging mechanism,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.871973991394043,16.0,120.0,136.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
AGNN: Alternating Graph-Regularized Neural Networks to Alleviate Over-Smoothing,1,0,1,0,0,"artificial intelligence, computational machine learning, statistics machine learning",0.7325839996337891,11.0,125.0,136.0,"['cs.AI', 'stat.ML', 'cs.LG']"
High-dimensional Bayesian Optimization of Personalized Cardiac Model Parameters via an Embedded Generative Model,0,0,1,1,1,"bayesian optimization, statistics machine learning, computational machine learning",1.026975154876709,12.0,124.0,136.0,"['stat.ML', 'cs.LG']"
Improper Learning for Non-Stochastic Control,0,0,1,1,1,"optimization and control, computational machine learning",0.8012709617614746,8.0,116.0,124.0,"['math.OC', 'cs.LG']"
A Coefficient Makes SVRG Effective,0,0,1,1,1,"optimization and control, statistics machine learning",0.7421486377716064,8.0,115.0,123.0,"['stat.ML', 'math.OC']"
Gradient Sampling Methods for Nonsmooth Optimization,0,0,0,1,0,optimization and control,0.7271926403045654,4.0,116.0,120.0,['math.OC']
A Survey of Safety and Trustworthiness of Large Language Models through the Lens of Verification and Validation,1,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning",0.7689032554626465,12.0,126.0,138.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Constructing a Knowledge Graph for Vietnamese Legal Cases with Heterogeneous Graphs,0,1,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.768996000289917,12.0,123.0,135.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Cross-Lingual Transfer Learning for Statistical Type Inference,1,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning",0.6714000701904297,12.0,119.0,131.0,"['cs.AI', 'cs.CL', 'stat.ML']"
The GRT Planning System: Backward Heuristic Construction in Forward State-Space Planning,1,0,0,0,0,optimization and control,0.8250899314880371,4.0,125.0,129.0,['math.OC']
Periodic switching strategies for an isoperimetric control problem with application to nonlinear chemical reactions,0,0,0,1,0,optimization and control,0.9088943004608154,4.0,126.0,130.0,['math.OC']
A Machine-Learning Approach to Estimating the Referential Properties of Japanese Noun Phrases,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",1.1870548725128174,16.0,126.0,142.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Learning to Run challenge: Synthesizing physiologically accurate motion using deep reinforcement learning,1,0,0,0,0,"artificial intelligence, computational machine learning",0.6177701950073242,7.0,124.0,131.0,"['cs.AI', 'cs.LG']"
On the utility of feature selection in building two-tier decision trees,1,0,1,0,0,"optimization and control, statistics machine learning",0.7236521244049072,8.0,120.0,128.0,"['stat.ML', 'math.OC']"
GradSkip: Communication-Accelerated Local Gradient Methods with Better Computational Complexity,0,0,1,1,0,"optimization and control, computational machine learning",0.6750202178955078,8.0,122.0,130.0,"['math.OC', 'cs.LG']"
Consumption and portfolio optimization solvable problems with recursive preferences,0,0,0,1,0,optimization and control,0.5527760982513428,4.0,118.0,122.0,['math.OC']
HJ inequalities involving Lie brackets and feedback stabilizability with cost regulation,0,0,0,1,0,optimization and control,0.6302640438079834,4.0,122.0,126.0,['math.OC']
A Geometric Traversal Algorithm for Reward-Uncertain MDPs,1,0,0,0,0,"optimization and control, computational machine learning",4.779588222503662,8.0,121.0,129.0,"['math.OC', 'cs.LG']"
SCAT: Robust Self-supervised Contrastive Learning via Adversarial Training for Text Classification,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",1.0062623023986816,16.0,126.0,142.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Comparing Writing Styles using Word Embedding and Dynamic Time Warping,0,1,0,0,0,"computation and language, statistics machine learning",0.9437470436096191,9.0,120.0,129.0,"['cs.CL', 'stat.ML']"
Distilled Pruning: Using Synthetic Data to Win the Lottery,0,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.6767683029174805,11.0,120.0,131.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Constrained Gaussian Process Learning for Model Predictive Control,0,0,0,1,0,"artificial intelligence, optimization and control, computational machine learning",0.7763755321502686,11.0,118.0,129.0,"['cs.AI', 'math.OC', 'cs.LG']"
Predicting Outcomes in Long COVID Patients with Spatiotemporal Attention,0,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.7555038928985596,11.0,121.0,132.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Predicting the Outcome of Judicial Decisions made by the European Court of Human Rights,0,1,1,0,1,"artificial intelligence, statistics machine learning",1.3239631652832031,7.0,123.0,130.0,"['cs.AI', 'stat.ML']"
Inpatient2Vec: Medical Representation Learning for Inpatients,0,0,1,0,1,"artificial intelligence, computational machine learning",1.547945499420166,7.0,119.0,126.0,"['cs.AI', 'cs.LG']"
Local and Distributed Rendezvous of Underactuated Rigid Bodies,0,0,0,1,0,optimization and control,0.8584904670715332,4.0,120.0,124.0,['math.OC']
LLQL: Logistic Likelihood Q-Learning for Reinforcement Learning,1,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.6851060390472412,11.0,121.0,132.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Bootstrapping Conversational Agents With Weak Supervision,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.8225011825561523,12.0,118.0,130.0,"['cs.AI', 'cs.CL', 'stat.ML']"
"One model, two languages: training bilingual parsers with harmonized treebanks",0,1,0,0,0,"computation and language, statistics machine learning",0.7157411575317383,9.0,123.0,132.0,"['cs.CL', 'stat.ML']"
Quantum Statistics-Inspired Neural Attention,1,0,0,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.9322316646575928,11.0,114.0,125.0,"['cs.AI', 'stat.ML', 'cs.LG']"
PIPPA: A Partially Synthetic Conversational Dataset,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.696535587310791,12.0,119.0,131.0,"['cs.AI', 'cs.CL', 'stat.ML']"
MID Property for Delay Systems: Insights on Spectral Values with Intermediate Multiplicity,0,0,0,1,0,optimization and control,1.2405190467834473,4.0,123.0,127.0,['math.OC']
Advancing Italian Biomedical Information Extraction with Large Language Models: Methodological Insights and Multicenter Practical Application,1,1,1,0,0,"artificial intelligence, computation and language, computational machine learning",0.698829174041748,12.0,128.0,140.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Using novel data and ensemble models to improve automated labeling of Sustainable Development Goals,0,1,0,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.7404289245605469,11.0,122.0,133.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Efficient search of active inference policy spaces using k-means,1,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.7032897472381592,11.0,119.0,130.0,"['cs.AI', 'stat.ML', 'cs.LG']"
On the Consistency of Ordinal Regression Methods,0,0,1,0,0,"statistics machine learning, optimization and control",0.8953850269317627,8.0,117.0,125.0,"['stat.ML', 'math.OC']"
Neural Mean Discrepancy for Efficient Out-of-Distribution Detection,0,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.8169863224029541,11.0,121.0,132.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Online Learning with Primary and Secondary Losses,0,0,1,0,1,"statistics machine learning, optimization and control, computational machine learning",0.7636687755584717,12.0,116.0,128.0,"['stat.ML', 'math.OC', 'cs.LG']"
Neuronal Spectral Analysis of EEG and Expert Knowledge Integration for Automatic Classification of Sleep Stages,1,0,0,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.8552980422973633,11.0,127.0,138.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Unbalanced Optimal Transport through Non-negative Penalized Linear Regression,0,0,1,1,1,"optimization and control, computational machine learning",0.6672112941741943,8.0,119.0,127.0,"['math.OC', 'cs.LG']"
QuantEase: Optimization-based Quantization for Language Models,0,1,1,0,1,"artificial intelligence, optimization and control, computational machine learning",0.7634596824645996,11.0,118.0,129.0,"['cs.AI', 'math.OC', 'cs.LG']"
A Comparative Study on Regularization Strategies for Embedding-based Neural Networks,0,1,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.7761895656585693,11.0,121.0,132.0,"['cs.AI', 'stat.ML', 'cs.LG']"
CogAlign: Learning to Align Textual Neural Representations to Cognitive Language Processing Signals,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.8196992874145508,16.0,124.0,140.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Periodic optimal control for biomass productivity maximization in a photobioreactor using natural light,0,0,0,1,0,"optimization and control, computational machine learning",0.6287364959716797,8.0,126.0,134.0,"['math.OC', 'cs.LG']"
Deep Neural Decision Trees,0,0,1,0,1,"artificial intelligence, computational machine learning",0.7132248878479004,7.0,112.0,119.0,"['cs.AI', 'cs.LG']"
TexRel: a Green Family of Datasets for Emergent Communications on Relations,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.7111294269561768,12.0,123.0,135.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Guillotine Regularization: Why removing layers is needed to improve generalization in Self-Supervised Learning,0,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.9076976776123047,16.0,128.0,144.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Unsupervised Boosting-based Autoencoder Ensembles for Outlier Detection,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.7507343292236328,11.0,122.0,133.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Reinforcement Learning with Large Action Spaces for Neural Machine Translation,1,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7798149585723877,16.0,119.0,135.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Self-supervised Auxiliary Learning with Meta-paths for Heterogeneous Graphs,0,0,1,0,1,"artificial intelligence, computational machine learning",0.6598358154296875,7.0,123.0,130.0,"['cs.AI', 'cs.LG']"
Fusing First-order Knowledge Compilation and the Lifted Junction Tree Algorithm,1,0,0,0,0,"artificial intelligence, computational machine learning",0.8221609592437744,7.0,121.0,128.0,"['cs.AI', 'cs.LG']"
The Learning of Fuzzy Cognitive Maps With Noisy Data: A Rapid and Robust Learning Method With Maximum Entropy,0,0,1,0,1,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",1.2549290657043457,16.0,130.0,146.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
"Automatic Extraction of Ranked SNP-Phenotype Associations from Literature through Detecting Neural Candidates, Negation and Modality Markers",0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.6978085041046143,12.0,132.0,144.0,"['cs.AI', 'cs.CL', 'stat.ML']"
HBert + BiasCorp -- Fighting Racism on the Web,0,1,0,0,0,"artificial intelligence, computational machine learning",0.6728663444519043,7.0,120.0,127.0,"['cs.AI', 'cs.LG']"
Multi-Relation Aware Temporal Interaction Network Embedding,0,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7848470211029053,16.0,118.0,134.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
The Deep Weight Prior,0,0,1,0,1,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7367551326751709,16.0,112.0,128.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
On Enhancing Speech Emotion Recognition using Generative Adversarial Networks,0,1,0,0,0,"artificial intelligence, statistics machine learning",0.6222708225250244,7.0,121.0,128.0,"['cs.AI', 'stat.ML']"
Exact and approximate inference in graphical models: variable elimination and beyond,1,0,1,0,1,"computation and language, statistics machine learning",0.6623349189758301,9.0,120.0,129.0,"['cs.CL', 'stat.ML']"
AGGGEN: Ordering and Aggregating while Generating,0,1,0,0,0,"artificial intelligence, computational machine learning",0.807650089263916,7.0,119.0,126.0,"['cs.AI', 'cs.LG']"
Identifying Mentions of Pain in Mental Health Records Text: A Natural Language Processing Approach,0,1,1,0,0,"computation and language, artificial intelligence, computational machine learning",0.8020105361938477,12.0,125.0,137.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Quality Control at Your Fingertips: Quality-Aware Translation Models,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",4.070974111557007,12.0,121.0,133.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Sparse Sequence-to-Sequence Models,0,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7077972888946533,16.0,114.0,130.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver,1,0,1,0,1,"artificial intelligence, computational machine learning",0.6727368831634521,7.0,126.0,133.0,"['cs.AI', 'cs.LG']"
NL-Augmenter: A Framework for Task-Sensitive Natural Language Augmentation,1,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning",0.7780816555023193,12.0,123.0,135.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Natural Language Processing for Information Extraction,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.8800215721130371,12.0,114.0,126.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Wasserstein GAN: Deep Generation applied on Bitcoins financial time series,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.7109460830688477,11.0,120.0,131.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Rank optimality for the Burer-Monteiro factorization,0,0,0,1,0,optimization and control,0.7311191558837891,4.0,120.0,124.0,['math.OC']
On the Reduction of Total-Cost and Average-Cost MDPs to Discounted MDPs,0,0,0,1,0,optimization and control,0.6227984428405762,4.0,128.0,132.0,['math.OC']
Modular-Relatedness for Continual Learning,0,0,1,0,1,"artificial intelligence, computational machine learning",0.6576521396636963,7.0,116.0,123.0,"['cs.AI', 'cs.LG']"
Features and Agreement,0,1,0,0,0,computation and language,0.7422389984130859,5.0,111.0,116.0,['cs.CL']
Composite Gaussian Processes: Scalable Computation and Performance Analysis,0,0,0,0,1,"optimization and control, computational machine learning",0.7127285003662109,8.0,119.0,127.0,"['math.OC', 'cs.LG']"
NOTE: Robust Continual Test-time Adaptation Against Temporal Correlation,0,0,1,0,0,"artificial intelligence, computational machine learning",0.742316722869873,7.0,121.0,128.0,"['cs.AI', 'cs.LG']"
Cumulative Sum Ranking,0,0,1,0,1,statistics machine learning,0.4391951560974121,4.0,112.0,116.0,['stat.ML']
ConTextual Masked Auto-Encoder for Dense Passage Retrieval,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.8321635723114014,16.0,120.0,136.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
"Combining Strong Convergence, Values Fast Convergence and Vanishing of Gradients for a Proximal Point Algorithm Using Tikhonov Regularization in a Hilbert Space",0,0,0,1,0,"optimization and control, computational machine learning",0.7044579982757568,8.0,142.0,150.0,"['math.OC', 'cs.LG']"
Communication-Constrained Expansion Planning for Resilient Distribution Systems,0,0,0,1,0,optimization and control,0.633354663848877,4.0,119.0,123.0,['math.OC']
The Optimal Approximation Factors in Misspecified Off-Policy Value Function Estimation,1,0,1,0,1,"optimization and control, statistics machine learning, computational machine learning",0.6897525787353516,12.0,123.0,135.0,"['stat.ML', 'math.OC', 'cs.LG']"
Challenging the Semi-Supervised VAE Framework for Text Classification,0,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",4.9274961948394775,16.0,121.0,137.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Emergent Translation in Multi-Agent Communication,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.7196011543273926,12.0,115.0,127.0,"['cs.AI', 'cs.CL', 'stat.ML']"
One Reflection Suffice,0,0,1,0,1,"the provided text does not offer enough context to classify it accurately into the specified categories. therefore, i cannot assign any labels based on the given text ""one reflection suffice"".",1.0252394676208496,36.0,112.0,148.0,[]
EBM-Fold: Fully-Differentiable Protein Folding Powered by Energy-based Models,0,0,1,0,0,"artificial intelligence, computational machine learning",0.6845648288726807,7.0,125.0,132.0,"['cs.AI', 'cs.LG']"
