text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,response_time,vram_usage,ram_usage,total_time,cs.AI pred,cs.CL pred,stat.ML pred,math.OC pred,cs.LG pred
Comparing PCG metrics with Human Evaluation in Minecraft Settlement Generation,1,0,0,0,0,2.3757612705230713,5538,114.19140625,0.3304643,1,0,0,0,1
Subdifferentials of Nonconvex Integral Functionals in Banach Spaces with Applications to Stochastic Dynamic Programming,0,0,0,1,0,2.4397387504577637,5538,114.19140625,0.4146075,1,0,0,1,1
Joint Causal Inference from Multiple Contexts,1,0,1,0,1,2.4226815700531006,5538,114.19140625,0.3720636,1,1,0,0,0
Erratum: Link prediction in drug-target interactions network using similarity indices,1,0,0,0,0,2.4526891708374023,5538,114.19140625,0.3996623,1,0,0,0,0
Computationally Efficient Estimators for Dimension Reductions Using Stable Random Projections,0,0,1,0,0,2.4241316318511963,5538,114.19140625,0.3800969,0,1,0,0,1
Learning to solve arithmetic problems with a virtual abacus,1,0,1,0,0,2.377340316772461,5538,114.19140625,0.3432123,1,1,0,0,0
Optimizing the Performative Risk under Weak Convexity Assumptions,0,0,1,0,1,2.396758794784546,5538,114.19140625,0.3541206,0,0,0,1,1
Local Optima Networks of the Quadratic Assignment Problem,1,0,0,0,0,2.33408522605896,5538,114.69140625,0.2978926,0,0,0,1,1
What Makes for Robust Multi-Modal Models in the Face of Missing Modalities?,1,0,0,0,0,2.4420764446258545,5538,114.69140625,0.3890083,1,0,0,0,0
ChatGPT Beyond English: Towards a Comprehensive Evaluation of Large Language Models in Multilingual Learning,1,1,0,0,0,2.4225075244903564,5538,114.69140625,0.3759787,1,0,0,0,1
Introducing Expertise Logic into Graph Representation Learning from A Causal Perspective,0,0,1,0,0,2.3418352603912354,5538,114.69140625,0.2906479,1,0,0,0,0
Escaping strict saddle points of the Moreau envelope in nonsmooth optimization,0,0,1,1,1,2.3717896938323975,5538,114.69140625,0.3308583,0,0,0,1,1
You are AllSet: A Multiset Function Framework for Hypergraph Neural Networks,1,0,1,0,0,2.384679079055786,5538,114.69140625,0.3399041,0,0,0,0,1
Span-based joint entity and relation extraction augmented with sequence tagging mechanism,0,1,0,0,0,2.3628640174865723,5538,114.69140625,0.3458177,1,0,0,0,1
AGNN: Alternating Graph-Regularized Neural Networks to Alleviate Over-Smoothing,1,0,1,0,0,2.3078887462615967,5542,114.69140625,0.250232,1,0,0,0,0
High-dimensional Bayesian Optimization of Personalized Cardiac Model Parameters via an Embedded Generative Model,0,0,1,1,1,2.398463249206543,5542,114.69140625,0.3672706,1,0,0,1,1
Improper Learning for Non-Stochastic Control,0,0,1,1,1,2.4286160469055176,5542,114.69140625,0.3825694,1,1,0,0,0
A Coefficient Makes SVRG Effective,0,0,1,1,1,2.3248629570007324,5542,114.69140625,0.2782616,1,0,0,0,0
Gradient Sampling Methods for Nonsmooth Optimization,0,0,0,1,0,2.458120107650757,5542,114.69140625,0.4192592,0,0,0,1,0
A Survey of Safety and Trustworthiness of Large Language Models through the Lens of Verification and Validation,1,0,1,0,0,2.3156299591064453,5542,114.69140625,0.2768422,1,0,0,0,0
Constructing a Knowledge Graph for Vietnamese Legal Cases with Heterogeneous Graphs,0,1,0,0,0,2.4922568798065186,5542,114.69140625,0.4564299,1,1,0,0,0
Cross-Lingual Transfer Learning for Statistical Type Inference,1,0,1,0,0,2.36011004447937,5542,114.69140625,0.3385816,1,0,1,0,0
The GRT Planning System: Backward Heuristic Construction in Forward State-Space Planning,1,0,0,0,0,2.3514063358306885,5542,114.72265625,0.3110681,1,0,0,0,0
Periodic switching strategies for an isoperimetric control problem with application to nonlinear chemical reactions,0,0,0,1,0,2.366473436355591,5542,114.72265625,0.3315997,0,0,0,1,1
A Machine-Learning Approach to Estimating the Referential Properties of Japanese Noun Phrases,0,1,0,0,0,2.386014461517334,5542,114.72265625,0.3373668,1,0,0,0,0
Learning to Run challenge: Synthesizing physiologically accurate motion using deep reinforcement learning,1,0,0,0,0,2.3163540363311768,5542,114.72265625,0.2820829,1,0,0,0,0
On the utility of feature selection in building two-tier decision trees,1,0,1,0,0,2.3993818759918213,5542,114.72265625,0.3602236,0,0,0,0,0
GradSkip: Communication-Accelerated Local Gradient Methods with Better Computational Complexity,0,0,1,1,0,2.3080718517303467,5542,114.72265625,0.2629909,1,0,0,0,0
Consumption and portfolio optimization solvable problems with recursive preferences,0,0,0,1,0,2.51921010017395,5542,114.72265625,0.4741274,0,0,0,1,1
HJ inequalities involving Lie brackets and feedback stabilizability with cost regulation,0,0,0,1,0,2.3712005615234375,5542,115.21875,0.3382346,1,0,0,1,0
A Geometric Traversal Algorithm for Reward-Uncertain MDPs,1,0,0,0,0,2.357210636138916,5542,115.22265625,0.3152728,1,0,0,0,0
SCAT: Robust Self-supervised Contrastive Learning via Adversarial Training for Text Classification,0,1,0,0,0,2.330364942550659,5542,115.22265625,0.2830241,1,0,0,0,0
Comparing Writing Styles using Word Embedding and Dynamic Time Warping,0,1,0,0,0,2.4291915893554688,5542,115.22265625,0.3789336,1,0,0,0,0
Distilled Pruning: Using Synthetic Data to Win the Lottery,0,0,1,0,0,2.341252088546753,5542,115.22265625,0.2932161,1,0,0,0,0
Constrained Gaussian Process Learning for Model Predictive Control,0,0,0,1,0,2.497755527496338,5542,115.22265625,0.4481563,1,0,0,1,1
Predicting Outcomes in Long COVID Patients with Spatiotemporal Attention,0,0,1,0,0,2.3485045433044434,5542,115.22265625,0.301963,1,0,0,0,0
Predicting the Outcome of Judicial Decisions made by the European Court of Human Rights,0,1,1,0,1,2.3568966388702393,5542,115.22265625,0.312239,1,0,0,0,1
Inpatient2Vec: Medical Representation Learning for Inpatients,0,0,1,0,1,2.3652005195617676,5542,115.22265625,0.3169521,1,0,0,0,0
Local and Distributed Rendezvous of Underactuated Rigid Bodies,0,0,0,1,0,2.410983085632324,5542,115.22265625,0.3679241,0,0,0,1,1
LLQL: Logistic Likelihood Q-Learning for Reinforcement Learning,1,0,1,0,0,2.3672547340393066,5542,115.22265625,0.3230292,1,0,0,0,0
Bootstrapping Conversational Agents With Weak Supervision,1,1,0,0,0,2.342149019241333,5542,115.22265625,0.302197,1,0,0,0,0
"One model, two languages: training bilingual parsers with harmonized treebanks",0,1,0,0,0,2.317134141921997,5552,115.22265625,0.2802186,1,0,0,0,0
Quantum Statistics-Inspired Neural Attention,1,0,0,0,0,2.4085159301757812,5552,115.22265625,0.3722235,1,0,0,0,0
PIPPA: A Partially Synthetic Conversational Dataset,0,1,0,0,0,2.3262672424316406,5555,115.22265625,0.2896413,1,0,0,0,1
MID Property for Delay Systems: Insights on Spectral Values with Intermediate Multiplicity,0,0,0,1,0,2.4675920009613037,5525,115.26171875,0.4242926,1,1,0,0,0
Advancing Italian Biomedical Information Extraction with Large Language Models: Methodological Insights and Multicenter Practical Application,1,1,1,0,0,2.2861130237579346,5525,115.35546875,0.2364436,1,0,0,0,0
Using novel data and ensemble models to improve automated labeling of Sustainable Development Goals,0,1,0,0,0,2.3545138835906982,5559,115.35546875,0.3183093,1,0,0,0,0
Efficient search of active inference policy spaces using k-means,1,0,1,0,0,2.316657543182373,5577,115.35546875,0.2749831,1,0,0,0,0
On the Consistency of Ordinal Regression Methods,0,0,1,0,0,2.3719048500061035,5567,115.35546875,0.3148641,0,0,0,0,0
Neural Mean Discrepancy for Efficient Out-of-Distribution Detection,0,0,1,0,0,2.323354959487915,5566,115.35546875,0.2744791,1,0,0,0,0
Online Learning with Primary and Secondary Losses,0,0,1,0,1,2.4271914958953857,5541,115.35546875,0.3829252,0,0,0,0,0
Neuronal Spectral Analysis of EEG and Expert Knowledge Integration for Automatic Classification of Sleep Stages,1,0,0,0,0,2.332049608230591,5561,115.35546875,0.2916717,1,0,0,0,1
Unbalanced Optimal Transport through Non-negative Penalized Linear Regression,0,0,1,1,1,2.439636707305908,5554,115.35546875,0.3908927,1,0,0,0,0
QuantEase: Optimization-based Quantization for Language Models,0,1,1,0,1,2.410510301589966,5535,115.35546875,0.3564252,0,0,0,1,1
A Comparative Study on Regularization Strategies for Embedding-based Neural Networks,0,1,1,0,0,2.2635719776153564,5545,115.35546875,0.2235719,0,0,0,0,0
CogAlign: Learning to Align Textual Neural Representations to Cognitive Language Processing Signals,0,1,0,0,0,2.3837499618530273,5545,115.35546875,0.3428657,1,1,0,0,0
Periodic optimal control for biomass productivity maximization in a photobioreactor using natural light,0,0,0,1,0,2.372659206390381,5541,115.35546875,0.3220837,0,0,0,1,1
Deep Neural Decision Trees,0,0,1,0,1,2.322445869445801,5539,115.35546875,0.2809007,1,0,0,0,0
TexRel: a Green Family of Datasets for Emergent Communications on Relations,0,1,0,0,0,2.445923089981079,5534,115.35546875,0.4047366,1,0,0,0,0
Guillotine Regularization: Why removing layers is needed to improve generalization in Self-Supervised Learning,0,0,1,0,0,2.3056466579437256,5551,115.35546875,0.2676695,1,0,0,0,0
Unsupervised Boosting-based Autoencoder Ensembles for Outlier Detection,0,0,1,0,1,2.410689353942871,5552,115.35546875,0.3790562,1,0,0,0,0
Reinforcement Learning with Large Action Spaces for Neural Machine Translation,1,1,1,0,0,2.432610511779785,5551,115.35546875,0.388079,1,1,0,0,0
Self-supervised Auxiliary Learning with Meta-paths for Heterogeneous Graphs,0,0,1,0,1,2.343614339828491,5550,115.35546875,0.2934927,1,0,0,0,0
Fusing First-order Knowledge Compilation and the Lifted Junction Tree Algorithm,1,0,0,0,0,2.337062120437622,5550,115.35546875,0.2874863,1,0,0,0,0
The Learning of Fuzzy Cognitive Maps With Noisy Data: A Rapid and Robust Learning Method With Maximum Entropy,0,0,1,0,1,2.3634986877441406,5549,115.35546875,0.3227312,1,0,0,0,0
"Automatic Extraction of Ranked SNP-Phenotype Associations from Literature through Detecting Neural Candidates, Negation and Modality Markers",0,1,0,0,0,2.4180824756622314,5549,115.35546875,0.3849152,1,0,1,0,1
HBert + BiasCorp -- Fighting Racism on the Web,0,1,0,0,0,2.2712342739105225,5549,115.35546875,0.2245988,1,0,0,0,0
Multi-Relation Aware Temporal Interaction Network Embedding,0,0,1,0,0,2.371298313140869,5549,115.35546875,0.3341047,1,0,0,0,0
The Deep Weight Prior,0,0,1,0,1,2.3082659244537354,5548,115.35546875,0.2762974,1,0,0,0,0
On Enhancing Speech Emotion Recognition using Generative Adversarial Networks,0,1,0,0,0,2.38924241065979,5549,115.35546875,0.35854,1,0,0,0,0
Exact and approximate inference in graphical models: variable elimination and beyond,1,0,1,0,1,2.423093318939209,5551,115.35546875,0.3821989,1,1,0,0,0
AGGGEN: Ordering and Aggregating while Generating,0,1,0,0,0,2.276216745376587,5551,115.35546875,0.2236809,0,0,1,0,0
Identifying Mentions of Pain in Mental Health Records Text: A Natural Language Processing Approach,0,1,1,0,0,2.47886061668396,5551,115.35546875,0.4553937,1,0,0,0,0
Quality Control at Your Fingertips: Quality-Aware Translation Models,1,1,0,0,0,2.4558956623077393,5551,115.35546875,0.4196842,1,0,0,0,0
Sparse Sequence-to-Sequence Models,0,1,1,0,0,2.3799667358398438,5551,115.91015625,0.3238572,1,0,0,0,0
SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver,1,0,1,0,1,2.34814453125,5551,115.91015625,0.3121386,1,0,0,0,0
NL-Augmenter: A Framework for Task-Sensitive Natural Language Augmentation,1,1,1,0,0,2.2913196086883545,5551,115.91015625,0.2615198,1,0,0,0,0
Natural Language Processing for Information Extraction,1,1,0,0,0,2.510063648223877,5551,115.91015625,0.4726363,1,1,0,0,0
Wasserstein GAN: Deep Generation applied on Bitcoins financial time series,0,0,1,0,1,2.2832894325256348,5551,115.91015625,0.2355928,1,0,0,0,0
Rank optimality for the Burer-Monteiro factorization,0,0,0,1,0,2.3357465267181396,5551,115.91015625,0.304745,0,0,0,1,1
On the Reduction of Total-Cost and Average-Cost MDPs to Discounted MDPs,0,0,0,1,0,2.457599401473999,5551,115.91015625,0.4033562,0,0,0,1,0
Modular-Relatedness for Continual Learning,0,0,1,0,1,2.261667013168335,5551,115.91015625,0.2242286,0,0,0,0,1
Features and Agreement,0,1,0,0,0,2.4760072231292725,5551,115.91015625,0.4271267,0,0,0,0,0
Composite Gaussian Processes: Scalable Computation and Performance Analysis,0,0,0,0,1,2.327913761138916,5551,115.91015625,0.2803457,1,0,0,0,0
NOTE: Robust Continual Test-time Adaptation Against Temporal Correlation,0,0,1,0,0,2.443500518798828,5551,115.91015625,0.3936111,1,0,0,0,0
Cumulative Sum Ranking,0,0,1,0,1,2.3070032596588135,5551,115.91015625,0.2568176,0,0,1,0,0
ConTextual Masked Auto-Encoder for Dense Passage Retrieval,1,1,0,0,0,2.4371979236602783,5551,115.91015625,0.3988983,1,0,0,0,0
"Combining Strong Convergence, Values Fast Convergence and Vanishing of Gradients for a Proximal Point Algorithm Using Tikhonov Regularization in a Hilbert Space",0,0,0,1,0,2.361222505569458,5551,115.91015625,0.3033731,1,0,0,0,0
Communication-Constrained Expansion Planning for Resilient Distribution Systems,0,0,0,1,0,2.4743103981018066,5551,115.91015625,0.4214321,1,0,0,1,1
The Optimal Approximation Factors in Misspecified Off-Policy Value Function Estimation,1,0,1,0,1,2.36338472366333,5551,115.91015625,0.3132755,0,0,0,1,0
Challenging the Semi-Supervised VAE Framework for Text Classification,0,1,1,0,0,2.477107524871826,5551,115.91015625,0.4509233,1,0,0,0,0
Emergent Translation in Multi-Agent Communication,1,1,0,0,0,2.4178402423858643,5551,115.91015625,0.3802631,1,1,0,0,0
One Reflection Suffice,0,0,1,0,1,2.275733470916748,5551,115.91015625,0.2452412,1,0,0,0,0
EBM-Fold: Fully-Differentiable Protein Folding Powered by Energy-based Models,0,0,1,0,0,2.3421943187713623,5551,115.91015625,0.3077794,1,0,0,0,0
When to Ask for Help: Proactive Interventions in Autonomous Reinforcement Learning,0,0,1,0,0,2.4583442211151123,5551,115.91015625,0.412537,1,0,0,0,0
A Comparative Study on TF-IDF feature Weighting Method and its Analysis using Unstructured Dataset,0,1,1,0,0,2.276601552963257,5551,115.91015625,0.2300473,0,0,1,0,0
LongForm: Optimizing Instruction Tuning for Long Text Generation with Corpus Extraction,1,1,1,0,0,2.5455210208892822,5551,115.91015625,0.5002317,0,0,0,1,1
AutoKnow: Self-Driving Knowledge Collection for Products of Thousands of Types,1,0,0,0,0,2.357750177383423,5556,115.91015625,0.3017767,1,0,0,0,0
Random Feature-based Online Multi-kernel Learning in Environments with Unknown Dynamics,0,0,1,0,1,2.3047618865966797,5556,115.91015625,0.2645806,1,0,0,0,0
Design from Policies: Conservative Test-Time Adaptation for Offline Policy Optimization,0,0,1,0,0,2.5842106342315674,5551,115.91015625,0.5415009,1,0,0,1,1
Successive Convex Approximation Based Off-Policy Optimization for Constrained Reinforcement Learning,0,0,1,0,0,2.380251884460449,5551,115.91015625,0.3406986,1,0,0,1,1
Topology-Aware Correlations Between Relations for Inductive Link Prediction in Knowledge Graphs,0,1,1,0,0,2.3157875537872314,5546,115.91015625,0.2891631,1,0,0,0,0
Comparing Rewinding and Fine-tuning in Neural Network Pruning,0,0,1,0,1,2.3438992500305176,5544,115.91015625,0.3053423,0,0,0,0,0
Sparse recovery of an electrical network based on algebraic variety fitting and graph sparsification,0,0,0,1,0,2.4873907566070557,5544,115.91015625,0.4481668,1,0,0,0,0
A Unified Positive-Unlabeled Learning Framework for Document-Level Relation Extraction with Different Levels of Labeling,1,1,0,0,0,2.2954633235931396,5545,115.91015625,0.266764,1,0,0,0,0
A Comparison of Optimization Algorithms for Deep Learning,0,0,1,0,1,2.2594645023345947,5567,115.91015625,0.2341442,0,0,0,1,0
Hyperbox based machine learning algorithms: A comprehensive survey,0,0,1,0,1,2.3732736110687256,5567,115.91015625,0.3226048,1,0,0,0,0
"Prediction of single well production rate in water-flooding oil fields driven by the fusion of static, temporal and spatial information",0,0,1,0,0,2.4378106594085693,5571,115.91015625,0.3936132,0,0,1,0,0
An Infinite Restricted Boltzmann Machine,0,0,1,0,0,2.3450119495391846,5569,115.91015625,0.2987916,1,0,0,0,0
Link Prediction using Embedded Knowledge Graphs,1,1,1,0,0,2.3558244705200195,5566,115.91015625,0.3240708,1,0,0,0,0
Risk-Aware Active Inverse Reinforcement Learning,0,0,1,0,1,2.347278356552124,5568,115.91015625,0.3077492,1,0,0,0,0
Constrained Convolutional-Recurrent Networks to Improve Speech Quality with Low Impact on Recognition Accuracy,0,0,1,0,0,2.3646419048309326,5567,116.11328125,0.3184531,1,0,0,0,0
On the nonlocal stabilization by starting control of the normal equation generated from Helmholtz system,0,0,0,1,0,2.336533784866333,5566,116.11328125,0.2993457,0,0,0,1,0
Stochastic Subspace Cubic Newton Method,0,0,1,1,0,2.4499170780181885,5566,116.11328125,0.4029035,1,0,0,1,1
Convergence Analysis of Generalized ADMM with Majorization for Linearly Constrained Composite Convex Optimization,0,0,0,1,0,2.5139646530151367,5565,116.11328125,0.4723074,1,0,0,1,1
Safety Guarantees for Planning Based on Iterative Gaussian Processes,0,0,1,0,1,2.3454906940460205,5565,116.11328125,0.3044069,1,0,0,0,0
SesameBERT: Attention for Anywhere,0,1,1,0,0,2.3404324054718018,5558,116.11328125,0.2898267,1,0,0,0,0
Machine Learning Performance Analysis to Predict Stroke Based on Imbalanced Medical Dataset,1,0,1,0,0,2.5128769874572754,5558,116.11328125,0.4648424,1,0,0,0,1
Probabilistic Decoupling of Labels in Classification,0,0,1,0,1,2.376934289932251,5564,116.11328125,0.3236529,1,0,0,0,0
LatEval: An Interactive LLMs Evaluation Benchmark with Incomplete Information from Lateral Thinking Puzzles,0,1,0,0,0,2.376607894897461,5570,116.11328125,0.3254108,1,0,0,0,0
Missing Not at Random in Matrix Completion: The Effectiveness of Estimating Missingness Probabilities Under a Low Nuclear Norm Assumption,0,0,1,0,1,2.4536802768707275,5568,116.11328125,0.406486,0,0,0,0,0
Generative Modelling for Unsupervised Score Calibration,0,0,1,0,1,2.3453493118286133,5568,116.11328125,0.30404,1,0,0,0,0
Characterization of the dissipative mappings and their application to perturbations of dissipative-Hamiltonian systems,0,0,0,1,0,2.4487619400024414,5556,116.11328125,0.4163118,0,0,0,1,0
Probability Aggregates in Probability Answer Set Programming,1,0,0,0,0,2.2979214191436768,5556,116.11328125,0.2510079,0,0,1,0,0
Clever Search: A WordNet Based Wrapper for Internet Search Engines,1,0,0,0,0,2.494462013244629,5556,116.11328125,0.4466444,1,0,0,0,0
Day-Ahead Hourly Forecasting of Power Generation from Photovoltaic Plants,0,0,1,0,1,2.37239146232605,5556,116.11328125,0.3351904,1,0,1,0,0
Cross-lingual Pre-training Based Transfer for Zero-shot Neural Machine Translation,0,1,0,0,0,2.449086904525757,5564,116.11328125,0.4088094,1,1,0,0,0
"Global Navigation Using Predictable and Slow Feature Analysis in Multiroom Environments, Path Planning and Other Control Tasks",0,0,1,0,1,2.5155904293060303,5563,116.11328125,0.4672124,0,0,0,0,0
A Map of Bandits for E-commerce,0,0,1,0,0,2.3463315963745117,5572,116.11328125,0.2906297,1,0,0,0,0
Enhancing Contrastive Learning with Noise-Guided Attack: Towards Continual Relation Extraction in the Wild,0,1,0,0,0,2.369920015335083,5585,116.11328125,0.3281724,1,0,0,0,0
An extragradient algorithm for quasiconvex equilibrium problems without monotonicity,0,0,0,1,0,2.386451244354248,5582,116.11328125,0.3366934,0,0,0,1,1
Switching Scheme: A Novel Approach for Handling Incremental Concept Drift in Real-World Data Sets,0,0,1,0,0,2.3306467533111572,5575,116.11328125,0.2826598,1,0,0,0,0
PALI-NLP at SemEval-2022 Task 4: Discriminative Fine-tuning of Transformers for Patronizing and Condescending Language Detection,1,1,0,0,0,2.480473756790161,5558,116.11328125,0.4232752,1,0,0,0,0
Convexification with bounded gap for randomly projected quadratic optimization,0,0,0,1,0,2.402888774871826,5558,116.11328125,0.3506809,0,0,0,1,1
Belief change with noisy sensing in the situation calculus,1,0,0,0,0,2.3727645874023438,5558,116.11328125,0.3213095,1,1,0,0,0
EdinSaar@WMT21: North-Germanic Low-Resource Multilingual NMT,0,1,0,0,0,2.2967913150787354,5558,116.11328125,0.245587,0,0,0,0,0
SEDRo: A Simulated Environment for Developmental Robotics,1,0,0,0,0,2.39526629447937,5558,116.11328125,0.3544753,0,0,0,0,1
Incorporating Word Embeddings into Open Directory Project based Large-scale Classification,0,1,0,0,0,2.330564260482788,5558,116.11328125,0.2816281,1,0,0,0,0
Adversarial Learning of Poisson Factorisation Model for Gauging Brand Sentiment in User Reviews,0,0,1,0,0,2.4341418743133545,5558,116.11328125,0.3880029,1,0,0,0,0
Reducing Adversarially Robust Learning to Non-Robust PAC Learning,0,0,1,0,0,2.3490211963653564,5558,116.11328125,0.2941257,1,0,0,0,0
Classification with Nearest Disjoint Centroids,0,0,1,0,1,2.3765921592712402,5558,116.11328125,0.3203882,0,0,0,0,1
Detecting Languages Unintelligible to Multilingual Models through Local Structure Probes,0,1,0,0,0,2.369065999984741,5558,116.11328125,0.3190768,1,0,0,0,1
A Bayesian approach to quantifying uncertainties and improving generalizability in traffic prediction models,0,0,1,0,1,2.417398691177368,5558,116.11328125,0.3727469,1,0,1,0,0
