text,bug,docs,feature,question,won't fix,response_time,vram_usage,ram_usage,total_time,bug pred,feature pred,question pred,won't fix pred,docs pred
'AmpOptimizerState' object has no attribute 'all_fp16_params' when Trainer amp_level,0,0,0,1,1,2.2513201236724854,4499,96.671875,0.2133572,1,1,0,0,0
Metric update method is called twice in a row,0,0,0,1,0,2.14223575592041,4499,96.37109375,0.0882823,0,1,0,0,0
Set different lr_schedulers for different parameter groups,0,0,0,1,0,2.339059829711914,4499,96.1640625,0.3037372,0,1,0,0,0
[question] How to override how `self.train_transform` is applied to batches in `LightningDataModule`.,0,0,0,1,1,2.2276792526245117,4499,96.65625,0.1878753,0,1,1,0,0
How to change optimizer and lr scheduler in the middle of training?,0,0,0,1,0,2.2940990924835205,4499,96.22265625,0.2441245,0,1,0,0,0
How automaticly load best model checkpoint on Trainer instance with TestTubeLogger,0,0,0,1,0,2.146827459335327,4499,96.22265625,0.092679,0,1,0,0,0
Child Modules Code Example,0,1,0,0,0,2.253606081008911,4506,96.66015625,0.2021497,0,1,0,0,0
How to wrap progress bar?,0,0,1,1,0,2.3518223762512207,4506,96.28515625,0.3067382,0,1,0,0,0
Print out learning_rate in the progress bar,0,0,0,1,0,2.1576991081237793,4503,96.2578125,0.1011121,0,1,0,0,0
How was the README animation created ?,0,0,0,1,1,2.310941457748413,4503,96.75,0.2668027,0,0,1,0,0
Skip the train_step based on batch statistics,0,0,0,1,0,2.144975185394287,4503,96.234375,0.1003955,0,1,0,0,0
Use two separate dataloaders,0,0,0,1,0,2.2646701335906982,4503,96.734375,0.2194255,0,0,0,0,1
Document class inheriting from LightningModule,0,1,0,0,1,2.2624237537384033,4504,96.7421875,0.2103623,0,0,0,0,1
some questions about loading checkpoints,0,0,0,1,1,2.1398630142211914,4504,97.23828125,0.0897101,0,0,1,0,0
How to specify 'mode' when using checkpoint_on in the new Result types.,0,0,0,1,1,2.3169915676116943,4508,97.2421875,0.2642814,0,1,0,0,0
Validation step returns trainresult instead of evalresult,0,1,0,0,0,2.126281499862671,4499,97.3203125,0.093344,1,0,0,0,0
ModelCheckpoint every validation cycle instead of epoch?,0,0,0,1,0,2.3466429710388184,4506,97.21875,0.296572,0,1,0,0,0
Remove forward hook from lightning documentation,0,1,0,0,0,2.1400930881500244,4506,97.21875,0.0967496,0,1,0,0,0
More explanation needed in documentation on DP vs. DDP in multi-GPU training,0,0,0,1,0,2.3082997798919678,4503,96.48046875,0.2682001,0,1,0,0,0
Weights precisions do not match up. AMP,0,0,0,1,1,2.1154797077178955,4503,96.73046875,0.0734471,1,0,0,0,0
How to access validation logs data inside the on_validation_batch_end callback,0,0,0,1,0,2.2580060958862305,4503,96.84765625,0.2200857,0,1,0,0,0
training discriminator five time for WGAN and generator only one,0,0,0,1,0,2.3345489501953125,4503,97.33984375,0.3062042,0,1,0,0,0
row_log_interval / checkpoint_callback and early_stop_callback,0,0,0,1,1,2.1485908031463623,4503,96.41796875,0.100086,0,1,0,0,0
EvalResult can't log 2D tensor,0,0,0,1,0,2.2786333560943604,4503,96.82421875,0.2232918,1,0,0,0,0
Disabling printing of GPU debug information,0,0,0,1,0,2.2662129402160645,4503,96.8359375,0.238402,0,1,0,0,0
Add a note about row_log_interval=50 default to logging doc page or warning,0,1,0,0,0,2.147345542907715,4503,97.453125,0.1026574,0,1,0,0,0
How to schedule learning rate in pytorch_lightning,0,0,0,1,0,2.2737882137298584,4503,97.46484375,0.2215194,0,1,0,0,0
Test that the number of files in tensorboard was correct in distributed,0,0,1,0,0,2.2275726795196533,4504,97.46875,0.1863876,0,1,0,0,0
Support for production deployment,0,0,0,1,1,2.131213903427124,4504,96.60546875,0.1024682,0,1,0,0,0
Does self.log do ddp sync automatically?,0,0,0,1,0,2.2506213188171387,4504,96.88671875,0.2107647,0,1,0,0,0
Error in  `load_from_checkpoint` when LightningModule init contains 'hparams',0,0,0,1,1,2.398106336593628,4504,96.890625,0.3821839,1,1,0,0,0
2 optimizers : skip updates for the second optim,0,0,0,1,0,2.140711784362793,4504,97.390625,0.0976891,0,1,0,0,0
Adding histogram through TensorBoardLogger object not working  ,1,0,0,0,0,2.2741310596466064,4504,96.4453125,0.2217088,0,1,0,0,0
Confusion over Early Stopping behavior and how it is intended to work in the future ,0,0,0,1,0,2.301593542098999,4504,96.84375,0.2579792,0,1,0,0,0
Setting gpus with hydra,0,0,0,1,0,2.142714738845825,4503,96.84375,0.1058403,0,1,0,0,0
train_percent_check as a method for reducing train data size.,0,0,0,1,0,2.242616891860962,4503,97.3359375,0.2185332,0,1,0,0,0
What is the model saved by the trainer by default?,0,0,0,1,0,2.2618906497955322,4503,97.3359375,0.2140721,0,0,0,0,1
How to interpret the profiler statistics here,0,0,0,1,1,2.1387195587158203,4503,97.3359375,0.0996108,0,0,0,0,1
Checkpointing with SLURM,0,0,0,1,0,2.323207139968872,4504,96.3515625,0.2747169,0,1,0,0,0
Question about `trainer.test()`,0,0,1,1,0,2.349856376647949,4508,96.6171875,0.3044368,0,0,1,0,0
Typo in child modules docs,0,1,0,0,0,2.10546875,4508,96.71484375,0.091003,0,0,0,0,1
How to suppress messages from Trainer class?,0,0,0,1,0,2.3751163482666016,4499,97.26171875,0.3308646,0,1,0,0,0
"GPU training, but datasets are on the CPU",0,0,0,1,1,2.127565383911133,4500,97.2734375,0.0789721,0,1,0,0,0
Learning Non-negative Parameters,0,0,0,1,0,2.3747050762176514,4500,97.27734375,0.3306275,0,1,0,0,0
validation_epoch_end and ddp,0,0,0,1,0,2.1230733394622803,4499,96.46484375,0.0887032,0,1,0,0,0
"how to use custom dataset in pytorch-lightning module as I am encountering an error ""AttributeError: 'str' object has no attribute 'size'""",0,0,0,1,0,2.301913022994995,4506,97.0234375,0.261443,0,1,0,0,0
How do I access the metrics from a logger/trainer?,0,0,0,1,1,2.137385129928589,4506,96.4140625,0.1222665,0,0,1,0,0
init_slurm_connection causing hostname errors,1,0,0,0,0,2.3463587760925293,4504,96.4453125,0.2985593,1,0,0,0,0
"Does ""log_save_interval"" control training log?",0,0,0,1,1,2.133526563644409,4508,96.9375,0.0847779,0,1,0,0,0
How to tokenize within getitem() of Dataset with HuggingFace tokenizers,0,0,0,1,0,2.2908544540405273,4508,96.58203125,0.2617003,0,1,0,0,0
Is AUROC from lightning metrics package intentionally different from the sklearn's?,0,0,0,1,0,2.124572515487671,4499,96.6953125,0.0849633,0,1,0,0,0
multi-node multi-gpu with time constraint and model checkpointing,0,0,0,1,1,2.34956431388855,4499,96.99609375,0.29801,0,1,0,0,0
[how-to] Handle multiple losses and/or weighted losses?,0,0,0,1,0,2.142639398574829,4499,97.5078125,0.0922796,0,1,0,0,0
Epoch number has inconsistent display in ModelCheckpoint,0,1,0,0,0,2.379866123199463,4499,97.515625,0.3237092,1,1,0,0,0
Does pytorch-lightning support mixed-precision training?,0,0,0,1,0,2.1322054862976074,4499,97.515625,0.0887275,0,1,0,0,0
datamodule how to load checkpoint,0,0,1,1,0,2.312227249145508,4499,97.515625,0.2725116,0,1,0,0,0
Best Practices: logger.experiment.add_image() at end of epoch when using new simplified pl.Train/EvalResult objects,0,0,0,1,1,2.142427444458008,4499,97.515625,0.0993033,0,1,0,0,0
How to configure steps of multiple optimizers for GANs,0,0,0,1,0,2.3675954341888428,4500,97.515625,0.326425,0,1,0,0,0
How to suppress GPU/TPU device information warnings,0,0,0,1,1,2.1305625438690186,4500,97.515625,0.0878179,0,1,0,0,0
TPU Colab,0,1,0,1,1,2.3529250621795654,4499,96.703125,0.3019516,0,1,0,0,0
Do multiple optimizer steps in one training step,0,0,0,1,0,2.1403090953826904,4499,97.015625,0.0921462,0,1,0,0,0
Understanding the Progress Bar,0,0,0,1,0,2.342698574066162,4499,96.859375,0.2977885,0,1,0,0,0
Best Practice to log images in vision tasks,0,0,0,1,0,2.140292167663574,4499,96.578125,0.095363,0,1,0,0,0
Checkpoint files location when WandbLogger ,0,0,0,1,0,2.32202410697937,4499,96.87890625,0.2875113,0,1,0,0,0
How to write custom metric callbacks properly ?,0,0,0,1,0,2.1408798694610596,4499,96.47265625,0.0882778,0,1,0,0,0
Lazy loading and multi-modal data,0,0,0,1,1,2.3115594387054443,4499,96.73828125,0.2593689,0,1,0,0,0
How to log cur_val_loss to tensorboard in validation_step?,0,0,0,1,1,2.137068271636963,4499,96.65234375,0.0925199,0,1,0,0,0
How to get test predictions (and other non-scalar metrics)?,0,0,0,1,0,2.35444712638855,4499,96.33984375,0.3067579,0,1,0,0,0
CI: Force docs compilation warnings to be raised as errors,0,1,0,0,0,2.134183645248413,4499,96.71484375,0.0931366,0,1,0,0,0
How to save checkpoints within lightning_logs?,0,0,0,1,1,2.374044179916382,4499,96.34375,0.3252974,0,1,0,0,0
Adapting SWA for pytorch lightning.,0,0,0,1,0,2.134719133377075,4499,96.65234375,0.0917972,0,1,0,0,0
Passing the early_stop_callback to the Trainer,0,0,0,1,0,2.3659820556640625,4499,96.65625,0.3109553,0,1,0,0,0
Outdated documentation for loggers,0,1,0,0,0,2.1284897327423096,4500,97.35546875,0.0776517,0,0,0,0,1
CUDA - numpy related copy error?,0,0,0,1,0,2.3457047939300537,4500,97.4140625,0.2988336,0,1,0,0,0
Correctly document ReduceLROnPlateau,0,1,0,0,0,2.1359808444976807,4499,97.4765625,0.0890061,0,0,0,0,1
How to save to extra info checkpoint?,0,0,0,1,0,2.3926472663879395,4499,96.40625,0.3353082,0,1,0,0,0
ImageNet example shows contradictions,0,1,0,0,1,2.129676342010498,4499,96.6875,0.0897235,0,1,0,0,0
Hide default pl flags with -h?,0,0,0,1,1,2.376927137374878,4499,96.69140625,0.3295431,0,1,0,0,0
How to skip one of multiple optimizers at training_step()?,0,0,0,1,0,2.1279103755950928,4499,97.30078125,0.0943847,0,1,0,0,0
Pruning gradients before Optimizer_step,0,0,0,1,1,2.3381171226501465,4499,97.328125,0.2953372,0,1,0,0,0
How to resolve DeprecationWarning ,0,0,0,1,0,2.1407740116119385,4499,97.328125,0.0893713,0,1,0,0,0
"Trouble logging validation and training metrics on the same row in ""metrics.csv""",0,0,0,1,1,2.388439893722534,4499,96.37109375,0.3408399,1,0,0,0,0
How to disable progress bar and printing model structure?,0,0,0,1,0,2.1497082710266113,4499,96.8984375,0.0933461,0,1,0,0,0
Run full validation epoch before training,0,0,0,1,0,2.2886734008789062,4499,96.93359375,0.2437717,0,1,0,0,0
Document auto_select_gpus,0,1,0,0,1,2.2839207649230957,4499,97.59375,0.2407591,0,0,0,0,1
OpenPAI and PyTorch Lightning for easy multi-machine distributed training?,0,0,0,1,1,2.1304335594177246,4499,97.6015625,0.0928152,0,1,0,0,0
Model checkpointing for sub-epoch frequency,0,0,0,1,1,2.3009581565856934,4499,97.60546875,0.2634745,0,1,0,0,0
Backward on tensors inside training_step,0,0,0,1,0,2.1245386600494385,4500,96.640625,0.0826142,0,1,0,0,0
How can I integrate shuffling BN (in MoCo) with PTL?,0,0,0,1,1,2.2542474269866943,4500,97.1328125,0.2100918,0,1,0,0,0
Use only one of the optimizers as warm-up ,0,0,0,1,1,2.1125361919403076,4498,96.55859375,0.0774811,0,1,0,0,0
How to disable model summary?,0,0,0,1,0,2.2616994380950928,4498,96.734375,0.2189474,0,1,0,0,0
More Details about Distributed Data Parallel Random Seed,0,0,0,1,1,2.1607282161712646,4498,96.73828125,0.1075377,0,1,0,0,0
"return ""val_loss"" in validation step and ""avg_val�_loss"" from validation_epoch_end in trainer ",0,0,0,1,1,2.2668917179107666,4498,97.234375,0.2386987,0,1,0,0,0
Trainer docs,0,1,0,0,0,2.2958121299743652,4498,96.56640625,0.2549196,0,0,0,0,1
Collect all  losses into a list?,0,0,0,1,0,2.1330885887145996,4498,96.80859375,0.0997277,0,1,0,0,0
codecov doesn't respect ignore,1,0,0,0,0,2.2561237812042236,4498,96.8125,0.2171981,0,1,0,0,0
Incorrect Implementation for Accumulating Batch Gradients in Trainer,1,0,0,0,0,2.2749595642089844,4498,97.31640625,0.2408002,1,1,0,0,0
What should I do if I don't have validation data and test data?,1,0,0,0,0,2.136521100997925,4498,96.33203125,0.0985328,0,0,1,0,0
Errata in the readme?,1,0,0,0,0,2.2472212314605713,4498,96.9921875,0.1971769,0,0,0,0,1
AttributeError: 'xxx' object has no attribute 'tng_dataloader' continued...,1,0,0,0,0,2.332549810409546,4490,97.01953125,0.2750976,1,0,0,0,0
Recursive device conversion of tuple,1,0,0,0,0,2.2948269844055176,4490,97.87109375,0.2400626,0,1,0,0,0
'tng_loss' vs 'loss' in in training_step,0,0,0,1,0,2.195345640182495,4490,96.83984375,0.1793591,0,1,0,0,0
Non plain-tensor batches,1,0,0,0,0,2.1372926235198975,4490,97.0078125,0.1024139,0,1,0,0,0
Install within conda env breaks,1,0,0,0,0,2.2678370475769043,4490,96.5078125,0.2193648,1,0,0,0,0
How to save model name with my own variable?,0,0,0,1,0,2.234891891479492,4490,96.54296875,0.189363,0,1,0,0,0
"When running single_gpu_node_dp_template.pj, missing 'dp' or 'ddp' param",1,0,0,0,0,2.1516125202178955,4490,96.86328125,0.1106278,1,0,0,0,0
Question about multiple optimizers and lr schedulers?,0,0,0,1,0,2.2597877979278564,4490,96.375,0.2196829,0,0,1,0,0
Trainer track_grad_norm always results in 0,1,0,0,0,0,2.241292715072632,4490,96.8671875,0.1997239,1,0,0,0,0
Missing metrics on Tensorboard,1,0,0,0,0,2.135998487472534,4490,96.28125,0.0984704,1,0,0,0,0
Broken link in Examples readme,1,0,0,0,0,2.231843948364258,4490,96.47265625,0.2220559,1,0,0,0,0
Logger fails at scale,1,0,0,0,0,2.2472681999206543,4490,97.23046875,0.2078865,0,1,0,0,0
Disable automatic checkpoint loading,0,0,1,0,0,2.137160539627075,4490,96.671875,0.1011267,0,1,0,0,0
Optimizer step hook missing param,1,0,0,0,0,2.2480125427246094,4490,96.14453125,0.2149006,0,1,0,0,0
training_step is called once for each optimizer,1,0,0,0,0,2.2869420051574707,4490,96.24609375,0.2530701,0,1,0,0,0
Multiple optimizers but only one loss,0,0,0,1,0,2.136972427368164,4490,96.31640625,0.1009171,0,1,0,0,0
dp training : bug  if the number of examples is not a multiple of the batchsize and not a multiple of gpu count,1,0,0,0,0,2.275914192199707,4490,96.80859375,0.2400783,1,0,0,0,0
Increment `global_step` at end of iter?,1,0,0,0,0,2.3287863731384277,4490,96.6328125,0.2733312,0,1,0,0,0
"Having a low ""val_check_interval"" value with many workers in Dataloader leads to extrem overhead",1,0,0,0,1,2.319005012512207,4490,96.66015625,0.2678761,0,1,0,0,0
Problems loading model from metrics,1,0,0,0,0,2.239515781402588,4490,97.17578125,0.1996065,1,0,0,0,0
Training/Validation split in minimal example,0,0,0,1,0,2.2187600135803223,4490,96.77734375,0.2050714,0,1,0,0,0
Fix readme for Pypi,1,0,0,0,0,2.236032247543335,4490,96.77734375,0.1931828,0,1,0,0,0
CometLogger does not implement name() and version() class methods,1,0,0,0,0,2.227545976638794,4490,96.77734375,0.1960324,1,0,0,0,0
K-fold cross-validation,0,0,0,1,0,2.1339662075042725,4490,97.39453125,0.0988156,0,0,0,0,1
RuntimeError: bool value of Tensor with more than one value is ambiguous,1,0,0,0,0,2.2753453254699707,4490,97.40625,0.2214843,1,0,0,0,0
Model checkpoint is not working,1,0,0,0,0,2.2921903133392334,4490,97.4375,0.242456,1,0,0,0,0
versions after .5.2.1 do not print weights summary,1,0,0,0,0,2.1480653285980225,4490,97.4375,0.1026496,1,0,0,0,0
Training with DDP could fail at startup due to FileExistsError,1,0,0,0,0,2.2760276794433594,4490,97.46875,0.2234853,1,0,0,0,0
training_forward assumes input has .copy() method for single GPU,1,0,0,0,0,2.2848479747772217,4490,97.46875,0.2382451,0,1,0,0,0
GPU usage decreasing with epochs,1,0,0,0,0,2.1434645652770996,4490,97.4921875,0.0998421,0,1,0,0,0
Inadequate total steps shown in progress bar during sanity validation check when number of validation dataloaders >= 2,1,0,0,0,0,2.336616277694702,4490,97.48046875,0.2928669,1,1,0,0,0
failing Docs build,1,0,0,0,0,2.254441022872925,4490,97.48046875,0.2145181,0,0,0,0,1
GPU memory usage/leak varies between experiments/trials with Apex (use_amp=True) ,1,0,0,0,0,2.399510145187378,4490,96.6171875,0.3587166,1,1,0,0,0
enable Windows CI,0,0,1,0,0,2.221376895904541,4490,96.640625,0.1824797,0,1,0,0,0
Pickle error from Trainer.fit when using MLFlowLogger and distributed data parallel without SLURM,1,0,0,0,0,2.2107505798339844,4490,97.13671875,0.1703951,1,1,0,0,0
Call or Forward?,0,0,0,1,0,2.22589373588562,4490,96.45703125,0.1948458,0,1,0,0,0
simple text classification example with ptl,0,0,0,1,0,2.237333059310913,4490,96.37109375,0.1968798,0,1,0,0,0
"Pytorch lightning spawns processes after each epoch of training, causing training script to crash unexpectedly",1,0,0,0,0,2.25645112991333,4490,96.81640625,0.2305243,1,0,0,1,0
`ModelCheckpoint` with `save_best_only=True` shouldn't delete previous directory,1,0,0,0,0,2.257551431655884,4490,96.8203125,0.2060496,1,0,0,0,0
on_train_end callback is not called if training is stopped early,1,0,0,0,0,2.247939109802246,4490,97.375,0.2027513,1,0,0,0,0
Difference between results during training and testing,1,0,0,0,0,2.1113317012786865,4490,97.37890625,0.1023598,0,1,0,0,0
Where is EarlyStopping searching for metrics?,0,0,0,1,0,2.249877452850342,4490,97.41796875,0.2162462,0,1,0,0,0
update paths/links according new org,1,0,0,0,0,2.3967854976654053,4490,97.44140625,0.3513657,0,1,0,0,0
Extract wight and model for external use,0,0,0,1,0,2.1330761909484863,4490,97.5234375,0.1015899,0,1,0,0,0
Installing pytorch-lightning on Jetson Nano(ARM),0,0,0,1,0,2.2496578693389893,4490,97.5234375,0.2101821,0,1,0,0,0
batch may not have the copy method,1,0,0,0,0,2.390592575073242,4490,97.53515625,0.3504608,0,1,0,0,0
TensorBoardLogger and ModelCheckpoint are not using the same folder by default,1,0,0,0,0,2.202272415161133,4490,96.55078125,0.1621177,1,1,0,0,0
imagenet_example cannot run,1,0,0,0,0,2.2752764225006104,4490,97.03515625,0.2474569,1,0,0,0,0
log_gpu_memory='all'` options raise Error,1,0,0,0,0,2.14385724067688,4490,97.04296875,0.1007006,0,1,0,0,0
`overfit_pct` vs `train_percent_check` etc,0,1,1,0,0,2.261431932449341,4490,97.546875,0.2230586,0,1,0,0,0
[Pyright] Cannot instantiate abstract class,1,0,0,0,1,2.3295953273773193,4490,96.80859375,0.2837348,1,0,0,0,0
