text,true_label,predicted_label,peak_memory_usage,max_vram_usage,inference_time,num_input_tokens,num_output_tokens
a metaphor for a modern-day urban china searching for its identity .,positive,positive,1473.9609375,2364.27978515625,1.3092540999641642,141,1
"for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .",positive,positive,1473.9609375,2365.92529296875,1.2626608000136912,151,1
an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .,positive,positive,1473.9609375,2366.91259765625,1.2996462000301108,157,1
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .",positive,negative,1473.96875,2365.26708984375,1.3053770000115037,147,1
"despite its faults , gangs excels in spectacle and pacing .",positive,positive,1473.97265625,2364.11474609375,1.3059046000707895,140,1
entertaining despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .,positive,positive,1473.9765625,2366.08935546875,1.2726102999877185,152,1
"a tightly directed , highly professional film that's old-fashioned in all the best possible ways .",positive,positive,1473.98046875,2365.10205078125,1.2579874000512064,146,1
it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .,positive,positive,1473.984375,2366.25439453125,1.2638789999764413,153,1
in visual fertility treasure planet rivals the top japanese animations of recent vintage .,positive,positive,1473.9921875,2364.44384765625,1.3005134999984875,142,1
"enormously enjoyable , high-adrenaline documentary .",positive,positive,1473.9921875,2363.62158203125,1.285712799988687,137,1
"buy is an accomplished actress , and this is a big , juicy role .",positive,positive,1473.9921875,2364.60888671875,1.2717177000595257,143,1
it works its magic with such exuberance and passion that the film's length becomes a part of its fun .,positive,positive,1473.99609375,2365.92529296875,1.2645872000139207,151,1
"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people .",positive,positive,1474.0078125,2366.58349609375,1.2666731000645086,155,1
an old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .,positive,positive,1474.015625,2364.77294921875,1.264204500010237,144,1
charlotte sometimes is a gem . it's always enthralling .,positive,positive,1474.015625,2364.44384765625,1.3040887999814004,142,1
"in my opinion , analyze that is not as funny or entertaining as analyze this , but it is a respectable sequel .",positive,positive,1474.015625,2365.92529296875,1.262862200033851,151,1
a remarkable film by bernard rose .,positive,positive,1474.01953125,2363.45654296875,1.3023442999692634,136,1
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",positive,positive,1474.03515625,2368.88720703125,1.2556071999715641,169,1
"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",positive,positive,1474.03515625,2366.91259765625,1.2661585999885574,157,1
an original and highly cerebral examination of the psychopathic mind,positive,positive,1474.03515625,2363.95068359375,1.3006051999982446,139,1
michel piccoli's moving performance is this films reason for being .,positive,positive,1474.03515625,2364.44384765625,1.2963652999605983,142,1
a captivating and intimate study about dying and loving . . .,positive,positive,1474.04296875,2364.11474609375,1.3012856000568718,140,1
this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .,positive,positive,1474.04296875,2367.07666015625,1.280985299963504,158,1
[grant] goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .,positive,positive,1474.05078125,2367.57080078125,1.260478699929081,161,1
a high-spirited buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime .,positive,negative,1474.05078125,2365.92529296875,1.2597055999794975,151,1
about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste .,positive,positive,1474.05078125,2367.57080078125,1.2666860999306664,161,1
"an involving , inspirational drama that sometimes falls prey to its sob-story trappings .",positive,negative,1474.05078125,2364.77294921875,1.262468299944885,144,1
some of the most inventive silliness you are likely to witness in a movie theatre for some time .,positive,positive,1474.05078125,2365.43115234375,1.262542099924758,148,1
canadian filmmaker gary burns' inventive and mordantly humorous take on the soullessness of work in the city .,positive,positive,1474.0625,2365.92529296875,1.2640110000502318,151,1
"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",positive,positive,1474.08984375,2369.21630859375,1.245705800014548,171,1
"everyone's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .",positive,positive,1474.09765625,2366.08935546875,1.2664971000049263,152,1
the closest thing to the experience of space travel,positive,positive,1474.08203125,2363.62158203125,1.2937648999504745,137,1
full of surprises .,positive,positive,1474.11328125,2362.79833984375,1.2932738999370486,132,1
connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,positive,positive,1474.11328125,2366.58349609375,1.2623988999985158,155,1
"if you can push on through the slow spots , you'll be rewarded with some fine acting .",positive,positive,1474.11328125,2365.26708984375,1.2677609999664128,147,1
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",positive,negative,1474.11328125,2365.10205078125,1.2761786000337452,146,1
"symbolically , warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .",positive,positive,1474.11328125,2366.41845703125,1.2723033999791369,154,1
spy kids 2 also happens to be that rarity among sequels : it actually improves upon the original hit movie .,positive,positive,1474.1171875,2365.92529296875,1.2627872999291867,151,1
exceptionally well acted by diane lane and richard gere .,positive,positive,1474.1171875,2364.11474609375,1.292188199935481,140,1
"like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .",positive,positive,1474.1171875,2366.08935546875,1.264176799915731,152,1
"in addition to scoring high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded .",positive,positive,1474.125,2370.03857421875,1.2679885000688955,176,1
miller has crafted an intriguing story of maternal instincts and misguided acts of affection .,positive,positive,1474.125,2364.77294921875,1.2673322999617085,144,1
one of the most exciting action films to come out of china in recent years .,positive,positive,1474.125,2364.77294921875,1.2772503000451252,144,1
"this is a nervy , risky film , and villeneuve has inspired croze to give herself over completely to the tormented persona of bibi .",positive,negative,1474.125,2367.24169921875,1.2591525999596342,159,1
"my little eye is the best little "" horror "" movie i've seen in years .",positive,positive,1474.12890625,2364.93798828125,1.2611493000295013,145,1
"tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",positive,positive,1474.12890625,2365.76025390625,1.2594089000485837,150,1
"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm .",positive,positive,1474.1328125,2365.59619140625,1.259446799987927,149,1
"[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .",positive,positive,1474.140625,2369.21630859375,1.2577906000660732,171,1
"sometimes we feel as if the film careens from one colorful event to another without respite , but sometimes it must have seemed to frida kahlo as if her life did , too .",positive,negative,1474.140625,2368.39306640625,1.255313399946317,166,1
the strength of the film lies in its two central performances by sven wollter as the stricken composer and viveka seldahl as his desperate violinist wife .,positive,positive,1474.1484375,2367.73486328125,1.259933999972418,162,1
"like the series , the movie is funny , smart , visually inventive , and most of all , alive .",positive,positive,1474.15234375,2365.59619140625,1.285857200040482,149,1
"it was filled with shootings , beatings , and more cussing than you could shake a stick at .",positive,negative,1474.15234375,2365.76025390625,1.2718644000124186,150,1
you don't know whether to admire the film's stately nature and call it classicism or be exasperated by a noticeable lack of pace . or both .,positive,positive,1474.203125,2367.57080078125,1.2682610999327153,161,1
"sure , i hated myself in the morning . but then again , i hate myself most mornings . i still like moonlight mile , better judgment be damned .",positive,negative,1474.21484375,2367.24169921875,1.2635294999927282,159,1
"time out is as serious as a pink slip . and more than that , it's an observant , unfussily poetic meditation about identity and alienation .",positive,positive,1474.234375,2367.40576171875,1.2703890999546275,160,1
"will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year .",positive,positive,1474.234375,2365.76025390625,1.2766429000766948,150,1
"maryam is a small film , but it offers large rewards .",positive,positive,1474.23828125,2364.27978515625,1.2939968999708071,141,1
"a highly watchable , giggly little story with a sweet edge to it .",positive,positive,1474.24609375,2364.77294921875,1.266630299971439,144,1
the most consistently funny of the austin powers films .,positive,positive,1474.25,2363.95068359375,1.3019248000346124,139,1
"ana's journey is not a stereotypical one of self-discovery , as she's already comfortable enough in her own skin to be proud of her rubenesque physique . . .",positive,positive,1474.2578125,2368.06396484375,1.2678117000032216,164,1
"cockettes has the glorious , gaudy benefit of much stock footage of those days , featuring all manner of drag queen , bearded lady and lactating hippie .",positive,positive,1474.2578125,2367.89990234375,1.2769531999947503,163,1
there's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .,positive,positive,1474.26171875,2367.07666015625,1.259222799912095,158,1
the comedy makes social commentary more palatable .,positive,positive,1474.26171875,2363.62158203125,1.293993000057526,137,1
an ideal love story for those intolerant of the more common saccharine genre .,positive,positive,1474.26953125,2364.93798828125,1.275847899960354,145,1
one funny popcorn flick .,positive,positive,1474.26953125,2362.96337890625,1.2928069999907166,133,1
"this new zealand coming-of-age movie isn't really about anything . when it's this rich and luscious , who cares ?",positive,negative,1474.26953125,2366.58349609375,1.268559699994512,155,1
"tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham .",positive,positive,1474.26953125,2368.55810546875,1.247509399894625,167,1
this gorgeous epic is guaranteed to lift the spirits of the whole family .,positive,positive,1474.26953125,2364.44384765625,1.2964335998985916,142,1
the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,positive,positive,1474.2734375,2366.58349609375,1.2673613999504596,155,1
"williams creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity .",positive,positive,1474.28125,2365.76025390625,1.2591736000031233,150,1
"if you're in the right b-movie frame of mind , it may just scare the pants off you .",positive,positive,1474.28125,2365.76025390625,1.2612536000087857,150,1
a movie of riveting power and sadness .,positive,positive,1474.28515625,2363.62158203125,1.3091814999934286,137,1
both a detective story and a romance spiced with the intrigue of academic skullduggery and politics .,positive,positive,1474.2890625,2365.76025390625,1.2743445999221876,150,1
quietly engaging .,positive,positive,1474.30078125,2362.63427734375,1.2950117000145838,131,1
"ludicrous , but director carl franklin adds enough flourishes and freak-outs to make it entertaining .",positive,positive,1474.30078125,2365.43115234375,1.2599756000563502,148,1
"director roger kumble offers just enough sweet and traditional romantic comedy to counter the crudity . and there's the inimitable diaz , holding it all together .",positive,positive,1474.31640625,2367.73486328125,1.267519999993965,162,1
"spielberg's picture is smarter and subtler than [total recall and blade runner] , although its plot may prove too convoluted for fun-seeking summer audiences .",positive,positive,1474.3203125,2367.57080078125,1.2757069000508636,161,1
"it's got all the familiar bruckheimer elements , and schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas .",positive,positive,1474.32421875,2368.72216796875,1.2500211999285966,168,1
"a grittily beautiful film that looks , sounds , and feels more like an extended , open-ended poem than a traditionally structured story .",positive,positive,1474.32421875,2366.58349609375,1.2640718000475317,155,1
"dense , exhilarating documentary .",positive,positive,1474.32421875,2363.12744140625,1.2956641999771819,134,1
the production values are of the highest and the performances attractive without being memorable .,positive,positive,1474.33203125,2364.60888671875,1.260715899989009,143,1
a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .,positive,positive,1474.33203125,2365.43115234375,1.2726602999027818,148,1
"finely crafted , finely written , exquisitely performed",positive,positive,1474.33203125,2363.95068359375,1.2925366000272334,139,1
ramsay and morton fill this character study with poetic force and buoyant feeling .,positive,positive,1474.33203125,2365.10205078125,1.2711762000108138,146,1
this submarine drama earns the right to be favorably compared to das boot .,positive,positive,1474.33203125,2364.60888671875,1.2657897999743,143,1
"claude chabrol's camera has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .",positive,positive,1474.33203125,2367.57080078125,1.2585482000140473,161,1
"there's a great deal of corny dialogue and preposterous moments . and yet , it still works .",positive,positive,1474.33203125,2365.76025390625,1.2642402000492439,150,1
the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson . . .,positive,positive,1474.33203125,2366.08935546875,1.2621476000640541,152,1
"like many western action films , this thriller is too loud and thoroughly overbearing , but its heartfelt concern about north korea's recent past and south korea's future adds a much needed moral weight .",positive,positive,1474.33203125,2368.72216796875,1.2494346000021324,168,1
"special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen .",positive,positive,1474.3359375,2367.24169921875,1.2625913999509066,159,1
a joyous occasion,positive,positive,1474.3359375,2362.79833984375,1.3007397999754176,132,1
"mike white's deft combination of serious subject matter and dark , funny humor make "" "" the good girl "" a film worth watching .",positive,positive,1474.3359375,2366.58349609375,1.2585855999495834,155,1
this is a shrewd and effective film from a director who understands how to create and sustain a mood .,positive,positive,1474.3515625,2365.76025390625,1.2627517000073567,150,1
meant to reduce blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero dystopia .,positive,negative,1474.3515625,2367.07666015625,1.2739754999056458,158,1
"assayas' ambitious , sometimes beautiful adaptation of jacques chardonne's novel .",positive,positive,1474.3515625,2364.93798828125,1.2585868999594823,145,1
"as ex-marine walter , who may or may not have shot kennedy , actor raymond j . barry is perfectly creepy and believable .",positive,positive,1474.359375,2367.07666015625,1.264843999990262,158,1
those who don't entirely 'get' godard's distinctive discourse will still come away with a sense of his reserved but existential poignancy .,positive,positive,1474.359375,2366.91259765625,1.2676943000406027,157,1
"pete's screenplay manages to find that real natural , even-flowing tone that few movies are able to accomplish .",positive,positive,1474.36328125,2365.92529296875,1.2734899999340996,151,1
"like brosnan's performance , evelyn comes from the heart .",positive,positive,1474.36328125,2364.60888671875,1.2844690000638366,143,1
"it uses some of the figures from the real-life story to portray themselves in the film . the result is a powerful , naturally dramatic piece of low-budget filmmaking .",positive,positive,1474.3671875,2367.57080078125,1.2651754999533296,161,1
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,positive,positive,1474.3671875,2365.10205078125,1.2738471999764442,146,1
"the early and middle passages are surprising in how much they engage and even touch us . this is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one . it's sort of in-between , and it works .",positive,positive,1474.3828125,2370.20361328125,1.256643799948506,177,1
"this quiet , introspective and entertaining independent is worth seeking .",positive,positive,1474.390625,2364.11474609375,1.3057196999434382,140,1
"whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama isn't much of a mystery , unfortunately .",positive,negative,1474.39453125,2366.58349609375,1.267239800072275,155,1
"whether or not ram dass proves as clear and reliable an authority on that as he was about inner consciousness , fierce grace reassures us that he will once again be an honest and loving one .",positive,positive,1474.39453125,2368.39306640625,1.2508871000027284,166,1
"sly , sophisticated and surprising .",positive,positive,1474.39453125,2363.12744140625,1.3001508999150246,134,1
spare but quietly effective retelling .,positive,positive,1474.39453125,2363.29248046875,1.30755849997513,135,1
demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,positive,positive,1474.39453125,2364.77294921875,1.2622847999446094,144,1
"by its modest , straight-ahead standards , undisputed scores a direct hit .",positive,positive,1474.39453125,2364.60888671875,1.2656771999318153,143,1
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .",positive,positive,1474.39453125,2368.88720703125,1.2538330999668688,169,1
"for those who like quirky , slightly strange french films , this is a must !",positive,positive,1474.3984375,2364.77294921875,1.2636498000938445,144,1
"there are so few films about the plight of american indians in modern america that skins comes as a welcome , if downbeat , missive from a forgotten front .",positive,positive,1474.40234375,2367.57080078125,1.2716531999176368,161,1
"[shyamalan] continues to cut a swathe through mainstream hollywood , while retaining an integrity and refusing to compromise his vision .",positive,positive,1474.40234375,2366.74755859375,1.2662165000801906,156,1
a whale of a good time for both children and parents seeking christian-themed fun .,positive,positive,1474.40234375,2364.77294921875,1.2675382000161335,144,1
what begins as a film in the tradition of the graduate quickly switches into something more recyclable than significant .,positive,negative,1474.40625,2365.59619140625,1.2584241000004113,149,1
much smarter and more attentive than it first sets out to be .,positive,positive,1474.40625,2364.27978515625,1.3244677999755368,141,1
the story is smart and entirely charming in intent and execution .,positive,positive,1474.40625,2364.11474609375,1.3132818000158295,140,1
a movie of technical skill and rare depth of intellect and feeling .,positive,positive,1474.41015625,2364.27978515625,1.3020038000540808,141,1
represents a worthy departure from the culture clash comedies that have marked an emerging indian american cinema .,positive,positive,1474.41015625,2365.26708984375,1.2762413000455126,147,1
"doesn't do more than expand a tv show to movie length . however , it's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",positive,positive,1474.4375,2367.40576171875,1.2953986000502482,160,1
"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need .",positive,positive,1474.4453125,2366.41845703125,1.2689712999854237,154,1
"a pointed , often tender , examination of the pros and cons of unconditional love and familial duties .",positive,positive,1474.45703125,2365.26708984375,1.2645424000220373,147,1
"as well-acted and well-intentioned as all or nothing is , however , the film comes perilously close to being too bleak , too pessimistic and too unflinching for its own good .",positive,negative,1474.46875,2369.05126953125,1.2560896000359207,170,1
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,positive,positive,1474.46875,2365.76025390625,1.272428199998103,150,1
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline .,positive,positive,1474.4765625,2367.57080078125,1.267805999959819,161,1
"elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .",positive,positive,1474.48046875,2366.58349609375,1.2667103999992833,155,1
enriched by a strong and unforced supporting cast .,positive,positive,1474.48046875,2363.78564453125,1.2990681999363005,138,1
writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is undeniable .,positive,positive,1474.48046875,2366.25439453125,1.2662637999746948,153,1
"if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii .",positive,positive,1474.48046875,2366.74755859375,1.254931699950248,156,1
"not a strike against yang's similarly themed yi yi , but i found what time ? to be more engaging on an emotional level , funnier , and on the whole less detached .",positive,positive,1474.48046875,2368.06396484375,1.2641942999325693,164,1
"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images .",positive,positive,1474.48046875,2365.92529296875,1.2723419999238104,151,1
