text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
"in addition to scoring high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded .",positive,"positive
",1.041811466217041,2.0,122.0,124.0,positive
miller has crafted an intriguing story of maternal instincts and misguided acts of affection .,positive,"positive
",1.0960414409637451,2.0,90.0,92.0,positive
one of the most exciting action films to come out of china in recent years .,positive,"positive
",1.181666374206543,2.0,91.0,93.0,positive
"this is a nervy , risky film , and villeneuve has inspired croze to give herself over completely to the tormented persona of bibi .",positive,"positive
",1.0541105270385742,2.0,104.0,106.0,positive
"my little eye is the best little "" horror "" movie i've seen in years .",positive,"positive
",1.0009851455688477,2.0,93.0,95.0,positive
"tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",positive,"positive
",0.9974491596221924,2.0,94.0,96.0,positive
"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm .",positive,"positive
",1.0384578704833984,2.0,95.0,97.0,positive
"[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .",positive,"positive
",1.0425353050231934,2.0,118.0,120.0,positive
"sometimes we feel as if the film careens from one colorful event to another without respite , but sometimes it must have seemed to frida kahlo as if her life did , too .",positive,"positive
",1.0841059684753418,2.0,112.0,114.0,positive
the strength of the film lies in its two central performances by sven wollter as the stricken composer and viveka seldahl as his desperate violinist wife .,positive,"positive
",1.1236774921417236,2.0,105.0,107.0,positive
"like the series , the movie is funny , smart , visually inventive , and most of all , alive .",positive,"positive
",1.0209646224975586,2.0,96.0,98.0,positive
"it was filled with shootings , beatings , and more cussing than you could shake a stick at .",positive,"negative
",1.054042100906372,2.0,97.0,99.0,negative
you don't know whether to admire the film's stately nature and call it classicism or be exasperated by a noticeable lack of pace . or both .,positive,"negative
",0.6172833442687988,2.0,107.0,109.0,negative
"sure , i hated myself in the morning . but then again , i hate myself most mornings . i still like moonlight mile , better judgment be damned .",positive,"positive
",1.085698127746582,2.0,105.0,107.0,positive
"time out is as serious as a pink slip . and more than that , it's an observant , unfussily poetic meditation about identity and alienation .",positive,"positive
",1.0612738132476807,2.0,106.0,108.0,positive
"will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year .",positive,"positive
",0.6315748691558838,2.0,94.0,96.0,positive
"maryam is a small film , but it offers large rewards .",positive,"positive
",0.6253201961517334,2.0,88.0,90.0,positive
"a highly watchable , giggly little story with a sweet edge to it .",positive,"positive
",0.9981250762939453,2.0,91.0,93.0,positive
the most consistently funny of the austin powers films .,positive,"positive
",1.0910277366638184,2.0,85.0,87.0,positive
"ana's journey is not a stereotypical one of self-discovery , as she's already comfortable enough in her own skin to be proud of her rubenesque physique . . .",positive,"positive
",1.0226044654846191,2.0,112.0,114.0,positive
"cockettes has the glorious , gaudy benefit of much stock footage of those days , featuring all manner of drag queen , bearded lady and lactating hippie .",positive,"positive
",0.45439743995666504,2.0,107.0,109.0,positive
there's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .,positive,"positive
",1.0191199779510498,2.0,108.0,110.0,positive
the comedy makes social commentary more palatable .,positive,"positive
",1.0184378623962402,2.0,83.0,85.0,positive
an ideal love story for those intolerant of the more common saccharine genre .,positive,"positive
",1.0219449996948242,2.0,90.0,92.0,positive
one funny popcorn flick .,positive,"positive
",1.0269246101379395,2.0,80.0,82.0,positive
"this new zealand coming-of-age movie isn't really about anything . when it's this rich and luscious , who cares ?",positive,"positive
",1.0185563564300537,2.0,103.0,105.0,positive
"tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham .",positive,"positive
",1.0261540412902832,2.0,116.0,118.0,positive
this gorgeous epic is guaranteed to lift the spirits of the whole family .,positive,"positive
",1.060154914855957,2.0,89.0,91.0,positive
the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,positive,"positive
",1.0327610969543457,2.0,100.0,102.0,positive
"williams creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity .",positive,"positive
",0.5286946296691895,2.0,97.0,99.0,positive
"if you're in the right b-movie frame of mind , it may just scare the pants off you .",positive,"positive
",1.0569641590118408,2.0,98.0,100.0,positive
a movie of riveting power and sadness .,positive,"positive
",1.0514039993286133,2.0,83.0,85.0,positive
both a detective story and a romance spiced with the intrigue of academic skullduggery and politics .,positive,"positive
",1.0720798969268799,2.0,95.0,97.0,positive
quietly engaging .,positive,"positive
",1.048865795135498,2.0,78.0,80.0,positive
"ludicrous , but director carl franklin adds enough flourishes and freak-outs to make it entertaining .",positive,"positive
",1.0491502285003662,2.0,95.0,97.0,positive
"director roger kumble offers just enough sweet and traditional romantic comedy to counter the crudity . and there's the inimitable diaz , holding it all together .",positive,"positive
",0.98451828956604,2.0,108.0,110.0,positive
"spielberg's picture is smarter and subtler than [total recall and blade runner] , although its plot may prove too convoluted for fun-seeking summer audiences .",positive,"positive
",1.0099458694458008,2.0,108.0,110.0,positive
"it's got all the familiar bruckheimer elements , and schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas .",positive,"positive
",1.063960075378418,2.0,114.0,116.0,positive
"a grittily beautiful film that looks , sounds , and feels more like an extended , open-ended poem than a traditionally structured story .",positive,"positive
",1.0175793170928955,2.0,102.0,104.0,positive
"dense , exhilarating documentary .",positive,"positive
",1.0215437412261963,2.0,80.0,82.0,positive
the production values are of the highest and the performances attractive without being memorable .,positive,"negative
",0.5551743507385254,2.0,90.0,92.0,negative
a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .,positive,"positive
",1.0567831993103027,2.0,96.0,98.0,positive
"finely crafted , finely written , exquisitely performed",positive,"positive
",1.0681638717651367,2.0,83.0,85.0,positive
ramsay and morton fill this character study with poetic force and buoyant feeling .,positive,"positive
",1.0427310466766357,2.0,91.0,93.0,positive
this submarine drama earns the right to be favorably compared to das boot .,positive,"positive
",1.0502665042877197,2.0,89.0,91.0,positive
"claude chabrol's camera has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .",positive,"positive
",1.0003180503845215,2.0,107.0,109.0,positive
"there's a great deal of corny dialogue and preposterous moments . and yet , it still works .",positive,"positive
",1.0155997276306152,2.0,97.0,99.0,positive
the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson . . .,positive,"positive
",1.0899338722229004,2.0,97.0,99.0,positive
"like many western action films , this thriller is too loud and thoroughly overbearing , but its heartfelt concern about north korea's recent past and south korea's future adds a much needed moral weight .",positive,"positive
",1.0825135707855225,2.0,115.0,117.0,positive
"special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen .",positive,"positive
",1.0366847515106201,2.0,105.0,107.0,positive
a joyous occasion,positive,"positive
",1.0847387313842773,2.0,78.0,80.0,positive
"mike white's deft combination of serious subject matter and dark , funny humor make "" "" the good girl "" a film worth watching .",positive,"positive
",1.0303523540496826,2.0,102.0,104.0,positive
this is a shrewd and effective film from a director who understands how to create and sustain a mood .,positive,"positive
",1.0549952983856201,2.0,95.0,97.0,positive
meant to reduce blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero dystopia .,positive,"negative
",1.046100378036499,2.0,106.0,108.0,negative
"assayas' ambitious , sometimes beautiful adaptation of jacques chardonne's novel .",positive,"positive
",1.0559806823730469,2.0,92.0,94.0,positive
"as ex-marine walter , who may or may not have shot kennedy , actor raymond j . barry is perfectly creepy and believable .",positive,"positive
",1.144566297531128,2.0,104.0,106.0,positive
those who don't entirely 'get' godard's distinctive discourse will still come away with a sense of his reserved but existential poignancy .,positive,"positive
",1.0364394187927246,2.0,105.0,107.0,positive
"pete's screenplay manages to find that real natural , even-flowing tone that few movies are able to accomplish .",positive,"positive
",1.0060539245605469,2.0,98.0,100.0,positive
"like brosnan's performance , evelyn comes from the heart .",positive,"positive
",1.0332732200622559,2.0,89.0,91.0,positive
"it uses some of the figures from the real-life story to portray themselves in the film . the result is a powerful , naturally dramatic piece of low-budget filmmaking .",positive,"positive
",1.0501141548156738,2.0,109.0,111.0,positive
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,positive,"positive
",1.105893611907959,2.0,92.0,94.0,positive
"the early and middle passages are surprising in how much they engage and even touch us . this is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one . it's sort of in-between , and it works .",positive,"positive
",1.051771640777588,2.0,126.0,128.0,positive
"this quiet , introspective and entertaining independent is worth seeking .",positive,"positive
",1.0963134765625,2.0,87.0,89.0,positive
"whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama isn't much of a mystery , unfortunately .",positive,"negative
",1.035839557647705,2.0,103.0,105.0,negative
"whether or not ram dass proves as clear and reliable an authority on that as he was about inner consciousness , fierce grace reassures us that he will once again be an honest and loving one .",positive,"positive
",1.023993730545044,2.0,113.0,115.0,positive
"sly , sophisticated and surprising .",positive,"positive
",1.0335414409637451,2.0,81.0,83.0,positive
spare but quietly effective retelling .,positive,"positive
",1.0336377620697021,2.0,82.0,84.0,positive
demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,positive,"positive
",0.4892261028289795,2.0,91.0,93.0,positive
"by its modest , straight-ahead standards , undisputed scores a direct hit .",positive,"positive
",0.5545675754547119,2.0,90.0,92.0,positive
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .",positive,"positive
",1.0318372249603271,2.0,117.0,119.0,positive
"for those who like quirky , slightly strange french films , this is a must !",positive,"positive
",0.9922809600830078,2.0,91.0,93.0,positive
"there are so few films about the plight of american indians in modern america that skins comes as a welcome , if downbeat , missive from a forgotten front .",positive,"positive
",1.0228767395019531,2.0,108.0,110.0,positive
"[shyamalan] continues to cut a swathe through mainstream hollywood , while retaining an integrity and refusing to compromise his vision .",positive,"positive
",1.0783250331878662,2.0,101.0,103.0,positive
a whale of a good time for both children and parents seeking christian-themed fun .,positive,"positive
",1.0765800476074219,2.0,92.0,94.0,positive
what begins as a film in the tradition of the graduate quickly switches into something more recyclable than significant .,positive,"negative
",1.0578770637512207,2.0,95.0,97.0,negative
much smarter and more attentive than it first sets out to be .,positive,"positive
",1.0182108879089355,2.0,88.0,90.0,positive
the story is smart and entirely charming in intent and execution .,positive,"positive
",1.0591936111450195,2.0,87.0,89.0,positive
a movie of technical skill and rare depth of intellect and feeling .,positive,"positive
",0.5827124118804932,2.0,88.0,90.0,positive
represents a worthy departure from the culture clash comedies that have marked an emerging indian american cinema .,positive,"positive
",1.1830768585205078,2.0,93.0,95.0,positive
"doesn't do more than expand a tv show to movie length . however , it's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",positive,"positive
",1.0731627941131592,2.0,108.0,110.0,positive
"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need .",positive,"positive
",1.0832605361938477,2.0,102.0,104.0,positive
"a pointed , often tender , examination of the pros and cons of unconditional love and familial duties .",positive,"positive
",1.119567632675171,2.0,94.0,96.0,positive
"as well-acted and well-intentioned as all or nothing is , however , the film comes perilously close to being too bleak , too pessimistic and too unflinching for its own good .",positive,"negative
",1.099299669265747,2.0,115.0,117.0,negative
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,positive,"positive
",1.082953691482544,2.0,97.0,99.0,positive
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline .,positive,"positive
",0.5776262283325195,2.0,110.0,112.0,positive
"elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .",positive,"positive
",1.024918556213379,2.0,100.0,102.0,positive
enriched by a strong and unforced supporting cast .,positive,"positive
",1.0941603183746338,2.0,85.0,87.0,positive
writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is undeniable .,positive,"positive
",0.7000186443328857,2.0,101.0,103.0,positive
"if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii .",positive,"positive
",0.8055739402770996,2.0,103.0,105.0,positive
"not a strike against yang's similarly themed yi yi , but i found what time ? to be more engaging on an emotional level , funnier , and on the whole less detached .",positive,"positive
",1.0337498188018799,2.0,111.0,113.0,positive
"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images .",positive,"positive
",1.0395665168762207,2.0,98.0,100.0,positive
a charming and funny story of clashing cultures and a clashing mother/daughter relationship .,positive,"positive
",1.0726664066314697,2.0,93.0,95.0,positive
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",positive,"positive
",1.1515135765075684,2.0,107.0,109.0,positive
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . """,positive,"negative
",0.6206581592559814,2.0,115.0,117.0,negative
"[washington's] strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene .",positive,"positive
",1.089367151260376,2.0,98.0,100.0,positive
"shiner can certainly go the distance , but isn't world championship material",positive,"negative
",0.553333044052124,2.0,90.0,92.0,negative
