text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
Optimal Low-Rank Dynamic Mode Decomposition,0,0,0,0,1,"statistics machine learning, computational machine learning, optimization and control
",1.490004539489746,12.0,101.0,113.0,"['stat.ML', 'math.OC', 'cs.LG']"
Efficient Localized Inference for Large Graphical Models,0,0,1,0,1,"statistics machine learning, artificial intelligence, computational machine learning
",1.4196217060089111,11.0,101.0,112.0,"['cs.AI', 'stat.ML', 'cs.LG']"
How to model marine reserves ?,0,0,0,1,0,"optimization and control
",1.3399417400360107,4.0,100.0,104.0,['math.OC']
Graph Regularized Low Rank Representation for Aerosol Optical Depth Retrieval,0,0,1,0,0,"statistics machine learning, computational machine learning
",1.1795477867126465,8.0,105.0,113.0,"['stat.ML', 'cs.LG']"
Operational planning and bidding for district heating systems with uncertain renewable energy production,0,0,0,1,0,"optimization and control
",0.5429542064666748,4.0,107.0,111.0,['math.OC']
Optimal Bounds for Integrals with Respect to Copulas and Applications,0,0,0,1,0,"optimization and control
",1.3560154438018799,4.0,105.0,109.0,['math.OC']
EAdam Optimizer: How $\epsilon$ Impact Adam,0,0,1,0,1,"optimization and control, computational machine learning
",1.0047757625579834,8.0,104.0,112.0,"['math.OC', 'cs.LG']"
An Analysis of Dual-Issue Final-Offer Arbitration,0,0,0,1,0,"optimization and control
",1.1112139225006104,4.0,104.0,108.0,['math.OC']
Neural Oblivious Decision Ensembles for Deep Learning on Tabular Data,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.1174097061157227,8.0,108.0,116.0,"['stat.ML', 'cs.LG']"
Learning Goal Embeddings via Self-Play for Hierarchical Reinforcement Learning,0,0,1,0,1,"artificial intelligence, computational machine learning, statistics machine learning
",1.2419025897979736,11.0,106.0,117.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Resonance in Weight Space: Covariate Shift Can Drive Divergence of SGD with Momentum,0,0,1,0,1,"statistics machine learning, computational machine learning
",6.908531188964844,8.0,110.0,118.0,"['stat.ML', 'cs.LG']"
Deep Minimax Probability Machine,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.3701114654541016,8.0,99.0,107.0,"['stat.ML', 'cs.LG']"
Is Sluice Resolution really just Question Answering?,1,1,0,0,0,"computation and language
",1.370224952697754,4.0,103.0,107.0,['cs.CL']
Relation Extraction from Biomedical and Clinical Text: Unified Multitask Learning Framework,0,1,0,0,0,"computation and language, artificial intelligence, statistics machine learning
",2.1394591331481934,11.0,107.0,118.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Robust PCA in High-dimension: A Deterministic Approach,0,0,1,0,1,"statistics machine learning, optimization and control
",1.5048635005950928,8.0,105.0,113.0,"['stat.ML', 'math.OC']"
In-context Learning as Maintaining Coherency: A Study of On-the-fly Machine Translation Using Large Language Models,1,1,0,0,0,"computation and language, artificial intelligence, statistics machine learning
",1.279393196105957,11.0,117.0,128.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Reasoning over Multi-view Knowledge Graphs,1,0,1,0,0,"artificial intelligence, computation and language
",1.1394283771514893,7.0,101.0,108.0,"['cs.AI', 'cs.CL']"
Doing Good or Doing Right? Exploring the Weakness of Commonsense Causal Reasoning Models,0,1,0,0,0,"artificial intelligence, computation and language
",1.3045198917388916,7.0,109.0,116.0,"['cs.AI', 'cs.CL']"
"Weak, Strong and Linear Convergence of a Double-Layer Fixed Point Algorithm",0,0,0,1,0,"optimization and control, computational machine learning
",1.5114061832427979,8.0,108.0,116.0,"['math.OC', 'cs.LG']"
Dynamic Fusion: Attentional Language Model for Neural Machine Translation,0,1,0,0,0,"computation and language, artificial intelligence, statistics machine learning
",1.184159517288208,11.0,105.0,116.0,"['cs.AI', 'cs.CL', 'stat.ML']"
UMIX: Improving Importance Weighting for Subpopulation Shift via Uncertainty-Aware Mixup,0,0,1,0,0,"statistics machine learning, computational machine learning
",1.6239638328552246,8.0,111.0,119.0,"['stat.ML', 'cs.LG']"
Comparing PCG metrics with Human Evaluation in Minecraft Settlement Generation,1,0,0,0,0,"artificial intelligence, computational machine learning
",1.7233631610870361,7.0,105.0,112.0,"['cs.AI', 'cs.LG']"
Subdifferentials of Nonconvex Integral Functionals in Banach Spaces with Applications to Stochastic Dynamic Programming,0,0,0,1,0,"optimization and control
",1.1848201751708984,4.0,112.0,116.0,['math.OC']
Joint Causal Inference from Multiple Contexts,1,0,1,0,1,"statistics machine learning, artificial intelligence
",1.0918667316436768,7.0,101.0,108.0,"['cs.AI', 'stat.ML']"
Erratum: Link prediction in drug-target interactions network using similarity indices,1,0,0,0,0,"artificial intelligence, computational machine learning
",0.6080849170684814,7.0,108.0,115.0,"['cs.AI', 'cs.LG']"
Computationally Efficient Estimators for Dimension Reductions Using Stable Random Projections,0,0,1,0,0,"computational machine learning
",1.1553173065185547,4.0,107.0,111.0,['cs.LG']
Learning to solve arithmetic problems with a virtual abacus,1,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning
",1.4764912128448486,11.0,104.0,115.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Optimizing the Performative Risk under Weak Convexity Assumptions,0,0,1,0,1,"optimization and control, computational machine learning
",1.8528518676757812,8.0,105.0,113.0,"['math.OC', 'cs.LG']"
Local Optima Networks of the Quadratic Assignment Problem,1,0,0,0,0,"optimization and control
",1.2035226821899414,4.0,103.0,107.0,['math.OC']
What Makes for Robust Multi-Modal Models in the Face of Missing Modalities?,1,0,0,0,0,"statistics machine learning, artificial intelligence
",1.118596076965332,7.0,110.0,117.0,"['cs.AI', 'stat.ML']"
ChatGPT Beyond English: Towards a Comprehensive Evaluation of Large Language Models in Multilingual Learning,1,1,0,0,0,"computation and language, artificial intelligence
",1.0770363807678223,7.0,110.0,117.0,"['cs.AI', 'cs.CL']"
Introducing Expertise Logic into Graph Representation Learning from A Causal Perspective,0,0,1,0,0,"artificial intelligence, computational machine learning
",1.190946340560913,7.0,105.0,112.0,"['cs.AI', 'cs.LG']"
Escaping strict saddle points of the Moreau envelope in nonsmooth optimization,0,0,1,1,1,"optimization and control, computational machine learning
",1.113250732421875,8.0,108.0,116.0,"['math.OC', 'cs.LG']"
You are AllSet: A Multiset Function Framework for Hypergraph Neural Networks,1,0,1,0,0,"computational machine learning, artificial intelligence, statistics machine learning
",1.1750009059906006,11.0,109.0,120.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Span-based joint entity and relation extraction augmented with sequence tagging mechanism,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning
",1.2411177158355713,15.0,107.0,122.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
AGNN: Alternating Graph-Regularized Neural Networks to Alleviate Over-Smoothing,1,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning
",1.217226266860962,11.0,112.0,123.0,"['cs.AI', 'stat.ML', 'cs.LG']"
High-dimensional Bayesian Optimization of Personalized Cardiac Model Parameters via an Embedded Generative Model,0,0,1,1,1,"statistics machine learning, optimization and control, computational machine learning
",1.1605498790740967,12.0,110.0,122.0,"['stat.ML', 'math.OC', 'cs.LG']"
Improper Learning for Non-Stochastic Control,0,0,1,1,1,"optimization and control, computational machine learning
",1.3230774402618408,8.0,101.0,109.0,"['math.OC', 'cs.LG']"
A Coefficient Makes SVRG Effective,0,0,1,1,1,"computational machine learning, optimization and control, statistics machine learning
",1.1149284839630127,12.0,101.0,113.0,"['stat.ML', 'math.OC', 'cs.LG']"
Gradient Sampling Methods for Nonsmooth Optimization,0,0,0,1,0,"optimization and control, computational machine learning
",0.6269783973693848,8.0,102.0,110.0,"['math.OC', 'cs.LG']"
A Survey of Safety and Trustworthiness of Large Language Models through the Lens of Verification and Validation,1,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning
",1.1594364643096924,11.0,112.0,123.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Constructing a Knowledge Graph for Vietnamese Legal Cases with Heterogeneous Graphs,0,1,0,0,0,"computation and language, artificial intelligence
",1.3040680885314941,7.0,107.0,114.0,"['cs.AI', 'cs.CL']"
Cross-Lingual Transfer Learning for Statistical Type Inference,1,0,1,0,0,"computation and language, statistics machine learning, artificial intelligence
",1.4198660850524902,11.0,104.0,115.0,"['cs.AI', 'cs.CL', 'stat.ML']"
The GRT Planning System: Backward Heuristic Construction in Forward State-Space Planning,1,0,0,0,0,"artificial intelligence
",1.1786437034606934,3.0,110.0,113.0,['cs.AI']
Periodic switching strategies for an isoperimetric control problem with application to nonlinear chemical reactions,0,0,0,1,0,"optimization and control
",1.1646473407745361,4.0,110.0,114.0,['math.OC']
A Machine-Learning Approach to Estimating the Referential Properties of Japanese Noun Phrases,0,1,0,0,0,"computation and language, statistics machine learning, computational machine learning
",0.7869443893432617,12.0,108.0,120.0,"['cs.CL', 'stat.ML', 'cs.LG']"
Learning to Run challenge: Synthesizing physiologically accurate motion using deep reinforcement learning,1,0,0,0,0,"artificial intelligence, computational machine learning
",6.52111291885376,7.0,109.0,116.0,"['cs.AI', 'cs.LG']"
On the utility of feature selection in building two-tier decision trees,1,0,1,0,0,"statistics machine learning, computational machine learning
",1.1187922954559326,8.0,107.0,115.0,"['stat.ML', 'cs.LG']"
GradSkip: Communication-Accelerated Local Gradient Methods with Better Computational Complexity,0,0,1,1,0,"computational machine learning, optimization and control
",1.169144630432129,8.0,108.0,116.0,"['math.OC', 'cs.LG']"
Consumption and portfolio optimization solvable problems with recursive preferences,0,0,0,1,0,"optimization and control
",1.125744342803955,4.0,103.0,107.0,['math.OC']
HJ inequalities involving Lie brackets and feedback stabilizability with cost regulation,0,0,0,1,0,"optimization and control
",1.2324285507202148,4.0,107.0,111.0,['math.OC']
A Geometric Traversal Algorithm for Reward-Uncertain MDPs,1,0,0,0,0,"optimization and control, computational machine learning
",1.3073675632476807,8.0,107.0,115.0,"['math.OC', 'cs.LG']"
SCAT: Robust Self-supervised Contrastive Learning via Adversarial Training for Text Classification,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning
",0.6293253898620605,15.0,113.0,128.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Comparing Writing Styles using Word Embedding and Dynamic Time Warping,0,1,0,0,0,"computation and language, statistics machine learning
",0.595451831817627,8.0,105.0,113.0,"['cs.CL', 'stat.ML']"
Distilled Pruning: Using Synthetic Data to Win the Lottery,0,0,1,0,0,"statistics machine learning, computational machine learning
",1.1542370319366455,8.0,105.0,113.0,"['stat.ML', 'cs.LG']"
Constrained Gaussian Process Learning for Model Predictive Control,0,0,0,1,0,"optimization and control, computational machine learning, statistics machine learning
",0.625800609588623,12.0,103.0,115.0,"['stat.ML', 'math.OC', 'cs.LG']"
Predicting Outcomes in Long COVID Patients with Spatiotemporal Attention,0,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning
",1.2471909523010254,11.0,105.0,116.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Predicting the Outcome of Judicial Decisions made by the European Court of Human Rights,0,1,1,0,1,"artificial intelligence, computation and language, statistics machine learning
",0.5746467113494873,11.0,108.0,119.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Inpatient2Vec: Medical Representation Learning for Inpatients,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.1646347045898438,8.0,105.0,113.0,"['stat.ML', 'cs.LG']"
Local and Distributed Rendezvous of Underactuated Rigid Bodies,0,0,0,1,0,"optimization and control
",0.722182035446167,4.0,105.0,109.0,['math.OC']
LLQL: Logistic Likelihood Q-Learning for Reinforcement Learning,1,0,1,0,0,"statistics machine learning, computational machine learning
",0.674839973449707,8.0,105.0,113.0,"['stat.ML', 'cs.LG']"
Bootstrapping Conversational Agents With Weak Supervision,1,1,0,0,0,"computation and language, artificial intelligence, statistics machine learning
",0.6102430820465088,11.0,103.0,114.0,"['cs.AI', 'cs.CL', 'stat.ML']"
"One model, two languages: training bilingual parsers with harmonized treebanks",0,1,0,0,0,"computation and language, statistics machine learning
",1.1336665153503418,8.0,109.0,117.0,"['cs.CL', 'stat.ML']"
Quantum Statistics-Inspired Neural Attention,1,0,0,0,0,"- artificial intelligence
- computational machine learning
",1.1595978736877441,9.0,100.0,109.0,"['cs.AI', 'cs.LG']"
PIPPA: A Partially Synthetic Conversational Dataset,0,1,0,0,0,"computation and language
",0.5181310176849365,4.0,103.0,107.0,['cs.CL']
MID Property for Delay Systems: Insights on Spectral Values with Intermediate Multiplicity,0,0,0,1,0,"optimization and control
",0.675753116607666,4.0,108.0,112.0,['math.OC']
Advancing Italian Biomedical Information Extraction with Large Language Models: Methodological Insights and Multicenter Practical Application,1,1,1,0,0,"computation and language
artificial intelligence
statistics machine learning
",1.1331958770751953,11.0,114.0,125.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Using novel data and ensemble models to improve automated labeling of Sustainable Development Goals,0,1,0,0,0,"statistics machine learning, computational machine learning
",1.150674819946289,8.0,108.0,116.0,"['stat.ML', 'cs.LG']"
Efficient search of active inference policy spaces using k-means,1,0,1,0,0,"statistics machine learning, artificial intelligence, computational machine learning
",1.1852047443389893,11.0,105.0,116.0,"['cs.AI', 'stat.ML', 'cs.LG']"
On the Consistency of Ordinal Regression Methods,0,0,1,0,0,"statistics machine learning, computational machine learning
",1.1269516944885254,8.0,102.0,110.0,"['stat.ML', 'cs.LG']"
Neural Mean Discrepancy for Efficient Out-of-Distribution Detection,0,0,1,0,0,"statistics machine learning, artificial intelligence
",1.1554722785949707,7.0,107.0,114.0,"['cs.AI', 'stat.ML']"
Online Learning with Primary and Secondary Losses,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.1175222396850586,8.0,101.0,109.0,"['stat.ML', 'cs.LG']"
Neuronal Spectral Analysis of EEG and Expert Knowledge Integration for Automatic Classification of Sleep Stages,1,0,0,0,0,"artificial intelligence, statistics machine learning, computational machine learning
",0.5881602764129639,11.0,110.0,121.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Unbalanced Optimal Transport through Non-negative Penalized Linear Regression,0,0,1,1,1,"statistics machine learning, computational machine learning
",1.1294777393341064,8.0,106.0,114.0,"['stat.ML', 'cs.LG']"
QuantEase: Optimization-based Quantization for Language Models,0,1,1,0,1,"optimization and control, computational machine learning
",1.1525897979736328,8.0,105.0,113.0,"['math.OC', 'cs.LG']"
A Comparative Study on Regularization Strategies for Embedding-based Neural Networks,0,1,1,0,0,"statistics machine learning, computation and language
",1.1093859672546387,8.0,107.0,115.0,"['cs.CL', 'stat.ML']"
CogAlign: Learning to Align Textual Neural Representations to Cognitive Language Processing Signals,0,1,0,0,0,"computation and language, artificial intelligence, computational machine learning
",1.123157024383545,11.0,109.0,120.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Periodic optimal control for biomass productivity maximization in a photobioreactor using natural light,0,0,0,1,0,"optimization and control
",1.0984210968017578,4.0,109.0,113.0,['math.OC']
Deep Neural Decision Trees,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning
",1.1148653030395508,11.0,98.0,109.0,"['cs.AI', 'stat.ML', 'cs.LG']"
TexRel: a Green Family of Datasets for Emergent Communications on Relations,0,1,0,0,0,"computation and language, artificial intelligence
",1.1183803081512451,7.0,108.0,115.0,"['cs.AI', 'cs.CL']"
Guillotine Regularization: Why removing layers is needed to improve generalization in Self-Supervised Learning,0,0,1,0,0,"statistics machine learning, artificial intelligence, computational machine learning
",1.1621098518371582,11.0,113.0,124.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Unsupervised Boosting-based Autoencoder Ensembles for Outlier Detection,0,0,1,0,1,"statistics machine learning, computational machine learning
",0.7210397720336914,8.0,109.0,117.0,"['stat.ML', 'cs.LG']"
Reinforcement Learning with Large Action Spaces for Neural Machine Translation,1,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning
",1.1327447891235352,15.0,104.0,119.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Self-supervised Auxiliary Learning with Meta-paths for Heterogeneous Graphs,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning
",1.2499372959136963,11.0,107.0,118.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Fusing First-order Knowledge Compilation and the Lifted Junction Tree Algorithm,1,0,0,0,0,"artificial intelligence, computation and language
",0.5868768692016602,7.0,108.0,115.0,"['cs.AI', 'cs.CL']"
The Learning of Fuzzy Cognitive Maps With Noisy Data: A Rapid and Robust Learning Method With Maximum Entropy,0,0,1,0,1,"artificial intelligence, computational machine learning
",1.172847032546997,7.0,114.0,121.0,"['cs.AI', 'cs.LG']"
"Automatic Extraction of Ranked SNP-Phenotype Associations from Literature through Detecting Neural Candidates, Negation and Modality Markers",0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning
",1.1412010192871094,11.0,117.0,128.0,"['cs.AI', 'cs.CL', 'stat.ML']"
HBert + BiasCorp -- Fighting Racism on the Web,0,1,0,0,0,"computation and language, artificial intelligence
",1.1054415702819824,7.0,105.0,112.0,"['cs.AI', 'cs.CL']"
Multi-Relation Aware Temporal Interaction Network Embedding,0,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning
",1.215433120727539,11.0,102.0,113.0,"['cs.AI', 'stat.ML', 'cs.LG']"
The Deep Weight Prior,0,0,1,0,1,"statistics machine learning, computational machine learning
",0.7497758865356445,8.0,98.0,106.0,"['stat.ML', 'cs.LG']"
On Enhancing Speech Emotion Recognition using Generative Adversarial Networks,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning
",1.2149131298065186,15.0,106.0,121.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Exact and approximate inference in graphical models: variable elimination and beyond,1,0,1,0,1,"statistics machine learning, artificial intelligence
",0.603722095489502,7.0,106.0,113.0,"['cs.AI', 'stat.ML']"
AGGGEN: Ordering and Aggregating while Generating,0,1,0,0,0,"computation and language, artificial intelligence
",1.087510585784912,7.0,104.0,111.0,"['cs.AI', 'cs.CL']"
Identifying Mentions of Pain in Mental Health Records Text: A Natural Language Processing Approach,0,1,1,0,0,"artificial intelligence, computation and language",1.1166479587554932,6.0,109.0,115.0,"['cs.AI', 'cs.CL']"
Quality Control at Your Fingertips: Quality-Aware Translation Models,1,1,0,0,0,"computation and language, artificial intelligence, statistics machine learning
",1.1908648014068604,11.0,106.0,117.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Sparse Sequence-to-Sequence Models,0,1,1,0,0,"computation and language, statistics machine learning
",1.334831953048706,8.0,101.0,109.0,"['cs.CL', 'stat.ML']"
SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver,1,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning
",1.3680274486541748,11.0,111.0,122.0,"['cs.AI', 'stat.ML', 'cs.LG']"
NL-Augmenter: A Framework for Task-Sensitive Natural Language Augmentation,1,1,1,0,0,"computation and language, artificial intelligence
",0.6763081550598145,7.0,109.0,116.0,"['cs.AI', 'cs.CL']"
Natural Language Processing for Information Extraction,1,1,0,0,0,"computation and language, artificial intelligence
",1.1199352741241455,7.0,100.0,107.0,"['cs.AI', 'cs.CL']"
Wasserstein GAN: Deep Generation applied on Bitcoins financial time series,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.092958927154541,8.0,107.0,115.0,"['stat.ML', 'cs.LG']"
Rank optimality for the Burer-Monteiro factorization,0,0,0,1,0,"optimization and control, computational machine learning
",1.0723414421081543,8.0,105.0,113.0,"['math.OC', 'cs.LG']"
On the Reduction of Total-Cost and Average-Cost MDPs to Discounted MDPs,0,0,0,1,0,"optimization and control, artificial intelligence
",1.1263117790222168,7.0,114.0,121.0,"['cs.AI', 'math.OC']"
Modular-Relatedness for Continual Learning,0,0,1,0,1,"computational machine learning
",1.0972871780395508,4.0,102.0,106.0,['cs.LG']
Features and Agreement,0,1,0,0,0,"statistics machine learning, computational machine learning
",0.5732049942016602,8.0,97.0,105.0,"['stat.ML', 'cs.LG']"
Composite Gaussian Processes: Scalable Computation and Performance Analysis,0,0,0,0,1,"statistics machine learning, computational machine learning
",1.164025068283081,8.0,104.0,112.0,"['stat.ML', 'cs.LG']"
NOTE: Robust Continual Test-time Adaptation Against Temporal Correlation,0,0,1,0,0,"statistics machine learning, computational machine learning
",1.1278574466705322,8.0,106.0,114.0,"['stat.ML', 'cs.LG']"
Cumulative Sum Ranking,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.2898533344268799,8.0,97.0,105.0,"['stat.ML', 'cs.LG']"
ConTextual Masked Auto-Encoder for Dense Passage Retrieval,1,1,0,0,0,"- artificial intelligence
- computation and language
- statistics machine learning
- computational machine learning
",1.232194423675537,19.0,105.0,124.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
"Combining Strong Convergence, Values Fast Convergence and Vanishing of Gradients for a Proximal Point Algorithm Using Tikhonov Regularization in a Hilbert Space",0,0,0,1,0,"optimization and control, computational machine learning
",1.1767616271972656,8.0,123.0,131.0,"['math.OC', 'cs.LG']"
Communication-Constrained Expansion Planning for Resilient Distribution Systems,0,0,0,1,0,"optimization and control
",1.1709554195404053,4.0,105.0,109.0,['math.OC']
The Optimal Approximation Factors in Misspecified Off-Policy Value Function Estimation,1,0,1,0,1,"statistics machine learning, computational machine learning, optimization and control
",1.2445685863494873,12.0,107.0,119.0,"['stat.ML', 'math.OC', 'cs.LG']"
Challenging the Semi-Supervised VAE Framework for Text Classification,0,1,1,0,0,"statistics machine learning, computational machine learning
",0.5567340850830078,8.0,106.0,114.0,"['stat.ML', 'cs.LG']"
Emergent Translation in Multi-Agent Communication,1,1,0,0,0,"artificial intelligence, computation and language
",0.6109683513641357,7.0,102.0,109.0,"['cs.AI', 'cs.CL']"
One Reflection Suffice,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.0942344665527344,8.0,98.0,106.0,"['stat.ML', 'cs.LG']"
EBM-Fold: Fully-Differentiable Protein Folding Powered by Energy-based Models,0,0,1,0,0,"computational machine learning
statistics machine learning
artificial intelligence
",1.0875470638275146,11.0,111.0,122.0,"['cs.AI', 'stat.ML', 'cs.LG']"
When to Ask for Help: Proactive Interventions in Autonomous Reinforcement Learning,0,0,1,0,0,"artificial intelligence, statistics machine learning
",1.2568585872650146,7.0,107.0,114.0,"['cs.AI', 'stat.ML']"
A Comparative Study on TF-IDF feature Weighting Method and its Analysis using Unstructured Dataset,0,1,1,0,0,"statistics machine learning, computation and language
",1.1103191375732422,8.0,112.0,120.0,"['cs.CL', 'stat.ML']"
LongForm: Optimizing Instruction Tuning for Long Text Generation with Corpus Extraction,1,1,1,0,0,"computational machine learning, computation and language
",1.1103699207305908,8.0,108.0,116.0,"['cs.CL', 'cs.LG']"
